text,start,duration
我々は大きく分類すると人気,2.76,3.42
YouTuberというジャンルになる,5.1,4.44
わけですけどもま何が人気かっていうとま,6.18,6.18
登録者が多かったり再生数が安定して,9.54,4.62
多かったりていうところがま要素だと思う,12.36,4.019
んですけどいくら人気YouTuberね,14.16,4.86
僕たちはそれ以外の方も全員ですけど,16.379,4.201
常にベストスコア出せるわけじゃないん,19.02,4.44
ですよもう調子いい時悪い時言えばあるん,20.58,5.64
でどうしてもね伸びない動画っていうのが,23.46,5.22
生まれてしまいますこれは仕方がないん,26.22,3.18
ですけど,28.68,3.12
絶対理由があるなと思ったんですよ昔の,29.4,4.92
動画の動画ちょっとちらっと見てみて,31.8,5.46
声伸びてないなって思いまして,34.32,5.7
クリスマス特別クソ企画サンタvs,37.26,5.94
トナカイあの,40.02,3.18
当時的にはすげー頑張ってる,43.98,6.72
しねカバンの中に入っちゃうんでダメだね,45.86,6.699
毛がもう恐れがあって今じゃやらないかも,50.7,3.48
しれない,52.559,4.621
12,54.18,3.0
月,57.78,2.88
4日今日は,58.86,6.199
前編後編なんと28万回,60.66,4.399
成田も掃除してもね,65.519,2.721
お金なさすぎてサンタさんの服装があれだ,70.58,3.82
からね,73.26,4.08
家族の今のは古すぎるにしても,74.4,5.88
直近で思うとあの24時間にらめっことか,77.34,4.94
ね,80.28,2.0
郵便局今ちょっと報われてきてんだけど,82.979,4.381
コストとそのリターンが違いすぎるとね,84.42,4.5
あまりにもギュッとくるものがあります,87.36,5.52
ここを見てねなんでマジできつかったんだ,88.92,5.879
からなどうしてそうなってしまったの,92.88,3.84
かっていう原因をえみんな見つけていく,94.799,4.68
ためにもねあの皆さんに今からいろんな方,96.72,3.48
の,99.479,3.441
伸びなかった動画をご覧いただきますはい,100.2,6.0
10日まではないですねいわゆる人気,102.92,5.379
YouTuberと言われる方々の動画を,106.2,3.419
僕と夢丸で,108.299,3.78
再現してみましたはいなので誰かは分から,109.619,6.18
ないけど動画をもうまんまですそれが誰の,112.079,8.281
動画なのかをまず当ててみてでなんであっ,115.799,7.341
てるのかな,120.36,2.78
別に伸びない理由だけわかればいいからね,124.92,4.559
はい,126.479,3.0
伸びない理由は,129.959,3.741
買いましたい,131.459,2.241
みんなで今回ね,133.8,3.36
相談し合っていいのでじゃあ早速行ってみ,134.879,4.761
ましょうかはい,137.16,2.48
1問目の伸びなかった動画こちら,140.16,3.86
おBGMが結構,144.72,5.3
いやー,147.84,6.0
ということで今回こちらの畑を走らせて,150.02,5.26
いただきました,153.84,2.759
畑といえばそう,155.28,5.459
農作物そう皆さんさつまいもこちら,156.599,6.78
ご存知ですよねさつまいもってねこう畑の,160.739,6.621
中でこうすぐにつながってね,163.379,3.981
今からですね,170.239,4.181
ターゲットを呼びましてなぜかさつまいも,172.2,4.619
を掘るというわけのわからない動画を撮っ,174.42,4.679
ていこうと思うんですけどもその見つけた,176.819,5.041
さつまいもがなんと100,179.099,5.301
連結ドッキリ,181.86,5.76
こちらも,184.4,5.5
