text,start,duration
"Baby, mari berdansa",7.05,2.751
Lingkupiku dengan pengabdianmu,9.801,3.322
Ini adalah  asmara yang buruk,14.506,1.93
membuat tubuhku bergoyang perlahan,16.436,4.168
tapi aku tidak bisa berjalan di atas seutas tali yang kuat,22.018,3.274
"Bersandar pada ketegangan,",25.317,2.793
aku ingin turun bersamamu ke tempat yang lebih rendah,29.517,2.849
Biarkan aku memberikan perhatianku padamu,32.366,3.295
Tak punya pengendalian diri,37.504,1.847
Karena aku ingin semuanya,39.351,1.664
Jadi aku akan membuatmu merasa,41.015,2.528
Seperti hari ini adalah ulang tahunmu,43.544,1.866
"Setiap detik, setiap menit",45.432,1.907
Membuatku ingin merayakannya,47.339,3.253
Segala tentangmu sempurna,52.97,1.874
Sejak kamu lahir,54.844,3.589
Kamu adalah prioritas utamaku,59.464,3.74
Semanis gula dengan sejuta cara,63.229,4.028
"Baby, kita tak perlu alasan",67.952,1.909
"Baby, kita tak perlu menunggu",69.861,3.17
Mari kita membuat malam ini ulang tahunmu,73.406,2.2
Aku mengulurkan tanganku,76.203,2.553
Saat ku tahu kau ingin menggenggam tanganku,79.185,3.313
Perasaan kita semakin mendalam,83.79,2.43
Ayo menyelam seolah kita berada jauh di dalam lautan,86.22,3.787
Aku tak peduli selama bersama denganmu,91.383,3.295
"Baby, terus jatuh ke dalam perasaan ini",94.678,3.253
Aku bisa merasakan hatimu dengan tanganmu,98.693,2.491
"Oh, baby sekarang aku menyatakan cintaku",101.184,3.671
Mari kita jadikan malam ini ulang tahunmu,105.262,1.93
"Setiap detik, setiap menit",107.217,1.907
Membuatku ingin merayakannya,109.124,3.253
Segala tentangmu sempurna,114.755,1.874
Sejak kamu lahir,116.629,3.589
Kamu adalah prioritas utamaku,121.249,3.74
Semanis gula dengan sejuta cara,125.014,4.028
"Baby, kita tak perlu alasan",129.737,1.909
"Baby, kita tak perlu menunggu",131.646,3.17
Mari kita membuat malam ini ulang tahunmu,135.191,2.113
Aku dibutakan olehmu baby,137.317,2.344
Kau mendapatkan seluruh perhatianku,139.661,3.096
Ayo mari pelan-pelan,142.782,2.488
"Aku tak pernah mengatakannya, tapi kau layak mendapatkan yang terbaik",145.27,4.266
Jadi percayalah padaku dan kepakkan sayapmu dengan bebas malam ini,149.536,4.409
Seperti hari ini adalah ulang tahunmu,157.866,1.835
Seperti hari ini adalah ulang tahunmu,180.364,1.891
"Setiap detik, setiap menit",182.263,1.907
Membuatku ingin merayakannya,184.17,3.253
Segala tentangmu sempurna,189.801,1.874
Sejak kamu lahir,191.675,3.589
Kamu adalah prioritas utamaku,196.295,3.74
Semanis gula dengan sejuta cara,200.06,4.028
"Baby, kita tak perlu alasan",204.783,1.909
"Baby, kita tak perlu menunggu",206.692,3.17
Mari kita membuat malam ini ulang tahunmu,210.237,2.066
"Baby, kita tak perlu alasan",212.312,1.909
"Baby, kita tak perlu menunggu",214.221,3.17
Mari kita membuat malam ini ulang tahunmu,217.703,2.066
"Baby, nhảy cùng anh nào",7.05,2.751
quấn lấy anh đêm nay bằng sự chân thành của em nào,9.801,3.322
Đó là thứ lãng mạn xấu xa,14.506,1.93
khiến cơ thể anh chuyển động thật chậm rãi,16.436,4.168
"Nhưng anh lại chẳng thể bước đi trên sợi dây buộc chặt,",22.018,3.274
được treo trên sự căng thẳng này,25.317,2.793
"Hãy để anh xuống, xuống, xuống cùng em",29.517,2.849
Hãy để anh quan tâm tới em nhé,32.366,3.295
Anh chẳng thể kiểm soát nổi mình,37.504,1.847
Vì anh muốn có tất cả,39.351,1.664
Nên anh sẽ cho em cảm thấy,41.015,2.528
Đêm nay như thể là sinh nhật của em vậy,43.544,1.866
"Từng giây, từng phút",45.432,1.907
đều khiến anh muốn nhảy mừng,47.339,3.253
"Mọi thứ về em đều hoàn hảo,",52.97,1.874
Hoàn hảo như lúc em chào đời,54.844,3.589
Em là ưu tiên số 1 của anh,59.464,3.74
