text,start,duration
中川翔子です今日はあの,1.46,7.12
蝶々超超有名トップYouTuberと,5.1,5.88
コラボです,8.58,5.28
初めて見た金の盾の実物,10.98,6.18
足なんとギネス記録も持っているあのお方,13.86,8.36
とコラボですすごーいその方とは,17.16,5.06
メルちゃんですおしっこちもち,25.26,3.42
[拍手],28.96,5.47
[音楽],30.33,4.1
なんかうちの猫,37.26,5.76
9種類いるじゃないですかでも全然またね,39.719,4.441
違うんですよね,43.02,4.379
尻尾が太くてお尻が,44.16,4.379
ぷりぷりで,47.399,4.081
可愛いもうちょっと近づけたらいいなと,48.539,7.321
思うんですけどあんまりねちょっと,51.48,6.899
無理しないようにストレスを,55.86,4.199
与えないように,58.379,4.561
手で待って若干2歳でギネス取って,60.059,6.14
剣の盾瓶の盾にも,62.94,3.259
[音楽],66.72,7.18
可愛いもちもち,77.06,4.0
[音楽],81.29,8.22
めちゃくちゃ高級そうなこの流れすごく,95.1,3.6
ない,97.799,2.46
ブルースリーが死亡遊戯で持ってたやつ,98.7,4.08
より長いですこのムチ,100.259,5.961
一番好きらしいのでちょっと行ってみます,102.78,3.44
下手くそか私,122.64,2.839
もう見てすらない見てすらないやばい,133.26,4.22
見てない,146.54,3.18
[音楽],151.32,4.22
[音楽],158.06,5.77
あまりにもメポと一緒に寝過ぎてここに,166.099,6.541
香りがしちゃうのかな,169.019,3.621
[音楽],174.07,7.809
あっちょっと気になってるぽいちょっと,176.819,5.06
ちょっと,183.48,4.039
興奮してきたちょっと,184.62,2.899
[音楽],195.03,4.919
口開けて,201.18,3.86
可愛い,202.98,2.06
[音楽],218.47,3.21
[音楽],224.8,3.5
[音楽],231.4,12.04
取られちゃったー,240.9,2.54
無理かわいい,245.22,4.079
[音楽],246.87,5.13
宇宙一の猫ですよ今も,249.299,5.061
間違いない,252.0,2.36
ちょっと一緒に遊んでくれるようになった,255.9,4.22
のでかいですよね,257.519,2.601
すごい遊んでくれる,278.16,3.72
若いですね,279.66,4.68
おじいちゃん多いから全然遊んでくれない,281.88,4.64
ですよ,284.34,2.18
[音楽],298.14,3.139
これが大好きみたいなんですけど,303.78,3.199
[音楽],313.58,7.249
[音楽],323.45,4.73
で毛繕いしちゃうの,334.259,4.16
可愛い,336.3,2.119
[音楽],339.11,4.87
噛まれた構えてください最高かわいい,348.96,3.44
[音楽],364.06,5.6
コラボできたのね10周年の最高のご褒美,365.6,6.9
本当に嬉しい,369.66,2.84
OK,372.539,4.371
[音楽],373.85,3.06
[音楽],381.72,5.06
こっち向いてこっち向いて,383.36,3.42
[音楽],388.26,12.499
ちょっと仲良くなったかな,397.56,3.199
んでるにまでは至らずだけど,403.259,3.681
本当に今日は私の,410.94,5.699
夢が叶いました20周年の一番コラボし,413.16,6.74
たいお方とコラボできましたパソコン,416.639,8.84
と一緒に遊びましたお手してもらいました,419.9,5.579
本当に生きててよかったなんかもう,428.34,6.359
猫はこの宇宙で一番可愛い生き物もう猫と,431.22,6.3
いう存在がいてくれるおかげでこの地球に,434.699,5.101
生まれたことが勝ち組となる,437.52,5.64
本当に猫という一番可愛いものの中での,439.8,5.94
もちまるちゃんですもう出会えるんだなっ,443.16,5.099
てそしてやめなければ,445.74,3.359
死ななければ,448.259,1.741
生きていれば,449.099,1.921
会えるんだなって,450.0,2.759
ほんとミラクル感じました,451.02,3.0
持ち丸ちゃんめちゃくちゃ可愛かったです,452.759,4.38
これからもずっと持ち丸ちゃんの幸せと,454.02,4.019
健康を,457.139,3.84
祈りますありがとうございましたという,458.039,4.681
ことでもちまるちゃんの可愛いところ,460.979,3.541
そしておジャワルちゃんの好きなところ,462.72,3.66
コメント欄にいっぱい書いてください,464.52,4.019
語り合いましょうはいチャンネル登録,466.38,5.879
よろしくお願いしますまたねー,468.539,4.321
ちゃんの,472.259,2.101
チャンネル様にも,472.86,4.02
上昇していただきますなんとそちらでは,474.36,5.22
プレゼントさせていただくんです,476.88,4.98
はいということでぜひもちまるちゃんの,479.58,3.66
チャンネルとどっちもいっぱい見て,481.86,2.61
くださいまたねー,483.24,5.99
[音楽],484.47,4.76
じゃあ何その腕,490.08,4.14
短い腕が,492.419,5.9
伸びちゃって今YouTube見てるのね,494.22,4.099
可愛いね,499.08,2.179
リラックスして,502.319,1.861
ピンク,503.22,1.69
ピンク,504.18,3.199
[音楽],504.91,5.59
見えるよ,507.379,3.121
ピンク,511.62,2.299
[音楽],513.96,9.949
