text,start,duration
[!!!],3.15,1.152
What are you doing right now?,8.353,1.362
"[?]
Would you like to try one?",10.87,1.358
This is honestly,12.613,0.788
Too delicious.,13.402,0.879
Just one.,14.613,0.988
"- Chicken.
- This.",16.404,0.45
"[The Silence of the IDOL /
Le Sserafim]",17.834,1.653
[The sun has set],23.276,0.981
[At the retreat],24.258,0.792
[But there are still some],27.375,1.133
[That are wide awake],28.509,0.797
[Giggling],30.465,1.29
"Oh, right.",32.308,0.756
Wait.,33.146,0.694
"[What is it!?]
- What?
- Why?",33.877,1.004
"[Feeling very impatient]
It's still not here!",35.1,1.699
Our fried chicken.,36.8,1.166
Oh right.,37.967,0.831
"[It's taking a while]
We place the order about",39.095,1.194
"- An hour ago
- It was 2 hours ago.",40.29,0.997
Three hours?,41.338,0.987
Are they walking here?,42.568,1.185
"[Suspicious]
Are they coming from Busan?",44.215,1.049
Did you get a notification,45.265,1.053
Saying they picked up?,46.319,0.685
"[They can't come too late]
- They're still making.
- Still?",47.005,1.59
We need to eat,48.916,0.824
Before our teacher comes.,49.741,0.849
[Knocking],51.182,0.675
[Maybe it's here!],52.04,1.223
"[Rushing]
Our food?",53.347,1.058
[Hello],55.301,1.714
Oh my.,58.082,0.8
"[Thanks for coming]
Wow, this is amazing.",58.883,1.668
Thank you.,60.623,1.379
[BUT!],62.491,0.822
[Why isn't the driver leaving?],63.314,1.623
"[!!!]
Halt.",65.911,0.984
What?,66.896,0.817
"[Confused]
Are you not the",67.714,1.31
Driver?,69.025,0.525
What?,69.87,0.502
[Taking his jumper off],70.929,1.0
I'm not the driver.,73.35,1.176
I'm your instructor.,74.527,0.94
"[What is he doing with the food?]
oh no.",75.96,1.004
Gosh.,76.965,0.79
Who ordered,78.08,1.181
Food,79.262,0.572
During this time?,79.835,1.101
Yunjin.,81.189,0.903
It was,82.093,0.635
Yunjin.,82.729,0.794
"[Full of betrayal and anger]
Yunjin ordered.",84.407,1.507
We did it together!,86.123,1.39
"It was you, unnie.",87.514,1.185
Quiet.,88.7,0.773
Quiet.,89.474,0.865
I'm taking the food.,90.386,1.269
"[That's a terrible news]
No, wait.",91.656,1.374
Please.,93.408,0.656
"[On her knees]
Please, you can't do that.",94.065,1.371
Please.,96.488,0.593
"[Exit sealed]
Sorry!",98.207,1.102
"[PLEASE]
This will be returned",99.844,0.822
"- To you for breakfast.
- No.",100.667,1.287
Please.,101.955,0.722
I need to write a review.,103.001,1.255
It's going to get cold.,104.257,1.239
Quiet!,105.804,1.319
Just a bite.,107.325,0.649
"[Pleading and begging]
The smell!",109.115,1.167
"[Not budging]
Back to bed.",110.65,1.076
Just a bite.,111.727,0.954
"[Mission failed]
We're in bed.",114.897,1.074
We're sleeping.,116.333,1.007
"[Without getting caught]
When I walk in",118.574,1.773
And see you guys practicing,120.444,1.674
Or chatting.,122.131,1.215
"[Will they be able to]
I, myself will",123.347,1.184
"[Train successfully?]
Put you to sleep.",124.532,1.023
Understood?,125.712,0.953
No chatting.,127.346,1.119
[Sad],128.657,1.012
[Out he goes with fried chicken],129.693,1.315
Oh gosh.,131.288,0.759
"- Is he serious?
- What's with him?",132.048,0.86
[Getting angrier],133.988,1.093
I'm holding,135.337,0.769
My anger.,136.107,0.715
"[Furious kick]
If we fought,",136.823,0.844
I could beat him.,137.668,1.312
He's just tall.,138.981,0.99
I'm so angry.,140.695,0.797
"[How do we get it back?]
What are we going to do?",141.493,1.489
Will he come back,143.155,0.748
If we make,143.904,0.948
A lot of noise?,144.853,1.16
Somebody can,146.076,0.723
Sneak out,146.8,0.685
"- And grab it?
- And grab it.",147.486,1.443
"[Good idea!]
- Nice.
- I like that.",149.059,1.106
Eunchae's sick,151.15,0.675
So she's at the nurse.,151.826,0.975
"[For Eunchae!]
Right.",152.802,0.897
We need to,153.7,1.301
Bring our hands together.,155.068,0.991
"- And work as a team.
- Okay.",156.06,0.795
Ready for the music?,157.105,0.674
[Time to practice for the talent show],159.72,1.639
Oops.,161.797,0.606
[Being extra loud],162.404,0.74
[Confident],163.145,0.78
"[Hurry up]
Put on a face too.",165.972,0.942
"[Eunchae]
- Hm?
- Me?",168.78,1.054
Eunchae.,169.966,0.703
Sliding.,170.67,0.7
Sliding?,171.555,0.718
Skating now.,172.737,0.906
"[The floor feels like a skating course]
So slippery.",173.644,1.515
[Can't stop laughing],176.933,1.507
[Everybody's laughing now],179.851,1.327
[Who's laughing?],182.664,1.195
[Run!],185.122,1.0
Back to bed right now.,192.792,1.083
[Wiggle wiggle],195.35,0.952
Up.,196.303,0.705
[Guilty],198.378,1.292
[Teehee],203.269,1.02
Hm.,205.98,0.624
"Okay, they're sleeping.",206.765,0.664
[Sure we are],209.492,1.244
Wait.,211.533,0.554
Isn't the floor too slippery?,212.237,1.255
[It's actually more fun],213.608,1.596
It feels like I'm skating.,216.708,0.694
You practiced before.,217.403,0.964
Let's continue.,218.368,0.817
Let's do some more practice here.,219.598,1.348
Not go back to,221.109,0.735
The dance studio after.,221.845,0.872
[Just say that's what you want],222.718,1.124
[Okay?],224.089,0.758
[Perfect idea],224.891,1.307
"[Let's finish it in a single go]
Let's play the music.",227.559,0.867
Play the music.,228.542,0.908
[IDOL mode ON],229.852,1.13
I'll climb higher.,232.815,1.443
To top of the world,234.259,0.933
I hoped for.,235.193,0.689
[Cute],237.75,1.185
So slippery.,240.582,0.828
[You guys are the best!],241.805,1.295
[BUT],245.391,1.204
I'm scared.,247.114,0.989
"[A little bit scared of the instructor]
Not yet right?",248.321,1.53
[Let's keep dancing!],250.536,0.959
Don't forget to,251.715,0.589
"[The horrifying whistle]
Shake your hips.",252.305,0.738
