text,start,duration
59分59分,1.38,3.379
プーさん,3.78,3.62
59分,4.759,7.121
大丈夫まだ慌てる時間だよ,7.4,7.54
開始価格1円何いくらで売れるかを調べ,11.88,4.92
るって言うんだけどこんな事前に分かるの,14.94,4.44
終了数日時結構なんか長くまで選べる,16.8,5.22
じゃんここが,19.38,3.36
残った,22.02,2.64
テキストのUUM株式会社,22.74,4.68
応援グビグビーチャンネルになってるんで,24.66,6.18
グビグビを消していやいいですか,27.42,6.479
商品のアピールこの商品をリソン上位に,30.84,5.52
表示に目立たせようえお金払うと上の方に,33.899,4.441
行ってくれるよとこの1万円ぐらい払っ,36.36,3.18
ちゃうもんな100円ぐらいしかいけない,38.34,4.5
あ1日あたり1日99円入りますこの,39.54,4.56
オークションが上位に表示され,42.84,2.7
るってことだよねマッチングアプリと一緒,44.1,1.979
ですね,45.54,2.82
課金します出品,46.079,4.98
きた以下の商品に出品で次完了しましたご,48.36,4.199
利用ありがとうございましたてつやの個人,51.059,3.961
チャンネル150万人までこの,52.559,4.261
オークションの商品ページに見える画像が,55.02,3.96
ないこのページを共有すればいいのかな,56.82,4.02
それではツイートもしましょう,58.98,3.18
鉄矢の,60.84,2.46
個人,62.16,4.26
ちゃんですねはいツイートしますちょっと,63.3,4.26
見てみよう,66.42,1.739
早速,67.56,4.379
えーっとまだ入札はいないですねあ待って,68.159,5.341
27人が,71.939,4.761
ウォッチに登録してくれてるアクセス,73.5,6.0
"1392,464お1秒ごとにどんどん",76.7,4.9
増えているいやこれ画像がないの設定力が,79.5,4.619
なさすぎるな2億みたいなのできないよう,81.6,3.18
に,84.119,3.301
ヤフオク側に設定していただいてるので,84.78,5.159
本人登録が必要なんですよなるほどなので,87.42,4.98
ちょっと最初動き悪いかもしれない一応僕,89.939,3.841
が入札してきました,92.4,1.92
え,93.78,3.18
映像したの見たい見たい見たい見て見て,94.32,3.74
初めての入札,96.96,2.88
おー,98.06,5.04
え待ってこれさ13軒警部えいくら,99.84,6.48
99円とかでこのあなたが最高です,103.1,4.78
残念ながらもう超えられててもう,106.32,4.619
2600円になってますよちょっと俺の,107.88,5.279
チャンネルの名前の価値が2600円も,110.939,4.04
既についている,113.159,3.901
5200円になってる,114.979,3.42
更新してみよう,117.06,4.5
5750円見るの楽しいなあ,118.399,5.381
開始10分で9000円を超えていきまし,121.56,2.82
た,123.78,3.479
送料無料っていうのは優しいですね2万1,124.38,4.379
