text,start,duration
デビルも赤ちゃん金属やろあ全然違うやろ,0.359,5.721
あーかっこいい,4.759,2.62
[音楽],6.08,3.66
めちゃくちゃかっこいいマジでかっこいい,7.379,9.71
[音楽],9.74,7.349
いや今日忘れたね,18.98,3.719
[音楽],30.54,4.26
僕はこの生ゴム,32.94,3.9
狩りが好きなんで,34.8,4.98
CBXもこれぽいな俺付けてますけどこれ,36.84,6.3
ですね僕のはそのパターンとしても,39.78,4.5
オーバルリ,43.14,3.62
ップルなんですけど,44.28,2.48
ねーお,48.14,4.0
手本があるんでいいですね,54.36,6.99
[笑い],56.94,4.41
[笑い],67.72,6.52
当てがいに行きます,71.34,2.9
チョコにさんチョコ兄さんは,82.619,5.421
明治,85.619,5.961
いやこれちゃうか,88.04,3.54
六角よりも,91.92,2.42
超読者の若い子が乗ってるやつで大人こっ,97.14,5.36
ちっすよね,100.68,6.54
これはこれでものすごいあのー,102.5,8.159
振動吸収するんですよ功利先生これ,107.22,6.84
めちゃめちゃめちゃまずいですか,110.659,5.32
70年代の,114.06,4.94
走りの人が多いんですけど,115.979,3.021
時代の,120.68,4.66
手触りがいいんですよねそれは,122.7,4.8
柔らかくてなんかこうね,125.34,4.38
これの茶色バージョンもないっても思い,127.5,5.459
ますね柔らかいっすよゴムがどっちで,129.72,5.4
いいかなもうそれ,132.959,4.381
は見た目はじゃあまずその手を混ぜるの,135.12,4.199
でしょうか,137.34,3.899
風防付けますよ,139.319,3.451
弾けるよ,141.239,3.781
[笑い],142.77,4.23
あのねはい,145.02,3.66
横じいさん,147.0,2.34
俺は,148.68,2.18
風防がメインだ,149.34,4.44
これは全体だ,150.86,5.44
俺とこれでめちゃくちゃ感動してたのにさ,153.78,5.76
残りさんバランスが悪いでしょ,156.3,5.96
風防がメインだ,159.54,2.72
だからね,163.459,5.091
[音楽],165.26,3.29
[音楽],186.38,3.77
これはいいですねまあやばいやろなこれ,190.94,7.2
は,195.959,2.181
[音楽],198.43,7.79
全然やっぱり大変やけど,204.3,5.54
毎日のテンションが出る違いますね,206.22,3.62
違うバイクにね,210.06,4.759
内側はこれパンチ,211.68,3.139
パーマンス,214.94,3.0
とかね,221.84,8.87
[音楽],223.29,18.1
[笑い],230.71,10.68
どこでハリアー,242.12,3.66
ここも,251.299,3.181
菊地の階,256.56,2.959
油分を与えて拭いたらなるほど,260.28,6.84
[音楽],264.05,5.17
かこれ,267.12,5.22
無理かな,269.22,3.12
すごい,281.58,2.059
ですね,284.9,5.56
[笑い],286.93,7.489
すごいあもう今の人,290.46,3.959
来ましたけど,295.919,3.121
[音楽],303.57,3.04
[笑い],307.12,8.459
[音楽],310.31,5.269
[音楽],320.0,12.48
[音楽],337.24,3.439
[音楽],343.17,5.539
[拍手],357.61,3.199
これは乗りやすいわ,362.06,8.16
もうまたがり具合がもう全然違うもん,364.639,5.581
最高やん音,371.18,6.299
全然,375.12,2.359
すげぇ,381.479,3.361
[笑い],382.3,5.79
[音楽],384.84,3.25
カメラ,390.72,3.0
[音楽],394.48,3.31
止める,401.819,2.121
そんなの,404.12,3.299
一つ,409.22,3.12
大人チャンネルアダルトチャンネルの,416.72,4.38
ポイントだけ合わせましょうかはいもう,421.56,4.38
久しぶりですからもう1年乗ったでしょ,423.419,4.681
取りましたこれでももし仮に,425.94,4.08
ずれてたらチャンスですよ,428.1,4.34
さらに音がいいですね,430.02,5.76
そしてこれで全くなかったらこいつかに,432.44,6.039
なっちゃってるところですマイナスなんか,435.78,5.6
こっち2回位でもね,438.479,2.901
一発目の絵ですね,442.259,3.56
最初ここにこう中にポイントってのがあっ,491.819,5.641
て,496.02,4.739
Fになってんだよここがずれてたらこうで,497.46,4.26
これが,500.759,3.601
横井さん色々調節してこことここを,501.72,5.659
ぴったりこう遊ぶですね,504.36,3.019
[音楽],510.75,4.82
ありがとう,518.58,3.0
ございますチャンネルありがとうござい,526.74,3.14
ます,527.82,2.06
[音楽],533.41,3.129
[音楽],541.3,14.35
[笑い],552.04,3.61
[音楽],557.11,3.289
[音楽],567.63,4.28
[音楽],575.05,5.91
たまらんなあ,587.1,5.84
どこだった,589.82,3.12
マジで,597.14,5.08
あの散髪ですそうでしょ,599.7,5.4
もうあん時のさん,602.22,5.88
ぱち乗って2ストだらけの,605.1,3.98
習慣的に,608.1,5.12
あの時の三八の音もう,609.08,4.14
[音楽],632.05,3.18
もともと,636.62,5.44
朝食って最高だって言ってたので,638.519,5.281
ポイントがやっぱあの右だけちょっとズレ,642.06,3.24
てたから,643.8,2.94
絵図がちょっとで上行ってましたもんねだ,645.3,2.279
から,646.74,2.64
全部ずれてたんだけど,647.579,2.641
右だけ,649.38,4.019
結構ずれてますねあこれ変わるな,650.22,5.22
いやもう引っ張るじゃないですかもう,653.399,5.041
パーン,655.44,3.0
コンコンコンコンコンコンコンコンコンコンコンコンコンコンコン,662.72,4.48
いやマジでもう俺今すぐ走りたいぐらいや,664.16,4.32
もんね,667.2,4.199
マジでいや今日撮影終わったら走り行こう,668.48,4.68
でしょ,671.399,7.351
[笑い],673.16,5.59
[音楽],679.85,4.14
[笑い],680.54,5.38
[音楽],683.99,6.089
夜は走りたいなたまらんかった,685.92,4.159
空気読むやろいやこれたまらんすよまじで,694.5,4.5
乗り換えてます横になるこれ,697.44,4.56
くれっても絡まってんすよだから急に注油,699.0,5.519
全部したはい,702.0,4.88
えー,704.519,2.361
注油3級,707.279,2.901
[音楽],715.27,5.93
ノーマルやから広すぎるちょっと,717.42,4.57
すいません,721.2,5.64
[笑い],721.99,4.85
今,730.38,3.12
ガラス越しに,732.42,3.919
移った自分もいたんですよ,733.5,2.839
いやもうこの,738.0,4.019
ガラス越しに映ったわけこのぷーって息を,739.32,3.56
姿が,742.019,3.981
かっこいい,742.88,3.12
のか,746.6,3.12
な,752.579,2.121
おーなるほど,759.2,4.12
王子門の,761.279,5.06
トラストの高い,763.32,3.019
僕たちは音ですからねー,772.86,3.9
[笑い],778.17,3.85
大人のカスタムどこですか,788.22,3.859
それ,792.74,4.659
あらすのはあれそれじゃないんですかこれ,794.6,6.94
は新品の布なんですよはいこれは中高砂漠,797.399,5.521
にいるようなできない,801.54,3.44
僕はあのやれやれないやつを,802.92,3.96
中古でいい,804.98,4.9
ですか,806.88,3.0
[音楽],813.97,3.289
お肉のこの話してます,817.339,4.081
[音楽],822.49,4.12
これは,827.42,6.28
物置の上に入るカラフル1か月ぐらいお,829.68,8.48
持ちしてそういうことなんですか,833.7,4.46
熟成させたのがここまで,839.16,6.239
見てください抜けてるところに行けないと,843.36,3.419
か,845.399,3.921
わざとこのヨレヨレにはい,846.779,6.201
こんなに変わるんですね,849.32,3.66
熟成放置プレイ,855.3,2.839
正式な,862.26,3.0
格闘,864.12,4.159
格闘家の,865.26,3.019
おしゃれもう,869.18,6.52
格闘家ですよそれから,872.88,3.78
スクリーンも,875.7,2.759
熟成してますすいませんありがとうござい,876.66,3.919
ます,878.459,2.12
[音楽],898.86,6.419
か55度ぐらい,902.06,4.18
50万ドル,905.279,2.461
倒れないですね,906.24,3.18
子供の頃は一生の風呂に入ったもんですよ,907.74,3.12
こいつと,909.42,3.2
風防と,910.86,4.68
だからこの風防とロケットカールって,912.62,5.32
やっぱこの文化が違うけ,915.54,4.32
風貌って肌がある今回はね,917.94,5.54
花柄文化も金型一人聞いてください,919.86,3.62
絞りますね,923.639,2.421
田中絞ります,927.72,3.44
絞りのおおー,936.06,3.36
[笑い],947.39,3.98
えなんてえなんてあーいいんじゃないです,955.44,4.519
か,957.959,2.0
ここでいいですか,968.899,3.421
まずこの真ん中のねちっちゃいネジだけ,974.18,5.339
止めてしまいましょうか,976.98,2.539
こんなの気にしなくていいんだよ,985.279,6.06
こういう,988.62,2.719
アイテムがかっこいい,991.8,3.659
ぜ一人,993.779,3.18
事なのかな,995.459,4.761
ボリューム大まで帰るけど,996.959,3.261
心の声のテンションだけど,1003.98,4.5
聞こえてきちゃってんだよな,1006.139,5.101
風防カスタムする人って1ヶ月ぐらい前,1008.48,6.299
から熟睡期間考えてここまでやる人は,1011.24,5.66
相当いないですよ,1014.779,5.211
[音楽],1016.9,3.09
神奈川代表の人じゃないと,1020.48,2.82
[音楽],1021.57,3.53
新品でつけてやれていくのを待つっていう,1023.3,3.539
のがすごいんだ,1025.1,3.979
普通はね,1026.839,2.24
[音楽],1032.05,5.949
そこが文化でしょうね私は,1044.02,5.7
結構つけてました,1047.839,3.661
一生からの,1049.72,4.42
スーパーフォアにつけたことあるけどでも,1051.5,5.4
なんかそれはちょっとやっぱハマれんに,1054.14,5.64
憧れたというか日照り風貌って男らしいっ,1056.9,6.06
て感じで,1059.78,3.18
[音楽],1071.16,5.899
[笑い],1073.38,7.659
絞れば絞るほど男とも上がるんすか,1077.059,3.98
一番搾りにならない,1083.66,3.08
特攻だよ,1096.86,5.58
渋いよこれが福岡の特攻隊やからさ,1097.82,4.62
[笑い],1103.52,4.5
[音楽],1110.03,3.11
全く癖がないから,1113.179,2.901
わかりますか,1120.32,5.4
前に出すんですよ今回俺のテーマは3番の,1121.28,7.08
マッハを大きく見せるこれは体が大きい,1125.72,3.54
から,1128.36,3.84
俺の風あったりするっていうことでだから,1129.26,5.82
もうロケットからこいつにつけたくないで,1132.2,4.74
やったら,1135.08,3.54
新幹線通報するよりも,1136.94,4.38
リゾート総合者を大きく見えるから最後に,1138.62,5.04
お願いしますので新幹線風防にするか,1141.32,3.479
リセット空港にするか,1143.66,4.519
リセット風またタンフー帽かとかね,1144.799,3.38
新幹線空母,1150.32,3.08
グランプリの時に,1154.22,4.1
してただろう,1155.74,6.36
あっち向きが新幹線,1158.32,3.78
ですか,1165.4,4.0
まっすぐに,1188.419,4.701
神奈川,1190.94,2.18
横じいさん,1194.24,4.52
腰食べちゃってるかな,1196.039,2.721
育児じゃないですかね,1206.66,2.48
[笑い],1210.32,5.38
