text,start,duration
です本日もご視聴いただきありがとう,0.359,5.581
ございますはいということでタイトルにも,3.36,5.159
ある通りこの,5.94,3.239
話,8.519,3.961
自体はまあ結構昔から,9.179,5.761
昔から僕変わらないので性格が気づいては,12.48,4.92
いたけど確信を持つのに時間がかかったの,14.94,3.36
もあるし,17.4,2.82
気づいてからもう時間が経ってるけど,18.3,5.7
いろんな理由があってまあ話さなかったし,20.22,5.819
自分からこう,24.0,5.06
話す必要もないと思っていたことだった,26.039,5.461
ですよなんか,29.06,4.9
特別自分のどういうふうに思ってるかって,31.5,4.26
ことをあえて,33.96,2.939
言わなくてみると別にあれじゃないですか,35.76,3.479
それを皆さんに言わなきゃいけないわけで,36.899,3.421
もないし,39.239,3.301
自分がそれを分かっていて生まれの友達も,40.32,4.079
それを理解していて,42.54,3.66
自分が幸せに生きれる環境があるんだっ,44.399,4.861
たら別に特別周りに言う必要はないと僕は,46.2,5.46
思っているし,49.26,3.479
特に,51.66,3.719
型にはめて決めるのが僕は好きではないの,52.739,3.601
で,55.379,2.221
特にそこに,56.34,3.96
執着もしなかったんですよ特に言うとな,57.6,5.279
ですけどなんでこれを話そうと思ったかっ,60.3,5.28
ていうとまあやっぱりいろんな,62.879,5.341
投稿を僕はする中でやっぱこの,65.58,3.66
質問,68.22,2.579
セクシャリティなんですか,69.24,5.04
恋愛対象どっちですかって質問がやっぱり,70.799,5.701
すごくすごくたくさん来,74.28,3.3
るですね,76.5,3.479
昔からずっといやそこを僕言わないでいい,77.58,5.76
かなって思ってたしでもそれを言うことに,79.979,4.5
よって,83.34,4.099
同じ境遇の人もしくは悩んでいる人,84.479,5.521
もしくは自分はどちらだろうと思ってる人,87.439,5.441
のまあ助けになったりとかこういう人間が,90.0,6.0
いるんだよっていうのをまあ多少なりとも,92.88,5.76
発信力を持っている僕が,96.0,4.32
発信することによって,98.64,3.299
誰かの気づきになったり,100.32,3.479
考えるきっかけになったりこういう人が,101.939,3.241
いるんだよっていうのを,103.799,4.14
知るきっかけになればいいなと思ったので,105.18,4.32
僕のことを理解してほしいっていうわけで,107.939,3.781
はなくてこういう人もいるんだよっていう,109.5,3.84
話の一環として聞いてほしいなと思います,111.72,5.6
し今後僕が活動していく上でより良く,113.34,6.12
たくさんいろんな発信ができるようになる,117.32,6.04
かなって思ったのでこれを話そうと,119.46,5.759
結構勇気を振り絞っていようと思います,123.36,4.259
もちろんこれを言って,125.219,3.481
皆さんが,127.619,3.301
全員が全員受け入れてほしいわけじゃない,128.7,4.8
しやっぱ考え方は人それぞれだから,130.92,4.86
全員が理解できないと思うしあくまでこれ,133.5,5.34
は僕の話マジであってあの,135.78,5.039
みんながみんなこういう風な話を理解,138.84,3.06
できる,140.819,3.0
理解してくれるというわけでもないと思う,141.9,3.72
のであくまで,143.819,4.261
僕の話をさせてもらおうかなって思って,145.62,4.64
おります,148.08,2.18
あとあれですねもう一個理由がありました,151.92,4.679
僕いろんな憶測が飛び交ってるんですよ,154.26,5.94
あのネットニュースとかももちろんたまに,156.599,5.581
僕江草とかするんですけどもちろんその,160.2,4.619
ネット界隈でいろんな噂が飛び交ってたり,162.18,5.279
するんですよで僕が,164.819,3.721
初めて,167.459,2.941
全身脱毛症を,168.54,5.16
告白したこちらの動画ですねの時もすごく,170.4,5.58
勇気が言ったけどそれを公表したのも僕は,173.7,4.56
別に公表する気がなかったけどコメント欄,175.98,4.32
で何で眉毛ないのとかなんで髪の毛ないの,178.26,4.199
とかそういうコメントがたくさん来て,180.3,3.9
メイクを全く見てもらえなかったのでそれ,182.459,3.841
がすごく嫌で僕は,184.2,3.899
制作される前に自分から言ってしまった方,186.3,3.9
がいいっていう発想なので,188.099,4.261
勇気を振り絞って病気を告白したっていう,190.2,4.259
のがまあもう3年,192.36,5.82
4年前ぐらいかので今回もそれに似ていて,194.459,5.461
だったら,198.18,3.24
僕の口から,199.92,3.78
ちゃんと全部の経緯を喋った方がいいなっ,201.42,4.56
て思うタイプなんですよなんか憶測で,203.7,4.14
なんか食べられたりとか決められたりする,205.98,4.56
のが僕すごく嫌なんですよなのでだったら,207.84,3.66
自分から,210.54,3.3
話しておこう話ししておこうっていう感じ,211.5,6.319
でこの動画を撮ってます今,213.84,3.979
あんままあ,220.379,4.261
ちょいちょい,223.739,3.181
僕が昔からやってることで言うと,224.64,3.659
僕は昔から,226.92,4.08
男女っていう垣根がよくわかっていない,228.299,6.481
ですあのなんで男性女性を区分するかが,231.0,4.56
まず,234.78,3.06
結構昔から理解ができなくって,235.56,4.8
男の子はこうしろ女の子はこう白っていう,237.84,5.399
のがあんまりわからなかった昔からずっと,240.36,5.76
なんであの,243.239,5.22
割とこう性別側に2つしかないんだろうて,246.12,4.619
いう疑問は結構早いうちから持っていまし,248.459,4.2
たで,250.739,5.22
僕がまあ最初に言うとどういう,252.659,6.3
セクシャリティかっていうといろんな,255.959,4.801
種類があって,258.959,4.68
今でこそlgbtqって言われるものって,260.76,5.12
たくさんあるんですよ,263.639,3.961
lgbtqia+とかも言うんですけど,265.88,4.72
なんか日本だとまだ多分あんまり周囲が,267.6,5.039
知られてなくってLGBTも多分有名だと,270.6,2.76
思うんですよ,272.639,2.161
レズ,273.36,2.64
ゲイ,274.8,2.399
バーイ,276.0,2.82
トランスジェンダーの4つのLGBTです,277.199,2.28
ね,278.82,2.4
以外にもたくさん種類が,279.479,4.741
本当はあってまあ僕もそんなにたくさん,281.22,4.919
詳しく知ってるわけじゃないんですよなぜ,284.22,5.16
なら区分するのがまずあんまり,286.139,5.581
理解できていないからなんですけど,289.38,3.12
自分が,291.72,3.06
自分のことを知る上で一応調べておこうと,292.5,4.86
思って今回話する上でも一応知識はあった,294.78,4.8
方がいいと思ったので一応調べたら上で話,297.36,5.04
をしてるんですけどなんか日本だとそん,299.58,4.559
ぐらいしか多分知られてないと思うし,302.4,5.34
種類がすごく少ないしまた寛容な人がいな,304.139,5.581
いっていうのであんまりそれが知られて,307.74,2.82
ないんですけど,309.72,2.52
例えばアメリカの,310.56,3.54
Facebookとかまあ単位とかもそう,312.24,4.08
ですけどなんかFacebookで,314.1,4.62
性別選ぶランがあるんですけどそれが本当,316.32,3.24
に,318.72,1.979
50種類ぐらいあったりするんですよ,319.56,2.82
アメリカとかだと,320.699,4.321
確かあってると思いますそれは日本だっ,322.38,5.159
たら2種類しかない男か女しかないけど他,325.02,4.92
の国だったら50種類そやか種類がある国,327.539,4.261
もあるぐらいそのセクシャリティっていう,329.94,4.08
ものはたくさん種類が今あって,331.8,4.44
全部に全部名前をつけるのは僕はどうなの,334.02,4.56
かなって正直思っちゃうなんか自分が,336.24,3.6
楽しく幸せに生きられればいいんじゃない,338.58,2.76
かなっていう発想で生きちゃってるので,339.84,5.16
あくまで僕の個人的な見解ですなので調べ,341.34,5.579
てみれば見るほどよくわからないなと思っ,345.0,3.6
ちゃうタイプなのでまあ,346.919,4.801
簡単に僕のことを説明すると,348.6,5.46
多分僕が調べた中で一番これが僕だなって,351.72,3.9
思ったのは,354.06,3.78
ノンバイナリーというセクシャリです何か,355.62,4.46
というと,357.84,2.24
自分の中で,360.12,5.46
男女っていう概念がない中間というわけで,361.8,6.48
もないどちらでもないか僕の中の正解です,365.58,7.08
まあ無性って言ったりもするんですけど,368.28,6.78
性別がないとわけじゃなくってなんか僕は,372.66,3.96
僕って感じですねなんか,375.06,4.199
僕は僕っていう感じです本当にそれが一番,376.62,3.84
適してると思います,379.259,4.621
自分は自分という性と思っていますまあ見,380.46,5.94
てはリテですという風に思っていてそれは,383.88,5.64
昔から割れたそうで小学生時代の頃から,386.4,5.7
遡って話すんですけど小学生時代,389.52,4.86
わりと僕幼稚園ぐらいの時からもう,392.1,4.319
女の子と遊んでたりとかそういう,394.38,4.319
習慣が昔からあってあでもあくまで僕は,396.419,5.22
あの女性になりたいわけじゃないです全く,398.699,5.22
女性になりたいとか例えば性転換したいと,401.639,6.12
かそういう願望一切ないですなぜなら,403.919,5.821
男性でも女性でもないからっていう僕は僕,407.759,3.961
なので小学校の時は,409.74,3.78
田舎だったのがあって結構オガマっぽいと,411.72,2.34
か,413.52,2.34
女っぽいとか言ってあのいじめられたこと,414.06,3.24
もありました昔は,415.86,3.059
A書いて遊んでるだけでそういう風に言わ,417.3,3.54
れたりもしたことはあったんですけどそれ,418.919,5.821
でそういう学生生活を過ごしていてで,420.84,5.579
えっと小学4年生の時に,424.74,4.26
女の子に恋をしました始めて初恋ですで,426.419,6.12
その子と別に付き合ったりもせずただ片思,429.0,6.36
終わったのがあったんですけどで中学1年,432.539,5.701
生で男の子に初恋をしました今思い返せば,435.36,4.14
ですけどでも,438.24,4.079
広島に僕住んでたんですけど広島で僕は,439.5,5.099
そういう友達もいなかったしなんかそう,442.319,5.041
いう人がいるっていうことも知らなかった,444.599,5.401
全くなので自分はちょっとおかしなこと,447.36,4.619
あんのだって思ってました当時は,450.0,5.16
自分自身のこともそうだし人がみんな学校,451.979,6.0
ってやっぱ同じ規則でみんな活動するし,455.16,4.379
服装も決まってるわけじゃないですか男は,457.979,3.961
これ女はこれってそれで少しで反発する,459.539,4.681
部分があって自分の中ででもそれが具体的,461.94,4.56
に何なのかっていうのはわかってなかった,464.22,5.28
言葉で表せなかったのでまあ,466.5,5.28
当たり障りなく親の迷惑かけないように,469.5,4.56
友達からも浮かないように,471.78,4.5
普通に学ラン来ていってたし学問別に嫌い,474.06,5.699
じゃないけどそうやって生活をしていてで,476.28,6.18
当時はその女の子とずっと付き合っていて,479.759,6.66
で普通に小中高と上がって多分高校生の時,482.46,6.42
に中学生の時に,486.419,5.041
初めて彼女ができたんですけどその後も,488.88,5.7
ずっと彼女問題なくて高校生の時も彼女,491.46,6.0
しかいませんでしたで広島から東京に上京,494.58,5.16
する前に彼女がいたんですけどその彼女,497.46,3.9
以降僕は誰ともお付き合いをしていないの,499.74,2.459
で,501.36,2.399
女性としか付き合ったことがないいいです,502.199,3.78
ね今のところはで男性と付き合った経験は,503.759,5.521
もちろんないですで今どちらが好きかって,505.979,6.601
話になると思うんですけどただ今後もし,509.28,5.04
自分がどうにか変わるかもしれないって,512.58,4.319
可能性はなく認知もあらずなので今断定は,514.32,4.98
しないですけど今のところ僕は男性が好き,516.899,3.961
ですなので,519.3,3.84
僕自身の政治人って言われるまあちょっと,520.86,4.38
無口なんだけどてかそういうこともあんま,523.14,3.24
好きじゃないな本当に,525.24,2.82
型にはめようとするとですよ,526.38,3.0
強いて言えば,528.06,2.76
政治人で言うと,529.38,5.88
ノンバイナリーという性になっていてで,530.82,6.06
的な思考まあ,535.26,3.54
恋愛対象っていうと,536.88,3.3
セクシャルっていうセクシャルになります,538.8,2.039
僕は,540.18,2.159
横文字ばっかり言ってんじゃねえよと思う,540.839,3.601
と思うけどそれが僕のセクシャリティです,542.339,3.781
皆さんが聞きたかったセクシャリティは僕,544.44,4.14
はそれですまあセクシャルとバイナリー,546.12,3.779
ですまあ,548.58,2.3
わかんない方はググってみてください,549.899,3.421
なるべく間違いなく理解してくだされば,550.88,3.7
嬉しいなと思うんですけど,553.32,3.0
受け入れてほしいとは言いませんただ僕は,554.58,3.6
こういう人間ですという自己紹介をしてい,556.32,5.28
ますなのでなんか昔の動画例えば,558.18,4.68
女性のタイプとか,561.6,3.299
過去の恋愛歴とかを喋ってる動画があるん,562.86,3.539
ですけどそれは間違いなく嘘ではないです,564.899,2.461
なので,566.399,1.981
僕がその,567.36,2.7
自由か言わないかっていうのを悩んでいる,568.38,2.82
理由の1個に,570.06,3.0
僕のことを応援してくださってる女性の,571.2,4.319
ファンの方がなんかどう思われるのかなと,573.06,3.36
か,575.519,2.161
ファンの方が減っちゃうんじゃないかなと,576.42,4.56
かやっぱり今まで僕今もそうですしこれ,577.68,4.74
から先もそうですけど,580.98,3.359
僕はこうやって生活ができているのは本当,582.42,2.82
に,584.339,2.041
ファンの方,585.24,3.12
ギネメイトっていう僕呼んでるんですけど,586.38,4.38
