text,start,duration
あっつーどうなってんだじゃぽん,0.0,6.6
熱すぎてお風呂に,4.799,5.281
ジャポンアロワ,6.6,3.48
すぎるですマジで暑すぎてもう帰ってきた,10.32,5.58
んですけどあのロンドン,13.74,3.66
イギリスとフランスから帰ってきたんです,15.9,2.28
けど,17.4,2.94
昨日までガクガクブルブル震えてたのに,18.18,3.48
もう,20.34,2.34
暑すぎて,21.66,3.779
焦ったんだったらで今日はいつもクーラー,22.68,4.259
つけないけどつけます,25.439,2.461
すいません,26.939,2.641
ニキビパッチしてますが気にしないで,27.9,3.779
やっぱりあれました,29.58,4.979
肌荒れ中の海外旅行はもうさらにあの悪化,31.679,4.201
させましたけど,34.559,2.281
肌荒れも,35.88,2.699
くれてやるわというぐらい,36.84,5.039
楽しい思い出が作れたので今日はみんなに,38.579,5.101
購入品シェアしていきます,41.879,3.961
デンマークパリロンドンに行ってきてなん,43.68,5.42
と100万円が飛んでいきました,45.84,5.58
100万円が飛んでいた,49.1,4.72
歩く遠くへ飛んでいた,51.42,4.44
円安最悪,53.82,4.98
円安さ行くあの,55.86,5.879
円安やばいくつだって,58.8,5.88
スパリについた初日の朝ごはんでさ空港の,61.739,4.74
さまこっちで言うとドール的な店です,64.68,4.38
サンドイッチと飲み物があってで,66.479,6.561
6000円とか超えたわけもう,69.06,3.98
ドン引きずって感じでそっからは値段見,73.22,6.16
たら楽しまれへんと思ってあんまり値段見,76.2,3.72
ずに,79.38,1.46
過ごしました,79.92,4.26
じゃあまず何を買ったかと言いますとまず,80.84,6.22
ちょっと熱いからもう着替えさせてこちら,84.18,4.619
キャッチキットさんで買ってきたものこれ,87.06,2.64
もな,88.799,3.481
切るわもう日本にはなくなってしまった,89.7,5.34
キャスキッドソン私が買ったのはパジャマ,92.28,5.699
です向こうさ激サメやったからさこれ来年,95.04,6.24
の夏かなとか思ってたけど全然日本熱いて,97.979,6.6
か私の大事件皆さん見てくれましたよね,101.28,4.74
もう,104.579,3.781
ほんまに呪われたかと思ったなんか,106.02,4.919
ちょっと首広いなあ,108.36,5.28
まあいいかパッチワーク風で,110.939,5.761
柄がめっちゃ可愛いやろさすが海外といっ,113.64,6.18
た感じでだいぶ大きいもう1人ここ入れる,116.7,6.059
んじゃないかってぐらい大きいパスし,119.82,6.299
えめっちゃ可愛いはい次雑貨デンマークで,122.759,5.181
買った雑貨を紹介します,126.119,5.221
これお家に飾る用の,127.94,6.299
インテリアを買いました,131.34,2.899
ビーズのお花見て可愛くない,134.4,5.339
可愛いのこれは貝でしょこれ多分ポピーや,136.68,5.4
でこれはお家に飾ります,139.739,3.121
次,142.08,4.08
デンマークで買ったお布団の上にかけるお,142.86,5.64
布団カバーっていうかその地形のやつです,146.16,6.18
じゃーんこういう感じの柄です,148.5,6.42
すごくないこれステッチが全部バーって,152.34,4.68
こうやって塗られてあんの,154.92,4.98
贅沢チューリップの柄でとっても可愛かっ,157.02,4.98
たので買いましたちょっとデンマークっ,159.9,2.82
ぽいよね,162.0,3.3
ベッドに飾ります,162.72,5.54
次はデンマークの本店で買ったガニです,165.3,5.46
コペンハーゲンに本店があるっていうこと,168.26,5.02
知ら人も多いのではないでしょうか私も,170.76,5.46
知らなかったこのお洋服買いました青い,173.28,5.58
ボーダーで可愛いです次はこれです,176.22,6.12
じゃーん花柄のシースルーのトップスから,178.86,4.56
かわいいやろ,182.34,2.759
シースルートップスはなんぼあってもいい,183.42,2.64
ですからね,185.099,3.78
次ですこれまで来てないねんけど絶対,186.06,6.3
可愛いてか感想やばすぎてさ向こうほんま,188.879,6.0
に笹向けやばいやろ,192.36,4.2
デニムのイエローの,194.879,5.101
ワンピーですこういう薄い色のさあアイテ,196.56,5.88
ムって全然なくて生地とかでもすっごい,199.98,5.1
少ないねんな色がだから買っちゃった,202.44,4.92
ガニーはね割とポップなアイテムも多くっ,205.08,2.879
て,207.36,4.44
すごく好き系ですじゃーんこんな感じ,207.959,5.28
形可愛いね,211.8,3.659
えーポケットもあったいいやん,213.239,4.441
他にまだまだ続きます次は,215.459,3.961
経理も買いました,217.68,4.86
うちやっぱりデンマークは私のほんまに,219.42,6.3
故郷そして,222.54,3.18
