text,start,duration
"Sayonara, sayonara, sayonara",26.0,4.0
I'm not sad ,30.0,2.6
Cause I'm sure we can meet again; till then…,32.6,7.7
"Yes, this is a comfortable place",48.0,4.8
Everything I see is familiar,52.8,4.2
Whatever I wish for,57.3,5.2
"is within my reach, but",62.5,2.8
This circumstance is spoiling me,65.8,5.2
"and before I can't stand myself, I've made up my mind",71.0,5.2
I'll leave everything up to today behind,76.2,5.8
I think I can live more freely empty-handed,82.0,6.8
"Bye, bye, bye",88.8,4.0
"Smiling and waving my hand,",92.8,2.7
I just hope I remain in the corner of your heart…,95.5,5.3
"Sorry, sorry, I know I'm being selfish",100.8,5.2
But let me go so that I can grow up…,106.0,7.8
"Now, pieces of memories",121.7,4.3
flutter down from the back of my eyes,126.0,4.8
I trade my old dreams,130.8,5.2
for new ones,136.0,2.0
It's reassuring to have comrades along the way,139.0,5.5
but now is the time to start walking on my own,144.5,5.4
Though I can't see the end of this dark road,149.9,5.2
my heart is singing; I believe in the ray of hope,155.1,8.4
"Pray, pray, pray",163.5,3.8
for a happy future…,167.3,2.7
so that I won't regret this farewell,170.0,5.7
I'm determined to devote myself,175.7,5.1
to going forward with all my might; so till the day comes…,180.8,7.2
Please wait for me till I see you again,196.0,7.0
I will never forget you…,207.0,7.5
"Sayonara, sayonara, sayonara",219.1,3.9
I'm not sad ,223.0,3.5
We can meet again; till then…,227.9,5.1
"Bye, bye, bye",235.4,3.6
"Smiling and waving my hand,",239.0,3.0
I just hope I remain in the corner of your heart…,242.0,5.3
"Sorry, sorry, I know I'm being selfish",247.3,5.6
But let me go so that I can grow up…,252.9,7.1
Sayonara is till we meet again,267.8,6.2
サヨナラ　サヨナラ　サヨナラ,26.0,4.0
悲しくなんてないよ,30.0,2.6
だって　いつかは会えるでしょう　その日まで,32.6,7.7
そう　この場所は心地いい,48.0,4.8
すべてが見慣れた景色,52.8,4.2
何かを望めば　どんなものも,57.3,5.2
手に届くけど,62.5,2.8
こんな環境に甘える自分を,65.8,5.2
許せなくなってしまう前に　決心した,71.0,5.2
今日までのものは　ここに置いて行こうって,76.2,5.8
手ぶらの方が　自由に生きて行けそうで・・・,82.0,6.8
じゃあね　じゃあね　じゃあね,88.8,4.0
笑って手を振りながら,92.8,2.7
あなたの心の片隅に残りますように・・・,95.5,5.3
ごめんね　ごめんね　勝手なこと言って,100.8,5.2
でも大人になるためには　見送って・・・,106.0,7.8
今　思い出がはらはらと,121.7,4.3
瞳の奥から落ちる,126.0,4.8
新しい夢は　古い夢と,130.8,5.2
引き換えにして,136.0,2.0
仲間がいることは心強いけど,139.0,5.5
ここから一人で歩き出すタイミングだ,144.5,5.4
真っ暗な道の　先が見えなくても,149.9,5.2
胸は高鳴り　希望の光を信じる,155.1,8.4
祈って　祈って　祈って,163.5,3.8
しあわせな未来・・・,167.3,2.7
今日の別れを後悔なんてしないように,170.0,5.7
絶対　絶対　脇目も振らずに,175.7,5.1
ただ全力で進むだけ　その日まで,180.8,7.2
ねえ　ずっと私を待ってて,196.0,7.0
ねえ　忘れない　あなたを・・・・・,207.0,7.5
サヨナラ　サヨナラ　サヨナラ,219.1,3.9
悲しくなんてないよ,223.0,3.5
また会えるその日まで,227.9,5.1
じゃあね　じゃあね　じゃあね,235.4,3.6
笑って手を振りながら,239.0,3.0
あなたの心の片隅に残りますように・・・,242.0,5.3
ごめんね　ごめんね　勝手なこと言って,247.3,5.6
でも大人になるためには　見送って・・・,252.9,7.1
サヨナラはその日まで,267.8,6.2
