text,start,duration
そんなガラスの付けの上にあったかいやつ,0.96,4.02
が落ちたらダメなんじゃないのあこれ,3.24,4.139
パンツ見るだけで終わりなんだろうねで,4.98,3.72
その,7.379,4.621
ムラムラしちゃってあの,8.7,4.58
終わってるでしょ,12.0,5.06
なんかいい感じだったんでいい感じ,13.28,8.919
こういう時は回せても資産からね,17.06,5.139
僕たち今までいろんなゲームをやってき,29.039,4.261
ましたよその頭を使う系のゲーム僕も結構,30.779,4.62
そういうのは好きなんですけれどもまあ,33.3,4.5
その中で一つまぁそうだなーって思った件,35.399,3.481
がありまして,37.8,2.72
ウミガメの,38.88,4.32
巣鴨思考クイズだからまあゲームじゃなく,40.52,3.18
てクイズ,43.2,2.66
[音楽],43.7,5.74
もしてそれを繰り返して心臓を見極める,45.86,5.379
みたいなそういうクイズというか遊びなん,49.44,3.959
ですけども突拍子もない設定が出てくると,51.239,6.061
いうかあれやかましいですよね一番,53.399,5.881
有名なウミガメのスープっていうのも,57.3,4.02
ゴールレストランでスープを食べとってが,59.28,5.099
いたその男は次の日自殺したなぜでしょう,61.32,5.52
筋肉のスープを食べていた過去にみたいな,64.379,6.06
なんかそういう何でもありくない,66.84,6.3
途中のやつを適当な理由でも何でもいいま,70.439,4.741
今回ねこのゲームがクソゲーだってことを,73.14,3.299
証明するためですね,75.18,3.06
えー後ろにですねあのウミガメがいるん,76.439,3.601
ですけれどもこの人に,78.24,3.36
絶対に解けない,80.04,3.14
水平至極クイズを作ってきてもらいました,81.6,4.92
まぁ100回質問して何もわからないわ,83.18,5.2
だったらさすがに,86.52,4.5
溶けないですよねどうですかクイズができ,88.38,4.32
た方がまあ,91.02,3.12
終わった後に君らが謝罪することになる,92.7,3.5
だろう,94.14,2.06
出したり出されたりしたんですけど,96.259,4.381
おもろいよ,98.54,4.259
ね,100.64,4.299
なるほどねその,102.799,4.841
元々あるストーリーの一部を説明されて,104.939,4.981
なぜでしょうって言われた時にその全体像,107.64,4.799
もね見つけていくというそういう遊びなん,109.92,5.18
ですよね,112.439,2.661
じゃあまず室内お願いしますはいこちら,118.92,4.08
アンジェリーナ,121.38,3.239
ジョリジョリテイモンちゃんは,123.0,3.36
同僚の反対を押し切り,124.619,3.84
利光と結婚した,126.36,4.679
利光の代わりように皆ありえない展開だと,128.459,3.36
驚いた,131.039,3.001
新しい生活の中でアンジェリーナ,131.819,3.961
ジョリジョリティもちゃんは,134.04,4.86
愛すると真実との子供を3人も殺害大切に,135.78,4.14
育てていたが,138.9,3.0
孫の顔を見ることはできなかったなぜ,139.92,5.16
でしょうこの,141.9,3.18
クイズの良くないところは,145.62,3.3
アンジェリーナジョイジョイテーマちゃん,147.08,4.36
が死んじゃったから行った時にいいねって,148.92,5.52
言われたのが一番ムカつくかそれはお前何,151.44,4.62
倍や,154.44,3.24
蜂蜜っていうこの,156.06,2.64
荷物,157.68,2.82
頼む投げの生えてる人を想像してしまい,158.7,4.2
がちですけどそれは思考は危険そうだね,160.5,4.44
これがもしかしたら,162.9,4.32
利光するっていう女性なのかもしれないか,164.94,3.36
もしれないし,167.22,3.42
安心なジョリジョリティもちゃんが男の子,168.3,4.439
ですよねアンジェリーナ,170.64,3.959
ジョリジョリテームをちゃんと清水は人間,172.739,4.761
ですかはい,174.599,2.901
これで俺は助かるねいいえ」って言われ,179.84,5.2
たらあと,182.7,5.46
99ってことでしょこれ動画何時間だよ,185.04,7.38
このページでまずいねこの物語に死者はい,188.16,5.219
ますか,192.42,2.88
いいえ,193.379,5.161
死者はいないけどどう見えてない,195.3,5.159
難しいところのやつあるんだろうな,198.54,3.6
利光の代わりを,200.459,3.661
内面なのか外見なのかちょっとどうでも,202.14,3.84
いいどうでもいいかもしれないどうでも,204.12,6.42
いいか一旦でもいや待ってこれ守って書い,205.98,5.88
てあるじゃん,210.54,4.04
損な可能性もありね,211.86,2.72
そうか,215.76,2.72
本当にありがとう,224.879,3.121
ございます,230.04,2.059
見ることって言ってるからややこしない,237.019,4.421
とこが生まれてないから見れないのか,239.22,4.14
生まれたけどなんか,241.44,5.12
物理的に見えないのかそうしましょう,243.36,7.2
かいいえ,246.56,4.0
回答します2人の子供には孫が生まれ,253.26,5.12
なかったから,256.019,2.361
利光は,265.56,5.639
男ですかはいアンジェリーナ,266.639,4.56
ちゃんは,271.259,5.301
利光の子供を出産しましたかはい,272.1,6.3
だらけだな,276.56,4.419
