text,start,duration
HikakinTV,1.14,3.179
新企画,2.94,3.6
スタート,4.319,5.221
HikakinTV,6.54,3.0
HelloYouTubeどうも,11.34,3.9
ラーメン大好き,13.5,4.68
HIKAKINですついにこの時がやって,15.24,4.92
きました今までねHikakinTVを見,18.18,3.72
てくださってる皆さんなら,20.16,3.42
知ってくださってる方も多いと思うんです,21.9,3.18
が私,23.58,4.5
HIKAKINこの世のすべての食べ物の,25.08,6.74
中で最も好きなのが,28.08,5.999
はい今までもね,31.82,4.78
ラーメンの動画たくさんあげてきました,34.079,4.741
ちっちゃい頃から地元新潟で,36.6,5.459
食べに行くと言ったらもうラーメン一択月,38.82,6.48
に何回か連れてってもらえるラーメン屋が,42.059,5.761
本当に楽しみでそこからラーメンが好きに,45.3,3.84
なってで,47.82,3.6
東京に18歳で上京してきて,49.14,4.079
スーパーでね働きながらYouTubeを,51.42,4.319
やってたんですけどそういう下積み時代に,53.219,4.081
会社休みの日に,55.739,5.101
兄の平均と一緒にあのラーメン雑誌とか,57.3,6.12
ネットのラーメンランキングとかねでもう,60.84,4.8
すごい人気店からねめちゃくちゃたくさん,63.42,4.559
食べ歩いたりとかそんくらい好きなんです,65.64,4.26
ずっと前からねこの企画やりたかったん,67.979,5.101
ですけどありがたいことに仕事が忙しくさ,69.9,5.1
せていただいておりましてなかなか実現,73.08,4.26
できなかったんですけど今日ついに,75.0,3.72
満を持してこの,77.34,3.36
企画をスタートさせていただきたいと思い,78.72,3.18
ます,80.7,1.919
題して,81.9,3.42
HIKAKINといく47,82.619,3.661
都道府県,85.32,1.68
ラーメン,86.28,3.379
ダーツの旅,87.0,2.659
企画名そのまんまのシンプルな旅企画なん,92.28,3.36
ですが,95.04,4.02
僕がこのダーツを日本地図に投げて,95.64,4.979
刺さった件に,99.06,3.36
ラーメンを食べに行くっていう,100.619,2.761
旅企画です,102.42,1.68
ちなみに,103.38,3.599
ダーツ経験ゼロだからねもしかしたら離島,104.1,5.519
とかに刺さっちゃうかもしれないんだけど,106.979,5.041
真ん中らへんちょうどね僕の地元新潟を,109.619,4.14
真ん中らへんなんでまあできるだけ真ん中,112.02,3.959
ら辺になければ大丈夫だよなうんじゃあ,113.759,4.4
行きますか,115.979,2.18
ダーツの持ち方もわからない,119.88,3.96
未経験者なんですがまあまっすぐ強く,121.68,3.899
プスっていけばど真ん中にブスって新潟と,123.84,3.419
かに刺さると思うんで行きます,125.579,3.96
泣いても洗っても一発勝負,127.259,5.06
金ラーメン夏の旅,129.539,2.78
3215いく,133.16,5.02
ぜー一発勝負,136.2,4.679
真ん中真ん中真ん中強く強く強くいきます,138.18,5.3
せーの,140.879,2.601
北海道だ北海道まで,145.08,3.78
味噌ラーメンにしようかな味噌ラーメンに,149.099,3.801
しよう,150.72,2.18
嬉しいなんかうわラーメンと言ったら,157.08,5.159
北海道みたいなねありますけど1回目から,159.9,3.6
行っちゃったけど,162.239,3.181
味噌ラーメン大好きだからいや,163.5,3.12
うーわ,165.42,2.039
スナップがね,166.62,2.1
真ん中に投げたつもりだったんだけど,167.459,3.181
スナップがあんま,168.72,3.78
使ってて右上行っちゃったよ,170.64,2.58
うわ,172.5,2.16
うれしいな,173.22,4.68
北海道でねラーメン屋さんて本当に,174.66,5.76
とんでもない数あるじゃないですかでも,177.9,4.86
せっかく行くから2件くらい回りたい,180.42,4.5
じゃんちょっと僕あの3件は回れないん,182.76,4.74
ですけど2件は回りたいからしっかりあの,184.92,4.86
僕が行きたいと思ったお店をネットで調べ,187.5,5.28
たりしてさらにあのアポを取ってしっかり,189.78,4.92
と撮影許可を頂いてから,192.78,3.179
北海道に繰り出していきたいと思います,194.7,3.06
それでは,195.959,5.181
旅当日えー,197.76,3.38
ジャーンと,202.019,2.181
[音楽],202.8,4.68
おはようございますさあいよいよ始まり,204.2,5.28
ました,207.48,2.0
当日でございますさあ今朝の7時半今日は,211.2,4.14
ね日帰りで,213.9,3.9
北海道行ってこっから食べたいと思った,215.34,5.16
札幌味噌ラーメン2店舗ネットとかでね,217.8,4.499
色々調べて,220.5,2.64
決めました,222.299,3.601
朝からね何も食べずにお腹ペコペコでまず,223.14,5.4
は1店舗目にねたどり着きたいと思います,225.9,3.54
飛行機で行きます,228.54,2.339
楽しみだな,229.44,4.1
行ってきまーす,230.879,2.661
元気いいなあ,235.319,3.901
北海道も晴れてるといいねー,236.94,3.0
楽しみ,239.22,3.68
羽田空港向かってます,239.94,2.96
空港着いたんですけど若い子めっちゃ多い,246.48,5.459
な大丈夫かな,248.34,5.959
修学旅行,251.939,2.36
性が多すぎる,256.44,3.7
これはまずい,258.66,4.54
[音楽],260.14,3.06
大行列だいや今顔を全力で変形させてたん,264.479,5.101
ですけど,268.979,2.581
修学旅行にバレましたね,269.58,4.02
HIKAKINじゃねってバレちゃった,271.56,4.04
なぁ,273.6,6.84
これより変形させてかな,275.6,7.08
ダメかな,280.44,2.24
ドキンだってHIKAKINだって,282.96,2.9
ちょっとやばいかもやばい,290.12,6.5
[音楽],293.5,3.12
[音楽],299.84,3.18
すいません,300.96,2.06
ゲートの内側入ったんですけど,304.8,3.2
食べたいけど我慢,309.6,2.9
なんだこのバームクーヘンが回転してるな,316.04,6.219
食べてなこれ見て俺,319.5,7.02
焼きたてバームクーヘン食べてえなあでも,322.259,7.141
我慢我慢できそうまで我慢,326.52,5.6
味噌ラーメンまで我慢,329.4,2.72
懐かしいねー,333.36,3.24
[音楽],347.99,3.24
我慢だよ北海道まで頼んだよ,351.419,3.5
行きましたね,359.479,2.861
すごい,361.56,2.1
すごいですねこれエスカレーターについて,362.34,3.44
きてるから,363.66,2.12
修学旅行,368.88,2.3
[拍手],371.42,3.169
[音楽],380.6,5.419
[拍手],382.89,3.129
さあ,393.479,5.96
[音楽],396.36,3.079
乗り込みでーす,401.28,5.34
飛行機はね1時間半ぐらいですかねお昼に,403.74,5.1
