text,start,duration
今日は中リース先生の33歳のお誕生日,8.059,6.101
です,13.38,2.06
イエーイ,14.16,5.82
33歳お尻とおっぱいお尻とおっぱいはい,15.44,7.66
はいはいということでですね現在3時35,19.98,3.84
分,23.1,2.939
すみませんお昼の3時35分じゃないです,23.82,3.18
よ,26.039,4.381
夜中の3時35分ですで私はまた5時に,27.0,5.22
起きてですねあの弁当を作らなきゃいけ,30.42,4.02
ないという普通にママ業が始まろうとして,32.22,4.859
いるそういう時に私は今何をしているかと,34.44,4.92
言いますとですね今日は誕生日の1日が,37.079,5.281
ですねしかも明日授業参加なわけトカゲ,39.36,4.98
くんのだからもうさっさと寝なきゃいけ,42.36,4.14
ないわけよとりあえずこうやって動画撮っ,44.34,4.559
てる場合じゃないからちょっと寝るね明日,46.5,4.92
朝また5時半に起きてvlog開始します,48.899,5.221
とりあえず画面にします,51.42,5.76
誕生日おめでとう自分は33歳みきゃん,54.12,5.77
しか祝ってくれてない,57.18,6.839
[音楽],59.89,7.37
スムーズがうるさすぎるマジで何個やっ,64.019,7.771
てんのもう見てよこんなにやってる,67.26,7.679
[音楽],71.79,3.149
ぞおはようございますありがとう,75.299,7.281
ございます,80.22,2.36
[音楽],82.97,13.919
これやばいよ知ってる,98.36,3.759
ピューってしたら,101.04,3.6
団子がビュー出てくるなんてこれやばい,102.119,4.701
でしょ,104.64,2.18
開けれないじゃん,107.82,2.54
優しいありがとう,111.6,4.019
tiktokとかで流行ってんのこれいく,113.88,5.099
よやばいありがとう,115.619,5.881
優しいメンズだサラも持ってきてくれるぜ,118.979,5.341
もう1人のメンズはソファーで寝て携帯を,121.5,6.86
いじっているありがとう行くよ,124.32,8.939
んでるんです,128.36,4.899
[音楽],138.38,3.15
気をつけてねやっと,149.34,6.899
爪はマジで何もしなかったぜ今送りに行っ,152.16,7.4
たけどそれだけしかしません,156.239,3.321
あいつ私誕生日なのに,159.68,7.059
晒しますあいつが私の誕生日なのに何もし,163.2,6.42
なかったことを探します,166.739,5.341
9時半に家でなきゃいけないから今6時半,169.62,3.42
でしょ,172.08,1.62
え,173.04,2.88
ワンチャンちょっと寝れるっぽくない大,173.7,5.16
至急さ食器洗い家事するねハニーとペコの,175.92,4.74
餌ができたので,178.86,5.659
可愛くてあげたいと思います,180.66,3.859
ちょっとですね2度目の前にワイド,190.7,5.98
ハイターを使って洗濯をするんですけども,193.98,4.74
ワイドアイテムはねこの間ね学園さん行っ,196.68,3.779
たらねこうやって掲げてる子がいたのこう,198.72,4.14
やってピンクのやつ来て,200.459,5.341
どうやって子がいたの長けない斬新すぎて,202.86,6.12
城最高だったんけどでワールドハイターを,205.8,4.92
使ってる子って言ってね結構使ってくれて,208.98,3.899
たわけよでもやっぱ使い方がわかんないっ,210.72,3.78
てことがね本当にいたからね,212.879,3.601
細かく説明するからとりあえずですねここ,214.5,5.04
のわかるここに入れてくださいこちらに,216.48,5.16
ちゃんと書いてあるから5丁寧に,219.54,4.38
洗剤漂白剤,221.64,6.54
柔軟剤はいではい行きますよお任せコース,223.92,6.539
で洗濯しますという感じじゃんだからこう,228.18,6.5
いう時に今です今入れるんです皆さん,230.459,4.221
ありますよここです,235.319,3.321
ちゃんと使ってねよろしくお願いしますで,239.099,6.481
は私は1時間にどれをしますおはよう,241.56,8.22
ございます今からお風呂にちょっと入って,245.58,7.56
化粧をします上で今私が開いてる入浴剤は,249.78,4.5
こちらの,253.14,3.12
モンスターバブルのあの紫のリラックス,254.28,5.1
するやつですねたまりがすごいからさ一瞬,256.26,5.699
でいいんだよねお風呂時間がなくても風呂,259.38,4.68
には入りたいでも風呂に入って汗もかき,261.959,5.581
たい私の強い味方なわけよ本当に見せたり,264.06,7.74
も3種類あるからこちらですこちらは,267.54,6.42
ナイトモードこれすごいよ,271.8,4.2
すごい汗かくこういうちゃんと本当にあっ,273.96,5.22
てしかもこのラベンダーウッドの香りが超,276.0,6.0
いい匂いなこれ私一番好きかもこのには,279.18,4.739
あれ見て,282.0,4.38
書いてるそろそろ刺さっと上がりたいと,283.919,4.581
思います,286.38,2.12
先生のメイクレッスン講座ということで今,288.6,3.84
から,291.479,2.521
メイクちゃんの方をしていきたいと思い,292.44,2.16
ます,294.0,1.259
昨日,294.6,3.659
買ったアプリ中のレッツ田中みなみセット,295.259,6.421
ですその下地は塗っていきますこれをここ,298.259,6.301
に出しますおたまごちゃんスポンジ,301.68,6.2
ビッグバージョンにつけていきます,304.56,3.32
よし大丈夫かな,309.44,5.319
うわぁなんかニキビ超で来たな私,312.72,4.259
寝不足だ絶対で寝てないと出るんだよね,314.759,4.801
マジで一気にバーって出る,316.979,6.06
熱いの生理前だからイラついてる全てにし,319.56,7.1
て田中みな実さんになりたいです,323.039,3.621
いいねいいね,326.94,3.479
うん,329.46,3.66
すごいさあ薄づきで超いいかも,330.419,6.12
ほぼ紹介してですどうですかお腹りさ先生,333.12,7.079
の保護者なんでゴミを打つの,336.539,6.121
えでもよくないこの,340.199,3.961
保護者間スタイルですありがとうござい,342.66,3.74
ます,344.16,2.24
電子付きありがとうございますやっぱり,347.52,5.399
誕生日は運転手付きだよね,350.46,5.579
運転手さんは私の誕生日だから今日はお,352.919,5.111
仕事をお休みしてくれたんですか,356.039,5.66
[音楽],358.03,6.169
ありがたいマネージャーさんありがとう,361.699,3.94
ございますそして,364.199,4.081
めでたく当日にもしかしたらプレゼント,365.639,4.441
買ってもらえるかもしれないという,368.28,3.24
ミッションも果たせそうで本当に,370.08,3.42
ありがとうございます,371.52,4.08
親指につける指輪が欲しくてクレジット,373.5,4.199
カードダンスときさ親指でこうやって出す,375.6,4.98
じゃんこの時にここになんか平塚せたい,377.699,5.161
わけこう一番ギラつかせるやつって何,380.58,4.38
だろうなみたいなやっぱりダイヤモンドの,382.86,4.14
輝きとか必要なのかな,384.96,5.119
[音楽],387.0,3.079
その授業参観ですいいの私ってこれ1人が,390.479,6.56
あるから,394.5,2.539
本当にでもさパパのなんか仲良しじゃん私,397.68,5.7
と一緒にいる時よりなんかテンション高く,400.68,4.799
なってるような人もう1回動画じゃない,403.38,3.2
けど,405.479,4.261
高いあの人そうやってネタで言ってるだけ,406.58,5.5
だよねパパのYouTubeはそういう,409.74,4.019
テンションの僕って感じなんだと思って,412.08,5.339
ますでママのYouTubeの時はこう,413.759,5.341
いう僕っていう,417.419,3.84
脱走じゃん今日の朝だってさ急にさ,419.1,4.14
皿持ってきたりさ,421.259,4.681
でしょだからパパのYouTubeの時の,423.24,4.98
トカゲくんはちょっとツンデレでママの,425.94,4.199
YouTubeの時のトカゲくんは,428.22,2.759
優しい,430.139,5.06
視聴者層がさ主婦の方だった,430.979,4.22
女心をこうくすぐですあの人頭いいと思う,435.6,13.02
