text,start,duration
皆さんこんにちはカイチャンネルの時間,5.46,2.28
です,6.72,4.08
はいとうとうこの日がやってきましたね,7.74,4.74
ブレイキングダウン6,10.8,4.04
オーディションです,12.48,2.36
でも,15.78,2.28
選考会からもう,16.68,3.3
すごいもう,18.06,3.54
面白いキャラだったり,19.98,4.139
ヤバそうな人らがねたくさんいたんで今日,21.6,3.9
どうなっちゃうのかなっていう感じなん,24.119,4.32
ですけどいやーもう大荒れを期待したい,25.5,4.859
ですねでもなんかもう,28.439,4.741
警棒とかあの振り回し出してる人もいたん,30.359,3.38
で,33.18,3.0
まあちょっと,33.739,5.221
武器はやめてほしいです,36.18,2.78
金属探知機とかで持ち物の検査とかして,39.239,3.301
ましたもんね今日,41.1,4.279
醤油も回収だしね,42.54,2.839
[音楽],46.88,3.079
じゃあ見てみましょうかその会場を,50.039,7.76
[音楽],53.22,4.579
この,59.219,3.0
スタッフさんの数もすごいですね,63.239,2.96
すごいな,68.52,4.919
どんどんクオリティ上がるじゃないですか,70.04,5.14
あのオーディションまで少し時間があるん,73.439,6.021
であの皆さんにもういる選手たちいるんで,75.18,7.939
最初にインタビューしちゃいますか,79.46,3.659
どうどういう選手を期待するいやー,94.1,5.86
ちょっとまああれですねプロ同士でするん,97.619,4.081
やったらね元々そのプロで僕回してもらっ,99.96,3.18
てるんで,101.7,3.54
普通にあの試合できるんで今回ちょっと,103.14,4.26
なんか勢いよいやんちゃな,105.24,5.58
外になりたいなってねそんな感じのリスク,107.4,6.02
ある勝負をしたいんですね,110.82,2.6
僕も不良時代にミクロさん見てでなんか,120.0,4.86
うわかっこいいなと思って,123.42,4.5
格闘技始めたんでそれ見てそういうやつ,124.86,6.539
やっててね,127.92,3.479
[笑い],142.73,3.8
岡山めんど通訳してくれよいやもうもう,150.54,9.32
ボコボコボコバラバラバラバラもあるしね,154.22,5.64
バーン中村さん,162.36,2.36
赤い服しか持ってねえんじゃねえかって,171.42,3.899
みんなに言われてさすがに俺も違うのも,172.98,3.44
あるよ,175.319,4.321
もう10月じゃないですか,176.42,5.8
学生とか子供がいるシーズンだからそうだ,179.64,4.739
からちょっと今日は一つだけ聞いてもいい,182.22,5.94
ですよね,184.379,3.781
[笑い],189.67,6.04
きっとやりたい相手も,206.4,4.199
多分ちょっと言った瞬間に,208.14,5.28
うなずいていただけると思うはいご存知の,210.599,4.821
通り,213.42,2.0
選択肢の一つ,216.3,2.6
注目ですよろしくお願いします,219.06,3.679
また狙われまくるんじゃないですか今日,225.239,6.0
一番まあ俺は今日,227.54,6.52
本命がいるから本命まあどうなるかわかん,231.239,6.42
ないけどなるほどこのひな壇の中で,234.06,7.16
バチバチになる可能性もあると,237.659,3.561
触れないでおきますかそろそろ,243.42,3.599
ピリッとしますピリッとしましたんでいき,245.28,3.8
ますか,247.019,2.061
じゃあ皆さん盛り上げてください,249.12,4.399
思いっきりお願いします,250.14,3.379
レベル高いですね,278.22,4.52
やりましょう,280.32,2.42
どうするやるかやってやるなんか,284.3,6.58
似てる似てるくらいじゃないですか,291.66,3.14
似てるようなやつが来たよ,299.58,2.66
いいよ教えますあんな,305.36,5.14
[音楽],308.54,2.879
感じだったけどな,310.5,4.4
たいさんに僕がここにされた覚えてますよ,311.419,5.441
もうやられたこと僕やりますからね,314.9,4.96
ちょっと,316.86,3.0
厳しさをね,319.919,2.301
[音楽],324.44,3.06
[拍手],330.75,3.12
どうした,337.94,4.96
どうしたもう,340.199,5.661
なんかモンハン,342.9,6.92
どうしたどうした,345.86,3.96
元気ないよ,350.699,3.661
硬いよ,352.32,3.48
まだチャンスある,354.36,3.559
全然,355.8,2.119
いやー,364.74,4.26
激しかったですね今日のオーディションも,366.06,5.9
本当にありがとう,369.0,2.96
ございますか,381.9,3.12
これは,409.699,5.041
激アツですね,412.319,2.421
それ俺に喧嘩で勝てないつってるじゃん,415.979,6.241
もうできるよじゃあいいじゃん10秒ね技,418.44,7.08
ありでやろうよやってやるよお前がその,422.22,5.099
口の生き方ができんのは,425.52,7.14
試合までだからな今のうちに,427.319,5.341
負けたら多分もう首くくりますよね,434.46,3.679
僕の方からお願いなんですけど,446.46,3.32
試合させていただけないですか,450.0,3.599
ありがとう,452.46,4.56
太鼓ってことでOKですかあれ飯田さんも,453.599,5.781
前回俺の名前出してくれたっすもんね,457.02,4.739
じゃあいいんじゃないですかね,459.38,3.82
戦えるなら嬉しいですね,461.759,4.561
[音楽],463.2,3.12
これ楽しみですね,467.46,2.959
はい行きますか,471.72,3.14
ね,478.8,3.0
怒るっていうことがもうないからさ日々,488.4,4.98
芸能界にいるわけだから,491.46,3.78
不祥事を起こしちゃいけない喧嘩もしちゃ,493.38,4.7
いけないでもうずっと押し殺してて,495.24,6.179
なんか怒るっていう感情すら忘れてたんだ,498.08,7.0
けど1回その閉じ込めて気持ちをなんか,501.419,6.12
ブレーキングダム当日だけはもう解放して,505.08,6.0
ほしいななんか昔の頃の,507.539,6.8
姿を1日限定でミッション,511.08,6.12
ですねそれはもうやってくれると思うんで,514.339,4.721
この役は,517.2,4.1
ブレーキング,519.06,2.24
教えます教えてあげてください,523.919,3.501
すか,530.76,4.86
難しいですね,532.44,3.18
[音楽],543.76,3.11
カリスマ登場いや相当言われたね,553.98,4.76
10年前やったら多分,560.899,6.701
もう二言目ぐらいで言ってたけどさすがに,563.66,7.14
今もう39だから,567.6,5.52
見たことない人と試合見てほしいんです,570.8,2.92
けど,573.12,2.46
めちゃくちゃ強いですからマジで強いです,573.72,3.179
本当に,575.58,2.939
試合当日は本当に,576.899,4.221
解放してくると思います,578.519,2.601
決まりました,594.72,3.92
盛り上げてくれません,596.22,2.42
めっちゃ育ってるんで,599.04,4.14
結構強くなってると思うんで最後です白い,601.08,3.8
ですねでも彼ねやっぱり,603.18,4.7
ね,604.88,3.0
お願いします,611.72,3.059
ブレーキングダールのエースと,625.92,4.7
激突です,628.26,2.36
飯田さん強いですよこの,635.76,3.84
戦いはあとなんか2人との雰囲気あるし,642.6,4.859
カリスマ的な,645.18,5.18
同士の戦いですか,647.459,4.161
どっちも,650.36,4.0
[笑い],651.62,4.36
メインになるんじゃないもしかしたら,654.36,4.94
メインだと思いますよろしくお願いします,655.98,3.32
強い人で決まって良かったです,675.66,3.02
よろしくお願いします,679.279,6.761
バチバチねよろしくお願いします,681.959,6.781
でも本当にうるさいのチャンピオンだし,686.04,6.419
プロでも活躍してる選手だからこれ勝てば,688.74,5.839
熱いね,692.459,2.12
可能性あると思います,700.74,4.159
面白い商品になると,702.3,2.599
かなり一番多分ブレーキングになる中で,714.8,4.539
彼が成長してると思います,717.899,3.68
実力は,719.339,2.24
皆さん,726.18,2.279
圭之助選手と,727.32,2.06
決意しました,728.459,3.541
最初からやりたいって言ってたんでそう,729.38,4.92
ですね,732.0,2.3
今回のメインイベント,738.32,3.959
なると思います,744.26,3.3
お願いします,755.42,3.12
あの大会当日の,758.88,4.86
チケットとあとはペーパービューは概要欄,761.1,5.22
から購入できますんでそちらからぜひ,763.74,4.02
宜しくお願いします,766.32,3.06
ブレイキングダウンを,767.76,3.24
応援してくださる,769.38,2.699
企業様を,771.0,2.339
募集しておりますんで,772.079,2.581
ぜひ,773.339,3.12
概要欄からお問い合わせよろしくお願いし,774.66,3.799
ます,776.459,2.0
ブレーキングダウン6は,779.16,3.239
喧嘩道,781.079,4.021
鬼丸ホーム3Dファントム,782.399,3.661
ボーボー,785.1,5.6
ビーストアスリンクの提供でお送りします,786.06,4.64
[音楽],796.82,18.829
