text,start,duration
[音楽],2.12,7.2
[音楽],13.41,3.06
[音楽],21.91,3.129
[音楽],36.31,3.059
二人でいよう,50.94,5.639
愛とゴールドで言うそれ以前俺に今一切,53.34,8.76
記憶がねえんだよ明日もまだもう限界の,56.579,8.281
なら朝に響くと言うけど飲まなきゃその,62.1,5.28
明日すらもねえんだよ,64.86,6.439
嫌になるつもり,67.38,3.919
もいっぱい,72.439,5.04
[音楽],75.9,6.62
も今夜の日も全部なくして,77.479,5.041
いるのは簡単な人差し指で黙らせていった,82.759,10.241
省略午前2時結局いつものことといえばお,89.159,5.6
しまいなんだけど,93.0,6.18
人は誰もが偽善じゃさ,94.759,5.5
優しい,99.18,7.079
嘘を得た光をするんだけど,100.259,6.0
するからさ,109.2,5.82
一人はやだ,111.979,6.161
間の恋だのやんやと騒ぐが酔ったら結局誰,115.02,5.22
でもいいんだよ,118.14,5.82
鼻もいてその,120.24,6.839
誰でもクロ俺は選ばれず泣くのを目指す,123.96,5.219
叫びんだよ,127.079,6.441
嫌になるでもう一杯,129.179,4.341
バカと煙がはしご酒,145.52,11.56
登る様は繋がら雲の糸どこもかしこもクソ,149.58,10.56
だらけ一番,157.08,5.54
くそなのは,160.14,6.2
お前だバカ,162.62,3.72
よそれ以前に俺には一切記憶がねえんだよ,166.819,7.42
嫌になるでもう,172.019,5.341
限界どうでもないのになんなく生きてる,174.239,6.901
あんたの方かその前で言うんだよ,177.36,8.06
嫌になるでもう一杯,181.14,4.28
[音楽],201.52,3.049
