text,start,duration
これは女性,7.62,3.42
オーディション,10.139,3.201
入ってみますか,11.04,2.3
なんかあの,19.44,3.14
女性の控え室だったのが,23.4,4.32
気まずいっすね,25.56,4.379
空気感気まずいっすね,27.72,3.0
あ,29.939,3.141
プロレスラーの,30.72,2.36
プロレスラー兼AV女優の方ですねあそう,34.5,4.219
ですねよろしくお願いします格闘技は,39.36,4.26
プロレスの練習で,42.3,4.02
グラップリングとかなんですか充実とか,43.62,4.02
寝技やってるんですけど,46.32,4.14
打撃は全然やってきてなかったのであの,47.64,5.399
ブレイキングダウン出るって決めた時から,50.46,4.8
通い始めて4,53.039,5.16
ヶ月ぐらいですね今あそうなんですか,55.26,4.319
自信あり,58.199,4.04
地震ははいあります,59.579,6.14
パックしてる方います,62.239,3.48
さすがですね,75.08,3.12
今日もしかしたら戦うかもしれないですよ,80.119,4.121
はいもちろん,82.619,4.461
全然バキバキでそのままいくかこのまま,84.24,7.019
さすがにねバッチリ,87.08,4.179
決めていこうと思います,92.1,4.019
パックしながら何言ってるかちょっと頭,93.84,4.319
全然入ってこない何も頭入ってないんだ,96.119,3.661
けど,98.159,2.28
待って,99.78,2.22
メイドさん,100.439,4.981
メイド喫茶ですかアイドルですかアイドル,102.0,4.799
の,105.42,2.64
子が大丈夫ですか,106.799,5.061
戦えるんですかもちろん本当ですか,108.06,3.8
真剣に真剣なやつ,122.7,2.72
微妙だったこれちょっとやってるね本当に,129.36,4.62
やってますちょっとやってますねかじっ,131.819,4.081
てる舐めてるくらい,133.98,4.28
舐めたくらいですね,135.9,2.36
待って,138.9,3.96
見つけてしまったんだけど俺は,139.58,5.879
来ましたあの,142.86,2.599
噛みつきまくってるそうですや,145.56,4.94
りたいとかやります,148.02,2.48
先行動画を見た限りだと,165.599,4.441
女子選手の面白かったんですよね,167.819,4.2
ぶっ飛んでる人ばっかだったんでマジで,170.04,3.12
楽しいですね,172.019,4.041
前回よりすごいしてたぶん,173.16,2.9
荒れると思います,176.099,2.241
起こしすぎでしょ1分間なんでしっかり,208.319,6.361
準備して,212.459,4.401
頑張ります,214.68,2.18
頑張ります,218.58,2.12
今回エントリーしたのに2対1でしかも,227.84,5.56
使って,232.379,1.92
顔と,233.4,4.02
体なんかずるくない普通に本当に格闘技術,234.299,5.641
の人からしたらマジで,237.42,4.64
みんな,239.94,2.12
フォロワーとか言ってもっとフォロワー,243.0,3.54
すごいしっかりじゃないですか私ずっと,244.379,3.601
アウトサイダーから,246.54,3.74
応援してました,247.98,2.3
試合でぶつけてください,255.06,4.579
めっちゃ我慢してたんですけど,256.859,2.78
から怪我しないでくれて言われたのに,261.78,4.38
顔,264.3,3.2
殴られてますよ,266.16,3.62
つきません,267.5,5.199
パッチで来いよね私一切物使わなかった,269.78,6.34
じゃないですかっこよかったですねいや,272.699,6.361
我慢してましたねすごいその怒りをじゃあ,276.12,5.28
試合のね本番であんまり下に怒んないん,279.06,3.06
ですけど,281.4,4.92
初めてこれで殴ろうかなって思ったぐらい,282.12,7.079
今すごい抑えてます気持ちを,286.32,7.74
頑張ってくださいお疲れ様ですか,289.199,4.861
空手の,298.86,2.7
全日本大会2連覇と,299.699,3.78
初代全米チャンピオンと,301.56,4.859
ヨーロッパ国際大会2連覇してます,303.479,6.5
そこもシェ決定でいいんじゃないですか,306.419,3.56
決まりましたはい,311.94,3.44
決まりますが決まりましたね,313.56,4.68
そうなんですねありがとうございます,315.38,4.539
頑張ってください面白い試合を皆さんにお,318.24,4.019
見せできるように頑張りますはいさっきの,319.919,4.861
パックと同じパック,322.259,4.44
付けてこないとちゃんとオーディションも,324.78,4.639
そのまま来ないと,326.699,2.72
お疲れ様ですか,333.259,4.301
それは喧嘩道ですよ今回,339.36,4.02
ブレーキングダム6盛り上がってますね,344.28,7.4
いやーもう本当に今回もあれ出ましたね,345.66,6.02
喧嘩は良くないっすよ,351.96,2.94
皆さん,353.22,2.64
喧嘩するなら,354.9,3.5
喧嘩道じゃないですか,355.86,2.54
休憩終わりそうなはい引き続き行き,359.16,3.8
ましょうか,360.78,2.18
[拍手],375.14,3.509
ストリートで,392.52,4.399
殴り方が素人じゃなかったけど,393.84,3.079
良かったないやー,397.68,2.78
楽しみだな,403.62,4.579
盛り上げるんで見た目もいいし,405.0,6.319
どうですか,408.199,3.12
今までずっと2対4とかしてきて,421.88,7.42
全部買えるしきたんででその喧嘩で,426.479,4.681
みんなビビって,429.3,3.78
確かに逃げるわなこの見た目でねいやでも,431.16,4.8
1台かもしれないですよこの量,433.08,6.0
第2の朝倉兄弟になりますちょっと,435.96,5.16
とりあえず本戦でね,439.08,3.42
結果出してもらって,441.12,3.419
楽しみにしてます,442.5,4.34
楽しみです,444.539,2.301
夢ありますね,449.099,2.481
が,453.9,3.0
ブレイキングダンク出たら爆破しても,457.319,2.521
いいよって言ったんですけどこれって脈,458.58,2.04
ありですよね,459.84,2.88
試合はサトルさんかエドさんでやりたい,460.62,5.16
ですね,462.72,3.06
本当のお願いします,471.36,2.3
実力が本当に素人に毛が入った程度なんで,476.52,5.6
どっこいどっこいの勝負できると思います,478.5,3.62
勝ちますじゃないですか,482.46,2.48
アフターのために一緒に同伴してくれます,485.4,3.9
かこ,487.68,2.22
れって,489.3,2.1
役割ですよね,489.9,2.639
書いてくださいましたありがとうござい,491.4,3.199
ます,492.539,2.06
もうタイチャンネルから来ましたサイト,494.699,3.861
です,496.5,2.06
第1回逃げてる何逃げたの俺逃げてない,499.8,3.72
です,502.68,2.06
逃げたよねだって,503.52,4.14
も全部取ってたのに,504.74,5.679
急遽キャンセルされてますよねやろうよ,507.66,5.36
やりましょう,510.419,2.601
参加わかんないけどちょっとでも確かに,518.459,5.52
因縁の1回決まってたもんねそうですね1,520.68,6.3
回決まって今ベーキングラインの日が,523.979,3.781
変わっちゃって,526.98,2.46
流れたっていうのもそういう経緯になった,527.76,4.8
からいいかもしれないねそうね僕も特に,529.44,5.88
断る理由なかったんで,532.56,4.08
頑張りましょうはい,535.32,3.5
頑張ります,536.64,2.18
[音楽],541.09,7.65
サドルさんちょっといいですか,550.1,3.66
全然,557.64,2.699
ちょんちょんちゃうんででもあいつも強,558.54,3.0
いってのは普通にわかるんで,560.339,3.301
知ってるんでだけど,561.54,3.72
雑魚いってもしょうがないんであれですよ,563.64,4.08
ねあの喧嘩バトルロワイヤルで,565.26,4.019
えっとバン中村さんにも勝ってるんですよ,567.72,3.42
ねそうですね,569.279,5.641
優勝してるんですよねもう実力者なんで,571.14,4.56
ちょっと,574.92,4.7
盛り上げてくださいはい回してください,575.7,3.92
次のそのポーランド,580.68,3.02
一言も喋れなくて多分お尻たかったん,585.86,4.24
でしょうねあのクッションぐらい引いて,588.18,4.8
あげた方がいいですよ一緒に,590.1,4.5
クッションぐらい言ってあげないと,592.98,3.24
くって何時間も座ってたら,594.6,3.78
飯田さん多分それで一言も喋ってなかった,596.22,3.02
んで,598.38,3.44
はいって感じですかね,599.24,6.34
まあ今回買ってアピールしてもらってあと,601.82,5.139
次回とか,605.58,3.06
面白いですねはいじゃあ楽しみにします,606.959,3.361
ありがとうございます,608.64,4.759
よろしくお願いします,610.32,3.079
俺優子さんあんたでもいいよ,614.339,7.261
1分無制限と完全決着ということと何かお,617.88,5.76
互いにかけてやれるんであれもちろんそれ,621.6,4.679
でだなと思いますはい,623.64,4.879
試合結果,626.279,5.24
です,628.519,3.0
ね,634.7,5.259
ちょっとそうなんですよそうかじゃあいい,636.86,4.479
人がいたらでもその人にいいことしてたん,639.959,3.361
ですよ行こうとしてたんだけどやっぱその,641.339,3.481
比較しちゃうじゃないですか天秤にかけた,643.32,3.9
時にやっぱどうしてもねストーリーっての,644.82,5.519
がもう僕も年だからもうあと何回本当に,647.22,3.96
この,650.339,3.421
せっかくお会いできてるけどこの大会お,651.18,3.96
邪魔できるかもちろん,653.76,2.759
わかんないと思ってやってるからだから,655.14,4.319
そこでできることってなったらなんかその,656.519,4.681
ストーリーというか自分の中に理由がない,659.459,4.081
とちょっと動けなかったんで,661.2,4.699
プロデューサー,663.54,2.359
[音楽],669.57,3.049
ちょっとお金はどっかで工芸しないと,676.339,5.281
まずい,679.14,2.48
普段はそういうことで命をかけてやってる,683.459,3.361
方達,685.56,3.66
そういう方たちにも,686.82,3.84
恥じないぐらいのラインのことはやりたい,689.22,4.14
なと思ってますプロじゃないんで僕ははい,690.66,6.02
楽しみですぜひよろしくお願いします,693.36,3.32
まさかお展開で大丈夫ですかいや練習して,701.24,5.099
もらおうか,704.64,4.62
曲げたらまずいっすよ,706.339,5.161
油断してました,709.26,2.24
お疲れ様でしたよ,725.3,5.38
心臓が,729.42,4.68
本当になんか大会を重ねるごとにというか,730.68,4.44
ポジションを重ねることになるんだ,734.1,4.02
どんどんクオリティが上がって出てくる,735.12,5.219
その選手たちも,738.12,5.6
面白くなってるなって印象ですね,740.339,3.381
[音楽],744.75,3.09
僕の中で今回アウトサイダーサイズ,747.959,3.361
ブレーキングなので,749.76,6.38
対抗戦楽しいですそこを一番期待します,751.32,4.82
あの大会当日の,756.839,4.74
チケットとあとはペーパービューは概要欄,759.0,4.2
から購入できますんで,761.579,4.2
えーそちらから是非よろしくお願いします,763.2,4.139
ブリーフィングダウンを,765.779,4.201
応援してくださるえー企業様を,767.339,3.841
募集しておりますんで,769.98,2.58
是非,771.18,3.12
概要欄からお問い合わせよろしくお願いし,772.56,3.74
ます,774.3,2.0
ブレーキングダウン6は,777.06,3.24
喧嘩道,778.98,4.4
鬼丸ホーム3dファントム,780.3,6.12
ボーボービーストアスリンクの提供でお,783.38,5.16
送りします,786.42,2.12
[音楽],794.72,18.829
