text,start,duration
ごきげんよう,293.699,4.321
ごきげんようごきげんようさあ始まりまし,295.44,3.84
たジャニーズゲーミングルームですけども,298.02,4.679
今回ですねこの3人でなんと生配信でお,299.28,5.78
送りしていきます,302.699,2.361
どういうテンション普段Pスピースしない,305.479,4.481
だろう近かったしさあ僕たちあれですよ,308.1,5.52
マリオカート最強を決定戦以来の生配信,309.96,5.959
ですね,313.62,2.299
ジュリーはなんと久々の,318.12,4.44
ということですけどもそろそろしびれを,319.58,4.36
切らして俺が欲しくなるんじゃないかなと,322.56,4.8
思ってますいや,323.94,3.42
懐かしいもんなんかこの感じがもはやね,327.6,5.52
別に特別忙しかったわけじゃないんです,331.56,4.26
けどなんかどんどんあれ動画だけ更新さ,333.12,4.799
れるの俺呼ばれないなって言ったら,335.82,3.78
ゲームをやってたんですかゲームはずっと,337.919,3.921
やっておりますそういうのボリューム,339.6,4.52
やっております,341.84,6.28
よね,344.12,4.0
初めて初めて見た楽しくなっちゃった,354.12,5.519
久々だからねさ,356.699,5.161
れてますあこれ始まってんのああそうです,359.639,5.101
か今回ですね事前にね口にさせていただき,361.86,4.619
ましたけども生配信でなんと,364.74,3.66
Splatoon3をやっていきたいと,366.479,4.801
思いますありがとうございます最高,368.4,5.579
Splatoon3このチャンネルだとね,371.28,4.38
ちょうどまあ先行プレイやらせていただい,373.979,5.241
て動画上がってました,375.66,3.56
あれを見た結果おっやっぱこれは,380.84,6.479
俺がいないとダメだと思います,384.24,3.079
面白さ,388.979,3.181
俺がいないとやっぱりこのチャンネルは,389.819,4.741
寝るからはい全然だから今日俺は見せつけ,392.16,5.0
てやろうと思ってます,394.56,2.6
画面見れなくなってパって画面見た時に,399.84,5.04
もう勝ってるそれ見てほしいところそれを,401.699,4.461
見て,404.88,3.9
2人なんかさ事前になんか練習してたん,406.16,4.68
でしょ,408.78,2.06
流すからね,411.84,2.299
他の動画載るの乗りますそれで言うと2,414.72,2.84
時間練習です,416.46,3.959
どうでしたかその2時間,417.56,5.38
練習は何が重くなってまいりました,420.419,4.56
僕Splatoonをまあやってやってた,422.94,3.539
んですけどやるのにちょっと久々だったん,424.979,4.081
ですよなんでこの2時間で全て取り戻して,426.479,3.78
まあ,429.06,2.699
ほぼSplatoonの王になったみたい,430.259,3.361
ないやそんな2時間どうならへんから今回,431.759,3.601
あれでこのチャンネルのねアカウントで,433.62,3.72
やるじゃないですかはい,435.36,2.76
ちゃんと,437.34,2.699
色々とあれでしょなんかランク上げたりも,438.12,4.199
してたんでしょとかもう込みでやりました,440.039,5.28
しまああの自分に合った感度って言うん,442.319,6.061
ですかもうちゃんと調整してますしっかり,445.319,4.141
とやってる,448.38,4.7
準備万端です準備万端です,449.46,3.62
めちゃめちゃ上達したって聞いてますいや,453.78,6.419
俺今日さっきやってたんすけどかなり,456.0,6.68
良くなってましたね,460.199,2.481
ほぼディズニー,470.099,5.82
をねいやいやないもん朝から朝から仕事,472.039,6.1
だったのにほぼ寝ずにこの,475.919,4.56
すごいよ任してくださいよもういやすごい,478.139,4.981
ですよねやってますから今日調子良かっ,480.479,5.22
たっすよだからそのねほんとしっかりその,483.12,4.38
練習の模様も後日,485.699,3.72
配信いたしますのでぜひぜひご覧ください,487.5,5.58
というわけでですけどもあの今回もですね,489.419,4.801
YouTubeそしてTwitterの,493.08,2.82
コメントも見ながらやっていきたいと思い,494.22,3.3
ますよ,495.9,4.519
すごい流れに来てます,497.52,2.899
よでしょうね,500.84,3.84
一言も喋りませんあれ1個も喋んない,507.56,5.46
やろこれどうですか見れないですね僕の,517.76,8.519
100万いったか言ってない限り,522.14,6.04
ですけど,526.279,4.541
そういうのもねちょっとずつ喋りながら,528.18,4.58
YouTubeの方にもコメント来てるね,530.82,6.38
どうですかちょっとパッて読んでよ,532.76,4.44
すごいありがとうございます,538.019,3.481
楽しみにしてましたというの多いですね,539.519,3.541
10ターンとか,541.5,5.22
ガヤを授業押し付いてとやっぱ,543.06,5.339
工事徹夜したんだやっぱバレてますバレ,546.72,2.34
てる,548.399,3.241
視聴者にでもマリオカートの時もそうだっ,549.06,3.899
たけどさ,551.64,3.48
うまかったもんねやっぱりね練習したせい,552.959,4.921
が出てた真面目なんですよあ,555.12,5.6
ニキビがあるのバレてますね,557.88,2.84
なかなか見えないですからお願いいたし,561.92,5.2
ますさあでは改めて今日はプレイする対決,564.66,5.9
内容をねはい説明いたしました,567.12,3.44
美しいさあ今回はですね,571.8,3.68
はいじゃあ今回プライベートマッチでです,587.48,5.32
ね4対4でのナワバリバトルで対決して,590.22,3.559
いきます,592.8,2.94
1チーム,593.779,4.961
参戦勝負で時間の限り対決はい時間の方が,595.74,4.56
いいだからたくさんさやっぱゲームのさ,598.74,5.539
プレイの方にさ時間をさあーそうですね,600.3,3.979
ちなみに4対4の勝負で僕ら3人じゃない,605.04,5.04
ですかはいこれどうやって聞いてますか,608.16,4.859
今日はどうやっていくって聞いてます,610.08,5.28
僕が聞いたのはもう,613.019,5.281
募集した人たちと,615.36,5.76
僕たち僕たち僕たちは,618.3,4.2
聞いてますよ,621.12,4.08
スタッフさんが1人でしょ,622.5,7.8
強い人が違うんですかちょっとあれかな,625.2,6.48
あのなんか,630.3,3.479
うまくそこを伝わってないですねもっち,631.68,3.54
もっちーじゃなくてもっちーじゃないです,633.779,2.481
か,635.22,4.92
あの今回実はですねさっきも一緒に練習し,636.26,7.42
たよね,640.14,3.54
結構チームワーク良かったんすよもう字,645.66,4.859
上手かったですよちょっと餅じゃないん,647.64,5.879
ですけど実は餅じゃないもっち嘘つくなー,650.519,4.861
おい,653.519,5.521
金のメッシュ入れた餅いいですか,655.38,5.16
えどういうことですか,659.04,4.28
ジャニーズでまSplatoonといえば,660.54,5.94
もうこの人しかいないということでなんと,663.32,4.54
この方,666.48,3.5
呼んでます,667.86,2.12
[拍手],670.77,3.139
[音楽],677.56,3.06
砂利のチャンネルから来ました中村ですお,680.76,5.699
願いしますよろしくお願いしますちょっと,682.74,3.719
[拍手],686.68,3.9
待って,691.26,2.699
ゲームチャンネルってスタッフさんこんな,692.459,4.861
わけじゃないですかちょっと,693.959,3.361
心なしかもっちーと髪型被ってないですか,697.62,4.04
一緒ですけどもどうですか中丸くんはい,703.519,4.481
初めての,706.86,3.36
ゲーミングルームまずオープニングでその,708.0,4.019
ニキビの話してたじゃないですかどうでも,710.22,3.359
いいなと思って,712.019,3.681
ごめんなさい,713.579,2.121
でしたけどありがとうございます,725.779,5.981
話戻してやっぱSplatoonといえば,728.22,6.42
ジャニの中では自称ですけれどももうガチ,731.76,5.88
勢と言ってもいいんじゃないですか中村,734.64,4.86
君プレイ動画載せてますもんねこれとか,737.64,3.24
乗せてる2は,739.5,2.279
えっとね,740.88,2.28
櫓はX行きましたね,741.779,2.581
えー,743.16,4.619
すごいですよちょっと,744.36,3.419
待ってなあのどこに行った,748.38,7.019
オープニングやり直したいでしょちょっと,750.68,4.719
待って,756.06,3.5
全部全部チャラにしたいです,757.14,5.1
けどそうか,759.56,4.3
すいません長くてオープニングが,762.24,3.86
冗談ですけど,763.86,2.24
俺向井さん,767.459,4.021
デビューするずっと前,769.2,5.9
ほら兄弟やってました,771.48,3.62
そっからさ12以上はいたじゃない,776.42,4.719
デビューしたと向井って聞いても,779.279,4.341
同一チームだってわからなかったのよ,781.139,6.061
私そうはい,783.62,6.459
去年ぐらいかに気づいて,787.2,4.319
驚きましたよありがとうございますあの時,790.079,2.661
の向かいです,791.519,3.481
ようやくジャニーズが服を着さしてくれ,792.74,4.32
ました,795.0,2.06
よね,798.92,3.0
めちゃくちゃ,811.74,2.539
久ですよね確かにもう10年前とかはよく,815.399,6.74
あのメタルギアをね,819.72,5.64
でもやっぱりその時もそうでしたけど仲間,822.139,5.14
のくんを超えられなかったですね,825.36,3.0
ちなみに皆さん,827.279,4.021
え3は腕前どんぐらいなんすかまどうです,828.36,4.44
かね,831.3,2.7
ぼちぼちですかね,832.8,4.8
ランクみたいなやつに,834.0,3.6
はい何でしょうか,838.98,3.56
僕,843.959,3.06
Splatoon3の,845.399,5.701
プレイはそんなないです2まですごくでも,847.019,5.221
こういう,851.1,2.94
ゲームはねすごく好きなんで頑張りたい,852.24,4.5
でしょう最後,854.04,4.039
ふわっとしちゃった,856.74,4.62
よ僕は基本縄張りバトルしかしないんです,858.079,8.581
けどでランク今30行く前ぐらいですかね,861.36,5.3
3はね実はまだそんなにできてないんです,870.56,6.48
よちょっと待てよで中村君,873.24,7.279
になっちゃってるでもっと任天,877.04,5.099
堂々,880.519,4.361
ですけど,882.139,5.14
愛してるんですよでも昨日4時までやって,884.88,6.42
ますから僕朝のいいねはいということで,887.279,6.601
ですね今回ナワバリバトルJGRチームは,891.3,4.74
ですね中丸くん有岡,893.88,4.56
ジュリーそして向井の4人であのやって,896.04,4.76
いきたいと思います,898.44,2.36
参加者の皆さんとの4名と戦っていくと,903.36,7.32
なるほどということですねコメントもされ,906.72,6.32
てるんじゃないですか,910.68,2.36
だから僕ゲーム愛が,923.779,7.321
強くてそのファミコンと同級生なんですよ,926.82,7.74
だからなんかゲームの文化と一緒に育った,931.1,6.7
みたいな感じでだからそれでゲームが,934.56,5.1
参加したいんだけれどもなんかみんなで,937.8,3.0
楽しそうなのを見ると嫉妬しちゃうから,939.66,3.84
ちょっと見ないみたいなそれぐらい,940.8,4.5
ちょっと参加したかったんで今日は,943.5,3.48
本当来てくれてよかったんですけどね僕,945.3,3.12
たち的には全然,946.98,2.58
良かった,948.42,4.56
車に喋っといてこっから喋れないか,949.56,6.36
口数減りそうやねでもチームプレイだから,952.98,5.039
さあコミュニケーション取ってやらないと,955.92,4.08
勝てないからねとても,958.019,3.981
必要になってきました,960.0,4.26
いやでも今日も午前中ちゃんとやってるん,962.0,5.279
で僕もあ忙しいですね,964.26,6.06
じゃあちょっとやっていきますかそろそろ,967.279,5.56
ねあの準備もできたようですので最初の,970.32,4.139
チームからちょっと対決していきたいと,972.839,3.68
思います,974.459,2.06
ちなみにJCRチームそれぞれの名前は,976.56,7.56
ですね1があり岡2が3が工事で,978.839,7.5
部分が中丸くんとお願いしますということ,984.12,4.2
ですちょっとマジで頑張ろうちょっとマジ,986.339,4.381
でよしえーでもこれねごめんなさい最近に,988.32,3.24
言うと,990.72,3.119
縄張りやんないんだよねだから普段何やる,991.56,4.139
んでしたっけ中村君はあのほらあっちの方,993.839,2.881
あの,995.699,3.5
ガチの方ですよね,996.72,2.479
ガチャエリアとかじゃあOkおしまいます,1000.44,5.399
か,1002.839,3.0
ギアがちょっとあれですね,1012.56,3.98
本当に,1014.48,2.06
ちゃんとこの日のために,1017.6,4.34
色々あげてもらった,1019.1,2.84
ジュリーは何を使うんですかそして,1022.399,5.28
工事がボールドマーカーですゴールド,1026.179,4.321
マーカー僕はザップできますはいはいはい,1027.679,5.64
塗りでねあまって緊張してるさあ始まり,1030.5,4.86
ましたよこれなんか作戦とかあんのいつも,1033.319,4.821
どうします,1035.36,2.78
ごめんなさいもう考えれません1回やり,1040.819,4.041
ましょう,1042.799,2.061
もうこれ塗っていきます,1045.319,3.201
緊張したさあさあさあさあいますやります,1053.9,4.399
よー,1056.12,2.179
はい倒しましたよありがとう,1058.52,3.38
あここか,1063.52,3.3
電車あげましょうか,1067.52,2.519
電線電線,1068.6,3.86
開けましょうあげましょう,1070.039,2.421
ように,1080.559,3.0
言ってくよ,1083.78,4.7
行っていきましょうどんどん,1085.0,3.48
行くんだけど,1101.02,3.12
強いですよ,1104.96,2.24
じゃないですか何で何のルールが練習した,1132.799,6.081
んですか今日はいやあのね,1135.86,3.02
倒されないようにしないと,1142.4,5.06
ダメですやっぱり倒されたら,1143.96,3.5
右のスペシャルも,1148.7,2.94
止まっちゃうんで,1150.14,4.74
観光投げるOK,1151.64,5.36
ナイス,1154.88,2.12
結構時間攻められてるこっち攻めてる,1171.2,3.92
よ,1181.94,3.0
あー惜しい,1190.34,3.079
くそくそ惜しい,1195.919,3.301
結構いい,1200.66,3.74
勝負する結構いい結構いい結構,1201.919,5.601
いやこれ,1204.4,3.12
いけないいやこれ所詮勝ちたいなぁ,1207.559,4.821
[音楽],1220.28,3.059
[笑い],1274.99,4.21
しながら後で後でやるにしてやっぱり最初,1283.7,4.979
倒すのに集中した方がいい真ん中を,1286.88,4.679
どんどん攻めますでせめてやられそうだっ,1288.679,5.161
たら逃げた方がいいんですよこれやられ,1291.559,4.141
ないことが大事なんですよねやられない方,1293.84,6.62
