text,start,duration
(I Love You),12.763,7.674
Dedaunan di taman berjatuhan,20.562,4.254
Dan mengajariku cara terbang,25.526,5.213
"Betapa baiknya kalian, kataku
Aku berterima kasih",31.323,3.42
Aku berharap aku bisa,34.826,3.129
Melayang ringan bagai daun berguguran,38.038,5.005
"Saat aku ceritakan kekhawatiranku
Kepada kucing yang lewat",44.711,5.881
Aku ingin bertemu denganmu lagi,50.676,5.797
"Kata-kata, harapan, atau pemandangan apa",57.057,5.422
"Yang bisa membuatmu tersenyum
Dan membuatmu bahagia?",62.563,5.505
"Aku tak punya peta
Aku hanya berjalan dan mencarinya",68.151,6.757
"Betapa aku berharap
Bisa memberikannya kepadamu",74.992,7.007
Perbedaan antara kebetulan dan takdir,86.712,4.004
Tertulis di wajahmu,91.633,5.422
"Dan di dalam permen
Yang kau berikan kepadaku hari itu",97.598,6.464
Ada makna kehidupan,104.146,4.629
"Dengan menyentuh segala hal
Yang melayang di sekitarmu",110.861,5.881
Apa yang bisa kuciptakan?,116.825,6.048
Pola di duniaku terdiri dari,122.956,5.756
"Resolusi-resolusi lemah, semua tak penting",128.795,5.589
"Caraku yang tak bergaya tidaklah modis
Tapi itulah aku",134.468,6.465
"Betapa aku berharap
Itu akan membuatmu tertawa",141.016,6.965
"Citraku tentangmu, citramu tentangku",157.991,6.465
"Mereka mungkin tak sama, tapi tetap saja",164.54,6.965
Toko roti di depan stasiun,174.007,1.877
"Dan suara ditutupnya
Palang pintu kereta api",175.968,3.712
Aku ingin bertemu denganmu lagi,179.763,6.215
"Kata-kata, harapan, atau pemandangan apa",186.061,5.798
"Yang bisa membuatmu tersenyum
Dan membuatmu bahagia?",191.942,5.172
"Aku tak punya peta
Aku hanya berjalan dan mencarinya",197.197,6.924
"Betapa aku berharap
Bisa memberikannya kepadamu",204.204,5.965
"Aku ingin membuat buket
Dari perjalanan dan waktuku",210.252,6.089
"Betapa aku berharap
Bisa memberikannya kepadamu",216.425,6.923
(I Love You),12.763,7.674
ใบไม้โรยราในสวนสาธารณะกำลังปลิวไสว,20.562,4.254
สอนวิธีโบยบินให้ได้เรียนรู้,25.526,5.255
ขอบคุณ,31.323,1.919
ในความปรารถนาดี หากผมตัวเบาหวิว,33.325,4.63
ได้แบบนั้นละก็,38.038,4.922
พึมพำปลดปล่อยความกังวล,44.711,3.921
หลังเห็นแมวตัดหน้า,48.715,2.044
อา อยากเจอเธอเหลือเกิน,50.843,5.63
"ถ้อยคำแบบไหน คำอธิษฐานอย่างไร
ทิวทัศน์เช่นใด",57.057,5.422
จะทำให้เธอมีรอยยิ้ม มีความสุขขึ้นมาได้,62.563,5.505
ถึงไม่มีของอย่างแผนที่,68.151,3.254
แต่ก็จะออกเดินค้นหา,71.488,3.42
