text,start,duration
はいどうも皆さんこんにちは塩田と申し,0.0,3.12
ます今日もねストラト実況やっていきたい,1.439,3.301
んですけど皆さん今回はですね,3.12,3.239
Splatoonのアップデートを一緒に,4.74,3.72
見ていこうと思いますあのねそこそこ,6.359,4.381
大きいアップデートがね今回初めて聞いた,8.46,4.62
ということでまあプレートのでちょっと見,10.74,4.019
方もわかんない方ももしかしたらいるか,13.08,5.039
なーと思ったので一緒に見てねあのどこが,14.759,4.621
良くなってどこが,18.119,3.181
期待どう良くなっていくのが期待できるの,19.38,3.54
かみたいな話もしていけたらなと思います,21.3,3.78
ということでよろしくお願いしますさあ,22.92,4.82
Splatoon3更新データバージョン,25.08,5.699
1.220122年10月26日配信予定,27.74,5.92
水曜日配信予定ですねアミーボに関する,30.779,5.101
変更っていうのはここあんま関係なくて,33.66,3.84
アミーボ使えるようになったよってだけで,35.88,4.26
まず最初に一つ目ここをめっちゃでかくて,37.5,4.44
通信に関する変更,40.14,3.9
送信したデータが相手に届きその反応が,41.94,4.2
返ってくるまでの時間がこれまでより短く,44.04,3.12
なるよう,46.14,3.36
通信プログラムの改善まあ言ってしまえば,47.16,4.919
ラグをちょっと軽減したよって,49.5,6.719
平均して60分の3秒の単色となります3,52.079,7.14
フレームだね3フレームの短縮3フレー,56.219,4.081
ムっていうのは,59.219,2.281
結構大きいよ,60.3,2.88
ダメージが与えたダメージ与えた,61.5,3.479
プレイヤーが実際に倒れるまでの時間の,63.18,2.759
短縮や,64.979,3.061
金いくらにね触れてから実際に獲得できる,65.939,4.081
までの時間の短縮なんかSplatoon,68.04,5.04
3敵倒して何々を倒したって出るの,70.02,6.0
ちょっと遅かったじゃんそれがねまあ3,73.08,5.039
フレーム早くなるからだいぶ,76.02,3.599
ラグはマシになるんじゃないかなと思っ,78.119,3.301
てるタイム,79.619,4.201
シーに関する変更一部のサブフォンの性能,81.42,3.239
を変更,83.82,2.58
炭酸ボム弱体化です,84.659,3.661
使用後にインクが回復し始めるまでの時間,86.4,2.82
を,88.32,3.479
60分の15秒間延長しました15,89.22,4.74
フレームねインク回復するのにロック,91.799,4.381
かかったこれまインクロックっていう人が,93.96,5.04
多いねサブウェポンとか使った直後って,96.18,5.7
なかなかねインク回復しないんだけどその,99.0,5.22
インク回復しない時間が伸びたとこれでね,101.88,3.34
連投しにくくなったね,104.22,2.16
[音楽],105.22,3.259
でスペシャル必要ポイントが増加しました,106.38,4.26
バリアブルローラースクリュースロシア,108.479,4.021
ラクトのスペシャリストポイントが200,110.64,5.64
から212増えたとバリアブルローラーと,112.5,6.299
ラクトは丸みさぶん回し戦法がねちょっと,116.28,3.119
ね,118.799,2.46
弱体化してくって感じですスクリュー,119.399,4.321
スロッシャーも単純にね武器が強いナイス,121.259,5.701
玉を210にして回転率減らしとねこう,123.72,3.96
いうね,126.96,2.579
わかりやすい調整,127.68,5.4
直接的な調整はこのね探査飲むとこの下の,129.539,5.881
3つのスペシャル必要ポイントだけなのよ,133.08,5.94
えっもっと洗濯機弱体化しろよみたいなね,135.42,6.48
声あるかもしれないんだけどちょっと,139.02,3.9
待ってほしい,141.9,2.82
実はねこのわかりやすい,142.92,4.5
調整じゃなくて他にもね色々調整が加え,144.72,4.86
られてるからここで判断するのはまだ早い,147.42,3.84
よ,149.58,4.56
でまぁそこから順番に見ていくと,151.26,6.72
フェスに関する変更まここら辺はねまあ,154.14,4.679
その,157.98,2.759
快適にゲームをねプレイできるようになっ,158.819,4.261
たりあったりだから,160.739,3.601
対戦に関してあんまり,163.08,3.06
関係ないねその,164.34,3.899
他の変更ここら辺もねあの,166.14,3.959
快適にゲームがプレイできるようにするね,168.239,4.321
例えばロビーやクマさん紹介で一人プレイ,170.099,4.86
していて続けるやカスタマイズし続ける,172.56,5.34
選んだ特に直後だとあのマイナスボタンで,174.959,4.5
キャンセルできるようになった続けるのが,177.9,3.24
カスタマイ続けるしてたらねやめれなかっ,179.459,2.701
たからね,181.14,2.459
うん,182.16,3.719
ロビーやクマさん紹介でトレンド合流で,183.599,4.261
準備OKができるようになったら,185.879,3.841
効果音とかコントロールの振動でぐるっと,187.86,4.68
押しているあごめんあAボタン押すの忘れ,189.72,5.599
てたわみたいなないなくな,192.54,5.279
るっていうねでこれ見て番からマッチ版,195.319,4.601
からマッチフェスマッチトリカラアタック,197.819,5.881
のマッチメイクの効率を改善しましたこの,199.92,4.92
変更に,203.7,3.36
ワンカラマッチやフェスマッチで,204.84,4.38
フレンドとの2人ペアで参加するときに,207.06,4.62
待ち時間が長くなってしまう問題がそう,209.22,4.5
いうことで期待できますこれマジで待って,211.68,5.1
