text,start,duration
タイガースからファイターズにトレードで,0.24,3.6
移籍した,2.82,4.2
斉藤幸也投手と縁を死体が選手が入団会見,3.84,5.72
を行いました,7.02,2.54
ファイターズの一員として,10.08,3.84
リーグ優勝日本一に,12.48,2.52
貢献できるように,13.92,2.88
頑張りたいと思いますよろしくお願いし,15.0,3.06
ます,16.8,2.58
頑張っちゃダメ,18.06,3.979
楽しみOK,19.38,2.659
できるように頑張っていきたいと思います,23.72,3.899
新庄監督流の会見にやや通されていた2人,30.42,7.319
最後は新庄監督から質問が,33.48,6.66
どこのポジションで投げたり,37.739,4.941
全部のやりたいです,40.14,2.54
先発者は高津なのかあるやん自分で中継ぎ,43.02,7.14
を作用を狙ってますはい,47.94,4.459
ナンバーでしょ,50.16,2.239
一番です一番,53.16,3.78
ドア,55.86,2.76
センターです,56.94,3.86
わかりました,58.62,2.18
