text,start,duration
やだなと夜の東海もやって,0.0,5.7
様々なねスポーツ企画とか,3.48,4.68
チャレンジだとかガチンコ装備をやってき,5.7,4.68
たじゃないですかでやっぱみんな得意不,8.16,4.2
特技とかあったりとかしてこう差が,10.38,3.6
ちょっとあったりしねいい勝負したりとか,12.36,3.839
になってくるんですけど僕ですねあのこれ,13.98,3.059
は,16.199,1.5
みんな,17.039,2.221
平等なんじゃないかなっていう,17.699,4.261
得意がない今日も見つけてきたんですよ,19.26,4.56
僕運動系だと結構ね,21.96,3.0
苦手だなと思うところもあるんですけど,23.82,3.959
これだったら2人にワンチャン以上ねん,24.96,4.26
じゃないかなっていうので持ってきたって,27.779,3.9
いうところもありますね今まではいろいろ,29.22,5.22
不利な戦いに挑んでるそうですよようやく,31.679,4.081
平等に戦える,34.44,4.92
僕もやったことないですでもそれはですね,35.76,5.639
回転なんですね,39.36,4.019
回転が平等な気がしちゃったんだそうです,41.399,2.701
ね,43.379,2.34
配点って言ってもどういう回転かっていう,44.1,4.74
とかさそういう回転ですよその場で,45.719,5.641
ぐるぐる回るいわゆる三半規管が狂うよう,48.84,3.18
な,51.36,3.06
体験ですね人間を軸にしてる感じじゃない,52.02,4.679
フィギュアスケートの人は鍛えてるから目,54.42,5.0
回らないと思うんですけど,56.699,2.721
そうなんですよ,59.94,3.54
なんで今回,61.46,6.339
皆さんに1週間のうちに10分間3回,63.48,7.499
チャレンジできるというねでその3階の,67.799,6.781
合計回転数で勝負しようっていう,70.979,6.18
合計回転数回転に関しては工夫していいん,74.58,5.16
ですか回転までもう自由です16封じて,77.159,4.561
全然やってていいですまあもう1週間の,79.74,3.18
うち3回チャレンジできるんですけども,81.72,4.74
今回は同じのなしで3種類やってくる3,82.92,5.4
種類別々なら何でもいい何でもいいですよ,86.46,4.38
もう制限時間10分なんで途中で5分,88.32,5.159
ぐらいで1回休憩って2分ぐらい休憩して,90.84,6.419
出すと3分間本気で回るっていうのも全然,93.479,4.561
休憩して,97.259,4.141
逆回転その話ですね,98.04,5.399
右回りを始めたら右回りでしか思われませ,101.4,5.52
んあじゃあ今日右回り明日左回りをそれは,103.439,5.281
ありなんじゃないですか,106.92,3.3
チャレンジ最初に言ってくださいなるほど,108.72,4.14
ね私は右回りですはいそれは自分で,110.22,4.62
カウントするんですかこれいやもう映像,112.86,3.96
撮ってもらってま自分でカウントすると,114.84,3.9
多分途中でバグってしまう可能性もあるの,116.82,2.88
で,118.74,4.44
回転大会第三者委員会みたいな感じで第三,119.7,6.239
者がカウントしながら公平にね判断する,123.18,4.14
会社があるんだ自分で数えるのちょっと,125.939,2.701
ずるい気持ちちゃうからね,127.32,3.779
結構しんどいじゃないですかやりますよ,128.64,6.54
ええいいんですか珍しい優勝者にはい,131.099,5.941
ちゃんとしたご褒美ありますそれは,135.18,3.779
ちょっとモチベーションになるねだったら,137.04,4.16
全然いいわなんでちょっとそれも楽しみに,138.959,5.141
1週間後までに3回やって3回10分間,141.2,5.679
[音楽],144.1,3.859
別に嫌だわ,146.879,3.0
ご褒美とかじゃなくてあ,147.959,3.601
すいませんはいいいようによってはみたい,149.879,3.841
なやつはダメですわいいようによっては,151.56,4.259
例えば高く行った方が勝ち選手権みたいな,153.72,3.42
時の,155.819,2.521
靴屋スピーカーをこうやって投げて,157.14,4.44
うわーってみたいなね,158.34,5.58
ですよ,161.58,7.4
てつやなのかあ俺は負け犬だけど,163.92,5.06
みんなそうなればそうしたらもうドリルで,175.08,3.5
人形つけて,176.819,4.2
こうならこうなってるのめっちゃうだけ,178.58,4.48
ですインパクトやったらダメダメですまあ,181.019,4.741
いわゆるフィジカルですよわかりました,183.06,4.2
来週までにチャレンジしていきましょう,185.76,3.979
はい,187.26,2.479
行った感じだったよ,192.56,3.539
お,198.18,3.0
願いした側の俺もさすがに引いたお前マジ,202.8,5.159
みんなが何やったかほんとみんな気になる,206.22,5.159
ねまあ1種目目から発表してどんどんやっ,207.959,5.401
たか見ていきましょうはいじゃあまずこっ,211.379,4.44
からでいいですかねはいそれでは僕の回転,213.36,4.14
こちらです,215.819,3.361
回転選手権,217.5,4.319
第1食ま椅子で回ってもいいかなって思っ,219.18,5.22
たんですけどちょっと僕が思ってる西目3,221.819,3.84
種目と,224.4,3.18
被ってしまってま似たようなことはでき,225.659,4.8
ないかなってちょっと違うんだけど,227.58,5.4
椅子と同じ原理のものを使うんで,230.459,4.56
椅子は無しでちょっと色々考えて結果,232.98,3.6
やっぱり,235.019,4.021
椅子でこう自分でこう回るよりも自分で,236.58,5.519
その場でねこうやって回るこれも意外と,239.04,5.1
強いんじゃないかなと思ったわけですよな,242.099,6.121
ので10分間回り続けて回数というのをね,244.14,7.879
試してみたいなと思いますいきます,248.22,3.799
[音楽],253.97,3.11
はい,257.579,3.9
やばいやばいやばいやばい,259.22,4.44
回ってきたよ,261.479,2.181
[音楽],267.98,3.12
[音楽],275.18,5.73
めっちゃ気持ち悪い,286.199,5.57
[音楽],287.12,4.649
止まると一気に決めちゃうからね,292.08,2.49
回ってる時,294.36,18.429
[音楽],294.57,18.219
うわめっちゃ目待ってるこれでとりあえず,313.02,3.3
第1種目,315.36,2.279
自力でやるの,316.32,1.98
終わりました,317.639,3.0
自力でやるのはやっぱり夢がないやっぱ第,318.3,4.8
2種目と僕が考えてるやつはちょっと人の,320.639,4.56
手を借りて邪魔してもらうってやつなんで,323.1,4.2
期待して次の仕事もね頑張りたいと思い,325.199,2.761
ます,327.3,3.5
以上11で回転するでしょ,327.96,5.7
てな感じでしたね,330.8,4.119
共感しかないね,333.66,3.96
絶望の1回ねいやもうこんなんだっけって,334.919,3.541
思って,337.62,4.1
途中もうやって,338.46,3.26
拒否反応みたいなそれじゃあ最初の方お,342.3,6.0
願いします234,345.18,3.12
回ですね,348.72,2.36
[音楽],352.96,3.09
これがね1,357.259,6.361
周とか言わんでも気持ち悪くない,360.3,3.32
ですかはいじゃあ僕のVTRどうぞ,364.58,5.82
ということでということで1回目の回転の,370.44,4.68
チャレンジなんですけど1回目ということ,373.56,4.139
