text,start,duration
隣の,4.14,3.0
止まるホテル,5.339,4.8
俺の部屋に見なよ呼びました,7.14,6.06
久しぶりだねこの4人で集まった,10.139,5.46
昔よくさあのさ,13.2,5.999
せとりとさライブの反省会じゃない,15.599,4.68
先のホテルでね,19.199,4.681
フジロックの時なおラインかという3人で,20.279,5.821
リメンバーみたいな前の日に,23.88,5.7
前乗りして見てその後男3人で忘れられ,26.1,6.74
ないリメンバーミリオンになったからね,29.58,3.26
今日は,34.02,5.039
チェーンソーマン,36.48,3.36
言っちゃうか,39.059,2.16
第3話であれですよ,39.84,3.32
僕らは,41.219,5.221
エンディングさあ全部違うけどこれも担当,43.16,5.5
するのは大さんは,46.44,3.48
第3位に,48.66,2.399
放送されるので,49.92,2.22
みんなで,51.059,2.881
リア対しようとエンディングを自分たちに,52.14,4.88
どんな映画ハマるのか,53.94,3.08
スタンバってますよ,60.3,4.399
バッチリですよ,61.52,3.179
その大学生丸出しの麦茶のパック,66.439,4.68
ここここがシワシワですね,81.119,6.18
ハリパでこうなってんじゃんここの部分,84.32,5.74
外すじゃんなんか目のところに,87.299,5.341
片っぽだけ残しといてカメラでできるから,90.06,4.68
ねあー,92.64,6.08
形がねえやろと思うけどね,94.74,3.98
[音楽],106.52,12.22
時間的に多分このそろそろもうそろそろだ,116.28,3.6
ね,118.74,4.14
毎日楽しいこの辺ではそろそろ,119.88,3.779
来るんじゃないこれそろそろ来るんじゃ,122.88,2.16
ない,123.659,2.761
あっ,125.04,2.939
来るじゃん,126.42,3.72
終わっちゃうんかこれいやまんまで来んな,127.979,4.221
よ,130.14,2.06
[音楽],132.54,3.28
たった今流れたインディ曲を担当した,158.18,6.36
マキシマムザホルモンの部屋に来ています,160.519,4.021
世界観ぴったりでしたありがとうござい,167.879,5.841
ます今回重大発表があるときます,169.68,4.04
2曲のみテレビサイズだけ,178.04,7.9
ますよね,181.879,4.061
エンディング第三は,189.54,4.82
亘理くん,192.0,2.36
ノンストップ,195.72,2.12
めっちゃ良かった,203.34,3.899
の曲の限界ごとでどういう風な感じになっ,204.319,6.661
てくるのかなと思っててすごかったね,207.239,3.741
[音楽],213.57,4.27
一応何ですよ,222.799,3.241
いわばインスタのストーリーとかに流せる,227.22,4.5
やつとか,229.739,3.661
tiktokで流しながらとかもあんなの,231.72,4.26
もあの2曲はもう好きだ本当欲しいから,233.4,3.479
もう,235.98,2.94
色々できんじゃないですかだってそうそう,236.879,4.521
そう,238.92,2.48
踊ってもなんかなんかあったらね,241.56,3.319
アーティスト名というかもう,247.019,4.901
味とページもうこんな感じのほら,249.0,7.34
[音楽],251.92,8.779
これがこういう目こういう,256.34,9.299
お前の上におるわいるわよ,260.699,7.021
このアーチャーが取れたのかわかんない,265.639,4.261
けどね,267.72,2.18
プロトタイプですけど,272.94,3.84
めっちゃいいこれにしてほしいこれでお,274.62,4.98
願いしたい一部のアニメテーマック,276.78,5.84
専門仮説チャンネルとして,279.6,3.02
邪険も作らなくて,285.18,4.04
[音楽],286.8,4.82
あれは,289.22,6.52
そうねまだ,291.62,4.12
プロトタイプよはい,300.479,2.841
なんですけど,305.58,2.54
刃渡りによくCMの,309.24,4.62
1曲だけのジャケなんだけど,310.94,5.56
事前情報として最近俺が,313.86,4.2
理屈らしくてすげえ好きなシリーズがあっ,316.5,3.18
て,318.06,4.62
梅津和夫の私は慎吾手間なんだけど人工,319.68,4.32
知能を持ったロボットが,322.68,3.12
色々巻き起こすんだけど,324.0,3.06
ロボット視点で,325.8,4.44
書くんだけどこの時私はとても,327.06,4.34
暴れたと聞きます,330.24,5.1
なんかちょっとそしてこの後私は記憶を,331.4,4.84
失ったと,335.34,3.6
言いましたとかっていうのはまた見方,336.24,3.739
らしくて,338.94,6.36
なので今回ははいま1曲だけどこういうの,339.979,6.401
は,345.3,4.08
エンディング,346.38,3.0
テーマになったそうです,355.139,4.981
絶対自作をやらなかったホルモンが,357.539,6.981
特別に本局をサブスク解禁したと聞きます,360.12,4.4
間違いない,379.02,2.239
この,414.3,3.78
茶番をずっとガンマイクで音声さんが拾っ,415.74,4.56
ていると聞いています,418.08,5.48
後に聞きましたカメラ映して,420.3,3.26
[音楽],424.18,8.889
