text,start,duration
[音楽],0.42,5.1
ボルケニオンそれは水炎という唯一無二の,2.7,5.64
タイプを持つ幻ポケモン出身は6世代か,5.52,3.9
ロス地方っすね,8.34,3.299
特性は約束された強さの貯水,9.42,4.379
種族値配分も綺麗で申し分なく,11.639,4.621
ザシアンの居住山を4分の1じゃれつくを,13.799,5.521
半減カイオーガの水技を完全無効氷技も4,16.26,5.88
分の1まさに夢のような性能を持った最強,19.32,6.36
の幻ポケモンになるはずでした,22.14,5.54
え,25.68,2.0
現実は雑誌案のワイルドボルトでほぼワン,28.08,3.119
パンされてしまい,30.119,3.241
ボルケニオンの大文字ですらザシアンが,31.199,3.721
ちょっと耐久に振るだけで耐えられて,33.36,3.6
しまうマジかよ,34.92,3.659
海王ガの水技が無効,36.96,3.779
普通に雷でボコされますしかも,38.579,4.021
ボルケニオン側から海王が2打点ないです,40.739,4.261
もんねさらに伝説ポケモンにはドラゴン,42.6,4.56
タイプが多くボルケニオンの攻撃など,45.0,5.219
あまりに無力大体伝説の特防高すぎて,47.16,6.0
ボルケニオンの火力でも押せませんそう幻,50.219,4.921
ポケモン界の機体の超新星ボルケニオンは,53.16,4.98
この大伝説時代に潰されてしまった哀れな,55.14,5.579
ポケモンなのです最新の使用率では70位,58.14,4.98
30位未満のポケモンがほとんどいない,60.719,4.981
環境なのでまあ使われてないっすね,63.12,6.179
水と炎つまり青と赤そう本来はご乗悟る,65.7,5.58
レベルの強さがあるはずなのですつなげ方,69.299,4.561
があまりに無理ありませんか,71.28,5.339
ボルケニオンよ教えてやろうぜお前がただ,73.86,4.73
の敗北者なんかじゃないってことをな,76.619,4.32
[音楽],78.59,4.09
それではお相手さん,80.939,4.521
対戦よろしくお願いします,82.68,2.78
さあ初手はグラードンさん大会がこちらも,86.46,4.44
赤と青で奇しくもボルケニオンカラーです,89.22,2.399
ね,90.9,4.2
相手の海王が青じゃねえけどなは紫,91.619,6.601
挙式かお嬢悟るを1階忘れましょうさて,95.1,5.1
今日はなんとかしてボルケニオンを活躍さ,98.22,4.079
せたいんだけどそのために組み合わせるの,100.2,5.04
がこのグラードンほうとりあえず特性の,102.299,4.801
順番でグラードンの方が遅いとわかりまし,105.24,2.699
たね,107.1,2.64
晴れてるから海王がの水技絶えるんだけど,107.939,4.201
たまにグラードンをワンパンする玉ダイ,109.74,4.08
アイスを打ってくるのでここは,112.14,3.78
ボルケニオンで受けていくぜお,113.82,4.2
早速水はザ向こうで氷4分の1が生きて,115.92,3.36
ますね,118.02,4.279
ボルケニオン3降臨です,119.28,3.019
特性貯水で無効すね今の環境で死を吹き,123.6,4.74
採用はかなりスカーフの可能性が高い,126.659,4.8
つまりここで雷は飛んでこないと一旦,128.34,4.56
グラードンに引いて様子見してもいいけど,131.459,3.841
まあ晴れてるから飛んできても命中終わり,132.9,3.12
だし,135.3,2.64
電気半減の速度のみもあるしここは,136.02,4.799
突っ張ってもいいかなさあを相手3交代,137.94,4.799
スカーフっぽい動きではあります,140.819,5.701
ほおタイプ相性をご存知でないまあ晴れて,142.739,4.561
ますし,146.52,3.359
海王ガニ水技は撃たないので,147.3,6.12
見えるぞ一旦鳳凰で大地の力ス化してまた,149.879,5.521
後退してくる未来がとても見えるだけど,153.42,4.38
さすがに水和剤をせないんだぜ,155.4,4.14
海王が来るなら雨になるし,157.8,4.2
ダメージは悪くなさそうですけど,159.54,4.199
もう,162.0,4.68
残念無限大な綺麗な3点交代決められ,163.739,5.64
ちゃいましたお日本でも最近配布され始め,166.68,5.04
た色違いダイナじゃないかってのは置い,169.379,3.241
といて,171.72,1.739
刮目せよ,172.62,2.399
ボルケニオンの専用技,173.459,4.161
スチームバースト,175.019,2.601
晴れてるしこんなもんです,178.2,3.84
お焼けましたね,180.36,3.78
ボルケニオンの専用技スチームバースト,182.04,4.44
威力はハイドロポンプと同じ110ながら,184.14,4.8
熱湯と同じ3割やけどの効果があるそれで,186.48,4.8
いて命中率はドロポンよりはるかに高い,188.94,3.18
95%,191.28,3.539
幻ポケモン特有のぶっ壊れ技っすねこの技,192.12,5.22
があるにしても誰にも使われてない大伝説,194.819,4.381
時代じゃなければ相当強かったんだろう,197.34,3.899
なぁ,199.2,3.899
グラードンの耐久ならダイマックス法に,201.239,2.881
