text,start,duration
こんにちは,0.24,3.54
みずきです今日はある企画をしていくん,1.38,7.139
ですけどその前にここ事務所なんですけど,3.78,6.66
じゃんなんと,8.519,6.66
銀の盾が続きましたーいなんか,10.44,7.86
改めて嬉しいですありがとうございますで,15.179,6.001
えっと今日なんですけど,18.3,6.899
すっぴんでしてちょっとこの後,21.18,6.24
美容院に行って色々セットをするんです,25.199,3.42
けど,27.42,2.939
企画ですね,28.619,5.161
本日の企画で,30.359,5.161
朝倉未来YouTube,33.78,2.88
メンバーに,35.52,1.97
検証,36.66,2.16
[音楽],37.49,4.87
えーと検証の内容なんですけど今,38.82,5.759
女性のマネージャーを,42.36,5.64
募集してるんですけどで私が別人になって,44.579,6.66
いったらメンバーは気づくのかっていう,48.0,4.44
ことで,51.239,2.221
面接を,52.44,3.48
受けていきたいと思いますで,53.46,5.579
別人なんですけどいつも,55.92,6.24
美容院でお世話やってるキーさん原宿の,59.039,4.381
キーさんで,62.16,2.76
ウィッグと,63.42,4.08
メイクとあとはマスクと,64.92,4.379
メガネでなんとか,67.5,5.54
ごまかしながらやっていきたいと思います,69.299,3.741
決まりました,80.04,2.24
髪が描くはい,87.0,3.54
髪が描く,89.46,2.299
髪型,90.54,7.64
これで私が外に出てでここを映すと,91.759,6.421
あとはね,102.68,3.479
ジャン,107.34,5.099
こんな感じですやっぱり,108.9,4.98
後ろすごい,112.439,6.18
ボリュームがすごいまいっかこんな感じで,113.88,8.12
黒髪になりました,118.619,3.381
お,123.119,3.0
願いします,126.18,2.119
俺たちサブちゃんで行くってこと,139.14,5.72
広告ついちゃったよ,142.2,2.66
ここが,154.099,3.181
[音楽],162.0,5.58
最近は行ったの,165.0,5.54
半年ぐらいですね,167.58,2.96
[音楽],181.63,3.15
雑誌の撮影捕まった,206.64,3.08
そうそう,211.68,2.479
伝説,216.42,2.179
面白いですね,221.4,3.24
[音楽],228.73,6.11
[笑い],230.59,4.25
[音楽],235.73,3.1
[音楽],241.19,3.099
[音楽],282.74,3.089
[音楽],298.61,3.029
さんに歌ってはいたんですけどそれを,303.919,6.161
ちょっと,309.06,2.22
YouTubeでこの,310.08,3.78
募集してるのを聞いて,311.28,3.67
ます,313.86,4.2
[音楽],314.95,3.11
ね,318.62,6.84
それだけの角度がありますよ,321.56,3.9
会計事務所のアルバイトしたんですか,327.9,4.4
会計しましたね,329.759,2.541
[音楽],333.44,3.11
時給がいいので,339.919,4.661
そちらで,342.539,4.861
も作業しようと思っても新しい,344.58,4.92
電話事務所の方で,347.4,4.04
作業編を探してるんですけど,349.5,4.86
ここにずっと食べる今ちょっと,351.44,5.44
クリエイターが見えてさんしかいないのに,354.36,5.82
手があるかと思いますそういう時は,356.88,4.74
僕とかSさんの,360.18,4.32
結構10年前の仕事を,361.62,5.359
手伝ってことか,364.5,2.479
な,368.039,2.701
[音楽],369.31,6.109
3ヶ月あそうだ3ヶ月間トライアルがもし,370.74,8.459
性欲は3ヶ月間はこちらがいつでも,375.419,5.701
ちょっと,379.199,4.201
ダメだねなんかでも,381.12,3.359
目なさい,383.4,2.66
神田3ヶ月かかります,384.479,6.44
で3ヶ月間が終わったら接種検査,386.06,4.859
なんか聞きたいこととかね,392.699,3.741
今言ったからねこれ誰に対してますか,413.58,4.04
俺は途中で気づいたけど,418.02,6.959
吉田くんと拓みたいですねさすが,419.88,5.099
わからなかった,426.96,3.859
名前は,427.8,6.3
何を撮ってるかあんまわかってないよ,430.819,5.16
誰に何やって,434.1,6.06
ここまでの,435.979,4.181
途中,443.819,5.701
かけられてますよね,445.16,4.36
えわかりました,467.52,3.48
わかりました,469.62,4.4
途中で途中で気づきました,471.0,3.02
講演会やっぱり,474.9,5.1
全然わからなかったよいや,476.46,3.54
途中で,486.479,6.081
誰かそういう仕掛けに下がってこれは,488.099,4.461
金髪は,495.3,3.54
金髪にしたの,496.74,5.459
クリニックですこの,498.84,3.359
企画水木さんから見たときに多分5秒で,510.24,4.26
バレるよと思ったらさ全員全然気づかん,512.099,4.701
からね,514.5,2.3
改めて言うと私が,521.88,3.899
別人になって,524.52,3.3
面接受験に行ったら,525.779,3.74
メンバー気づくのか,527.82,5.699
なちょっと,529.519,4.0
気づかんかったから,533.58,2.66
中卒でしょ,540.2,3.12
[笑い],550.14,8.42
すごい気づいたんですよ行くのもやけに,563.1,4.52
笑うしね,565.38,2.24
本当に,569.519,2.061
さおじいちゃんみたいなやつ,574.519,4.201
だけで判断してる,581.24,3.599
俺に気づいたら意味が分かったよねいや,586.08,4.46
あのー,588.12,2.42
[音楽],596.02,3.06
ほっと君と殺されるだけ知ってたんだよね,601.14,7.86
こんだけ気づかないちょっと,604.58,4.42
[音楽],611.51,3.07
仕掛け人であらかじめ言っていい,615.18,6.599
感じにそのなんか伝説,619.26,5.699
流れうまくいくように回せくれるかな補助,621.779,4.74
してくれるかなって思ったらどっか行っ,624.959,3.681
ちゃうから,626.519,2.121
こっちが入って,629.899,6.12
逆になってしっかりしろよ,631.86,4.159
[音楽],639.37,9.05
[笑い],640.58,7.84
高,654.6,3.0
[笑い],664.09,7.3
[音楽],668.3,3.09
[笑い],676.14,3.54
評価と,678.54,5.84
チャンネル登録よろしくお願いしますでは,679.68,4.7
