text,start,duration
こんにちは,0.0,3.0
Yuですそれでは今日も元気よくお金の,4.319,3.421
勉強をしていきましょう今日のテーマは,6.359,4.381
これですねまたしてもネット炎上年金の,7.74,5.16
納付期間45年に延長と,10.74,4.439
厚生年金で穴埋めについて解説こういう,12.9,3.9
テーマで話をしていきたいと思います,15.179,3.36
僕の簡単なプロフィールですこんな感じに,16.8,3.18
なってますんでね興味の方はまた見て,18.539,3.361
いただければと思います今日の話題ですね,19.98,6.0
最近年金の話題で度々ネット上で炎上騒ぎ,21.9,5.1
が起きています,25.98,2.52
きっかけとなったのはこの2つのニュース,27.0,2.58
です,28.5,3.66
納付期間45年延長権と,29.58,5.4
政府国民年金保険料それから国民年金,32.16,4.62
5万円台以上,34.98,5.099
厚労省厚生年金で穴埋めこの2つですね1,36.78,5.22
つ目のニュースは政府が,40.079,4.8
国民年金の保険料納付期間を40年から,42.0,5.52
45年に延長しちゃおうかなーっていう,44.879,3.721
ものです,47.52,3.78
国民年金は今は20歳から60歳までの,48.6,4.92
40年間払えばいいんですけど,51.3,4.98
将来的には20歳から65歳までの45,53.52,4.74
年間払わなくてはいけなくなるかもしれ,56.28,5.099
ませんこれを受けてネットではそのうち,58.26,5.34
75歳とかまで保険料払わなきゃいけなく,61.379,5.1
なりそうですねとかそんなの年金もらう前,63.6,4.92
に死んじゃうってといった感じで大,66.479,4.32
ブーイングそして2つ目のニュースは政府,68.52,4.8
が国民年金を維持するために,70.799,4.621
厚生年金で穴埋めするつまり,73.32,4.799
会社員の負担増やすわーっていうものです,75.42,5.28
当然サラリーマンはだいぶイングです岸田,78.119,6.0
政権は2025年夏まで大型選挙がない,80.7,5.58
黄金の3年間を手にしていますから,84.119,5.221
国民の反対が強そうな法改正も割と強気で,86.28,5.159
進められる状況ですということで今日の,89.34,3.06
動画では,91.439,3.961
納付期間45年に延長検討ニュースと,92.4,5.52
厚生年金による国民年金の穴埋め検討,95.4,4.399
ニュースこの2点について解説します,97.92,5.04
それぞれのパートの最後では具体的な対策,99.799,6.101
についても解説します日本の年金はお箱に,102.96,3.839
なるのか,105.9,3.0
自分の老後は一体どうなるのか,106.799,4.32
