text,start,duration
え,0.24,2.46
吠えた感じの方がいいですかそれともなん,0.78,3.66
かににっかりみたいなどっちがいいです,2.7,2.98
いやー,4.44,1.61
[拍手],5.68,4.3
[笑い],6.05,7.93
行くぞー,9.98,6.7
空の平和島プカプカ,13.98,5.46
こんにちはこんにちはお願いしますさあと,16.68,4.14
いうわけで最近,19.44,4.759
僕もにはまっている寺までです,20.82,3.379
こんにちは今回開封していくパックは,25.699,5.141
こちらハイクラスパックGX,28.32,5.82
ウルトラシャイン出ました,30.84,5.219
てかさてかさゆうたこれさ,34.14,4.62
スカイツイマー編は平和島さん,36.059,3.66
初めてでね,38.76,2.28
始めてるわあ,39.719,5.061
違うんだはい,41.04,3.74
平和島かって思ってないよもう,50.16,5.16
平和島カーと思ってね,53.399,2.581
みたいな,55.32,4.739
感じのやりますこれはもう平和島ですよ,55.98,6.68
確かに平和島企画だもん,60.059,6.901
これは記念すべき平和島一発目です,62.66,6.6
俺今回,66.96,2.3
こちら1,69.56,5.31
ボックス5万円ですけど,72.119,5.87
[音楽],74.87,3.119
そちらからはですね黒の水をね,81.479,5.841
プロのリザード,84.54,2.78
シャイニースターvも黒のリザーブンでし,88.74,2.699
たようん,90.479,4.441
確かにそうだねこれがちょっと違う4番,91.439,6.961
ですねじゃあ,94.92,3.48
他にもなんか,100.439,3.391
リーディング,102.54,4.35
[音楽],103.83,3.06
ダイヤモンドパールのそうですか,107.52,4.62
先にフュージョンですね,118.38,3.559
[音楽],123.39,3.239
コンビニに売ってるやつや釣れました,129.42,3.539
そちら,131.22,5.879
開けていきますはい行きますよー,132.959,7.14
し,137.099,3.0
めくるのもったいぶらないとかでしか,142.2,3.92
追いつけない,144.0,2.12
[音楽],146.46,5.58
はい,149.04,3.0
自信あります,152.58,2.299
欲張りすそれはダブルで,158.099,5.64
トリプルレアがいいんですかね,162.06,4.759
いやSRだね,163.739,3.08
[音楽],171.06,3.159
通常エネルギー,175.56,2.48
ヤバそうだよ,181.2,2.84
俺,182.04,2.0
おー,184.14,4.8
します,186.68,3.72
680円,188.94,4.5
だってこれでさあ,190.4,4.54
飯食えるよ,193.44,4.879
キャッチャーでもたまに入ってるから,194.94,3.379
あー出ちゃいました,198.54,3.839
雑魚でした,200.64,3.44
ケケンに,202.379,3.44
580円,204.08,5.939
ここはさっきのと逆にしか変わんないはい,205.819,6.041
これでも,210.019,2.461
雑魚宮ですね,211.86,10.709
[音楽],212.48,10.089
[音楽],224.81,8.909
お前またやんもう,233.959,6.821
終わっちゃったもう終わっちゃったじゃん,237.78,4.14
フュージョンアップはいくらなんですか,240.78,3.12
はい,241.92,4.819
7000円やばいじゃあ勝ててない全然,243.9,4.86
そうだ,246.739,4.5
負けたんだったら,248.76,2.479
絶対キラキラしてました,259.56,2.78
行きます,265.16,7.36
出ましたこれすごいですよねいや,267.78,7.08
僕はできんよね使ってるんですすごいです,272.52,3.36
けど,274.86,2.64
値段的に言うと,275.88,5.06
同じぐらいすごいんじゃないの400円,277.5,3.44
トリプルレアでそれはそうですね今回出た,281.4,4.859
あたりこれです,284.04,4.379
ニューかっこいいやっぱかっこいいね,286.259,4.5
まあまあでもこの動画の本番はここから,288.419,4.5
ですからそうですねこれタダごとじゃない,290.759,5.341
んですよねそれただい音じゃないよ,292.919,6.78
値段が黒のリザード,296.1,5.78
旅行行きます,299.699,2.181
これ売ってとかじゃなくて思い出で,305.479,8.041
これはちょっと綺麗に開けたい,309.96,3.56
思い出で別実費で行ってこう,314.06,7.54
いいやろ出なかったね,318.56,6.04
逆にそんぐらいの気持ちでいれば,321.6,3.68
すごい,324.6,3.98
いっぱい綺麗あるよ,325.28,3.3
ね,331.56,3.0
多分そうだ,334.68,5.7
さあいいの来いよーおおお,336.36,4.65
トレーナーズ来たよ,340.38,8.45
[音楽],341.01,7.82
山男,349.68,2.18
[音楽],353.25,3.079
[音楽],364.48,7.03
1500円,372.02,3.0
出ました,375.32,6.78
1500円出ました,377.66,4.44
[音楽],383.07,10.019
けどこのハイクラスパックって10枚全部,397.639,5.441
キラのやつありますよね,401.039,5.641
SR10枚パックよし,403.08,6.44
頼むぜ行きます,406.68,2.84
キラキラキラ,410.039,6.78
[音楽],411.09,7.91
みたいなの,416.819,2.181
ですね,419.9,3.06
[拍手],434.89,3.08
1万2000円,438.84,3.0
旅行行こう,442.8,5.88
これはマジですごいこれが高い,443.9,9.12
めっちゃ高いめっちゃ高いマジですげぇ,448.68,4.34
[音楽],454.08,8.109
[音楽],467.85,8.419
[音楽],486.58,11.849
[音楽],501.53,3.18
[音楽],509.15,7.589
[音楽],520.11,13.07
この次やばい,530.339,2.841
入ってないことはないですよ,536.16,4.26
SRは絶対1いや俺ねマジでね多分,537.959,5.181
リザードだと思ってんだよね,540.42,2.72
ここのここにいるこの,544.76,5.199
次はいいんだよこの次,551.16,4.44
大丈夫大丈夫まだね来ないな知ってるほら,552.92,6.12
緊張感はねまだ必要ない,555.6,3.44
よ,562.459,5.09
[音楽],564.34,3.209
お前が見たっていうやつ,568.7,6.06
まだ出てないよね,571.22,3.54
[音楽],575.53,19.55
マジで俺エグいぞじゃあ最後のパックだ,592.16,3.69
マジですよ,595.08,2.819
[音楽],595.85,5.35
来るかもしれないもうすぐやばい,597.899,3.611
来るぞー,601.2,5.41
[音楽],601.51,5.1
[音楽],608.94,9.75
[音楽],626.6,4.069
[拍手],633.89,3.09
1万円を超えると普通のファイルじゃなく,661.22,3.4
て,663.72,3.799
プラスチックのやつに入れて,664.62,2.899
ありがとうございます,672.62,3.24
ことなんてできないから普通になんか5万,677.24,4.719
のいちご食うとかそういう感じのことは,680.279,4.941
あんな動画より全然,681.959,3.261
ありがとうございました楽しかったです,685.32,5.24
イエーイまたね,687.6,2.96
いや,691.44,2.3
