text,start,duration
阿部元総理を追悼する国会演説が25日,5.06,6.28
立憲民主党の,10.2,4.7
野田元総理によって行われました,11.34,3.56
野田元総理は,15.059,4.921
第二次安倍政権の直前に総理を務めていて,16.44,5.46
阿部元総理の国葬には,19.98,3.059
元総理が,21.9,4.619
元総理の葬儀に出ないのは私の人生観から,23.039,6.66
外れるとして日経民主党議員が,26.519,6.481
多く欠席する中出席しました,29.699,4.621
それでは,33.0,3.84
野田元総理による追悼演説を,34.32,5.3
ノーカットでご覧ください,36.84,2.78
本院議員,41.04,4.44
安倍晋三元内閣総理大臣が,42.48,5.34
去る7月8日,45.48,3.899
参院選挙候補者の,47.82,3.239
応援に訪れた,49.379,3.121
奈良県内で,51.059,2.581
演説中に,52.5,2.34
配慮から,53.64,3.419
銃撃されました,54.84,4.26
搬送先の病院で,57.059,3.121
全力の,59.1,4.5
救命措置が施され日本中の,60.18,4.86
回復を願う,63.6,2.46
通説な,65.04,3.96
祈りもむなしくあなたは,66.06,6.72
復帰の客となられました,69.0,5.88
享年67歳,72.78,3.96
あまりにも突然の,74.88,4.16
悲劇でした,76.74,2.3
政治家としてやり残した仕事,79.2,5.34
次の世代へと,82.86,6.899
伝えたかった思いそしていつか引退後に,84.54,7.14
昭恵夫人と共に,89.759,3.781
過ごすはずであった,91.68,4.38
穏やかな日々,93.54,5.28
すべては一瞬にして,96.06,5.059
奪われました,98.82,2.299
政治家の逃げるマイクは,102.06,3.66
単なる言葉を通す,104.1,3.72
道具ではありません,105.72,4.32
人々の暮らしや,107.82,4.259
命がかかっています,110.04,6.18
マイクおにぎり日本の未来について,112.079,5.4
前を向いて,116.22,3.0
訴えているときに,117.479,3.18
後ろから,119.22,3.539
襲われた無念さは,120.659,4.881
床ばかりであったか,122.759,2.781
改めてこの暴挙に対して,125.88,4.32
激しい気取りを,128.7,3.66
禁じ得ません,130.2,4.08
私は,132.36,4.68
生前のあなたと,134.28,4.62
政治的な立場を,137.04,4.62
同じくするものではありませんでした,138.9,5.76
しかしながら私は,141.66,5.939
前任者としてあなたに,144.66,5.1
内閣総理大臣のバトンを,147.599,3.0
渡した,149.76,3.559
当院であります,150.599,2.72
我が国の憲政史には101台,153.36,4.98
64名の,156.72,3.54
内閣総理大臣が,158.34,4.399
名を連ねます,160.26,2.479
先人たちが,162.9,3.3
味わってきた中足と,164.099,3.42
孤独を,166.2,3.319
我が身に対したことのある一人として,167.519,4.08
あなたの,169.519,4.36
非業の死を痛み,171.599,4.741
哀悼の誠を捧げたい,173.879,5.521
そうした1年のもとにここに,176.34,5.1
皆様のご賛同を得て,179.4,4.199
議員に指導を代表し,181.44,3.48
謹んで,183.599,2.821
追悼の言葉を,184.92,4.16
申し述べます,186.42,2.66
安倍晋三さんあなたは,194.28,4.739
昭和29年9月,196.92,2.94
後に,199.019,3.181
外務大臣などを歴任された,199.86,3.78
安倍晋太郎氏,202.2,2.52
陽子様,203.64,2.7
ご夫妻の次男として,204.72,3.96
東京都に生まれました,206.34,4.92
父方の祖父は衆議院議員,208.68,5.279
母方の祖父と大叔父は,211.26,4.92
後の内閣総理大臣という,213.959,4.86
政治家持続です,216.18,4.38
幼い頃から,218.819,5.101
身近に政治があるという環境のもと,220.56,4.86
公のために,223.92,2.64
身を尽くす,225.42,2.819
覚悟と危害を,226.56,5.28
学んでこられたに違いありません,228.239,5.461
成蹊大学法学部,231.84,5.34
政治学科を卒業されいったんは神戸製鋼所,233.7,4.14
に,237.18,2.639
勤務した後,237.84,4.14
外務大臣に就任していた,239.819,5.041
質疑の秘書官を務めながら,241.98,4.619
政治への志を,244.86,6.36
確かなものとされてきましたそして,246.599,7.621
父慎太郎氏の旧姓後,251.22,4.32
平成5年,254.22,3.12
当時の山口から,255.54,5.64
衆議院選挙に出馬し見事に,257.34,6.859
初陣を飾られました,261.18,3.019
38歳の,264.9,5.7
青年政治家の誕生であります,266.88,5.099
私も,270.6,3.18
同期当選です,271.979,3.301
初通りの日,273.78,4.859
国会議事堂の正面見下にはあなたの周りを,275.28,4.859
取り囲む,278.639,5.28
ひときわ大きな人垣ができていたの,280.139,5.701
鮮明に覚えています,283.919,3.541
そこには,285.84,3.84
フラッシュの先行を挙げながら,287.46,4.799
インタビューに応えるあなたの姿があり,289.68,4.14
ました,292.259,4.921
私にはその輝きがただ,293.82,6.36
眩しく見えるばかりでした,297.18,4.98
その後のあなたが,300.18,4.019
政治家としての会談を,302.16,3.12
瞬く間に,304.199,2.761
駆け上がっていったのは,305.28,4.26
周知のごとくであります,306.96,4.86
内閣官房副長官として,309.54,3.599
北朝鮮による,311.82,3.84
拉致問題の解決に向けて,313.139,4.62
力を尽くされ,315.66,3.96
自由民主党幹事長,317.759,3.781
内閣官房長官といった,319.62,3.0
養殖を,321.54,2.04
若くして,322.62,3.9
歴任した後あなたは,323.58,5.1
平成18年9月,326.52,3.78
第90代の,328.68,2.4
内閣,330.3,2.04
総理大臣に,331.08,3.98
就任されました,332.34,2.72
戦後生まれて初,335.34,5.84
弱い52最年少でした,336.9,4.28
大きな期待を受けて,341.82,3.54
船でした,343.979,3.78
第一次安倍政権でしたが,345.36,5.04
翌年9月あなたは,347.759,4.44
激務が続く中で,350.4,5.22
持病を悪化させ1年余りで,352.199,4.381
対人を,355.62,3.74
余儀なくされました,356.58,2.78
順風満帆の政治家人生を,359.94,4.62
歩んでいたあなたにとっては,362.46,5.579
初めての大きな挫折でした,364.56,4.979
もう二度と,368.039,4.141
政治的に立ち上がれないのではないかと,369.539,8.16
思い詰めた日々が続いたことでしょう,372.18,9.0
しかしあなたはそこで心を折れ,377.699,7.041
諦めてしまうことはありませんでした,381.18,3.56
災害の昭恵夫人に支えられて,386.1,5.819
体調の回復に努め思いを寄せる,388.56,5.28
雨天の友達や,391.919,3.361
地元の皆様の,393.84,3.0
温かいご支援にも,395.28,3.06
助けられながら,396.84,4.919
反省点を日々ノートに書き留め,398.34,6.859
剣道将来をします,401.759,3.44
挫折から学ぶ力とどん底から這い上がって,405.3,8.1
いく執念あなたは人間として,408.96,8.4
政治家としてより大きく成長を遂げていく,413.4,6.48
のであります,417.36,4.44
かつて,419.88,4.56
再チャレンジという言葉でたとえ失敗して,421.8,5.82
も何度でもやり直せる社会を提唱した,424.44,4.8
あなた,427.62,3.299
その言葉を,429.24,2.76
自ら,430.919,3.72
実践して見せました,432.0,6.0
ここにあなたの政治家としての,434.639,7.881
