text,start,duration
傾いてますおはようよろしくお願いします,0.9,6.12
けみおですということでですね皆さん私今,4.319,5.581
悲しい何が悲しいかっていうとここ,7.02,4.86
うちの今の家なんだけどま連日に渡ってね,9.9,3.659
私が引っ越しするとかいろんなそういう,11.88,3.299
なんていう公式系の動画をあげてるんです,13.559,4.021
けど遂にこの日が来てしまいました私家が,15.179,4.561
ありませんだけども家を出てかなきゃいけ,17.58,4.68
ないんですねあと2週間ぐらいね2週間,19.74,4.379
ぐらいで家が出てかなきゃいけないのに家,22.26,4.14
がないんです次どこに行くのでもまあ出,24.119,4.021
てく日はもう決まってるのでその日にも,26.4,2.94
大家さんに出て行ってくださいと言われ,28.14,1.92
てるので,29.34,1.38
荷物を,30.06,4.08
絶賛詰め始めているのもうね結構ね,30.72,5.22
メンタル的に来るのよこれってだって,34.14,4.32
なんて言ったってさほら見て私のさ相棒の,35.94,4.02
リラックマちゃんも連れて行くんだけどさ,38.46,3.0
ほらこんなに悲しがってるもんだって次,39.96,3.3
行く家がどこかわからないんだもんま,41.46,3.599
とりあえずですねこんな感じで今ダン,43.26,3.08
ボールを詰めてるんですけど,45.059,4.441
何が大変かというと今から私は飛行機に,46.34,5.44
乗って日本に帰るんですね日本に帰る前に,49.5,4.079
空港に行く前にもうスーツケースとか全部,51.78,4.5
持って一見だけ空港に着く前に内見に行か,53.579,4.561
なきゃいけなくてもう本当にギリギリまで,56.28,3.779
家探してるの2本つくまでに間にねだから,58.14,4.5
もうを信じてその家で決められたら奇跡が,60.059,4.32
決められなかった私は11月から家がない,62.64,4.2
んだけどなのでちょっともう30分ぐらい,64.379,4.621
時間があるからギリギリまで荷物済みを,66.84,4.139
しようと思ってなのでなんか私のこれ,69.0,3.96
オフィスというかここ私のオフィスという,70.979,3.781
かいろんなね多分Instagramとか,72.96,2.94
でも見たこと,74.76,4.8
ポスターが半分剥がれてるあの,75.9,4.74
インスタとかでも見たことあるかもしれ,79.56,2.52
ないんですけどなんかオフィスみたいな,80.64,3.479
感じのスペースがあってなんかここで動画,82.08,4.079
撮ったりとかしたこととかあってここの,84.119,4.441
整理をするので今からね私のお部屋のある,86.159,4.381
ものとか気になるじゃんみんなだからそれ,88.56,3.3
を紹介しながら,90.54,3.06
喋ったら本当に時間がないんだけど30分,91.86,2.939
ぐらいに出てかなきゃいけないんだけど家,93.6,2.879
を内勤に向けてなんかやっていきたいと,94.799,3.18
思います,96.479,2.941
ダンボールですよろしくお願いしますと,97.979,3.6
いうことで今クローゼット自分の部屋の,99.42,3.839
クローゼットを荷物はだいたい詰めたんだ,101.579,3.54
けどそれだけでもうダンボールができる箱,103.259,4.32
あるもんねやばくないクローゼットだけで,105.119,4.741
ダンボールが20箱もあるの私は自分の,107.579,4.981
ベッドルーム以外にもこのもう一つこの,109.86,4.56
空間があるから私空間みたいなのがある,112.56,2.82
から,114.42,2.82
本当にダンボールが全部で1箱ぐらいに,115.38,3.599
なるんじゃないかなとアメリカ生活6年目,117.24,3.839
になるんですけどアメリカ私と同じくらい,118.979,3.301
の時期に引っ越してきた人ってこれぐらい,121.079,3.18
の荷物の量ですか皆さんそれとも私が,122.28,3.839
