text,start,duration
[Music],4.05,4.81
everybody yes,5.839,6.121
[Music],8.86,3.1
[Music],14.66,3.45
[Applause],15.03,3.08
[Music],19.2,20.849
[Music],45.36,3.259
too big,48.68,3.3
[Music],52.28,3.499
[Applause],52.67,3.109
[Music],66.42,9.199
one two three four five,71.54,4.079
[Music],77.31,3.09
[Music],85.18,17.539
[Music],105.47,8.729
[Music],116.21,3.89
[Music],122.11,3.15
what are you doing,125.84,23.53
[Music],128.139,21.231
[Music],151.49,17.17
foreign,165.66,3.0
[Music],170.29,15.779
[Music],188.16,9.84
[Music],205.02,3.199
[Music],211.84,14.41
foreign,229.2,2.48
