text,start,duration
"Laundromat’s empty, must be my lucky day",19.196,4.764
It’s about time I said buh-bye to this crud,23.96,4.332
"Who is it, who’s whispering in my head,",28.292,4.394
"the greedy voices keep singing, begging for more",32.686,4.211
"I just want to be satisfied, doing the bare minimum",37.69,4.31
I want to grab that heart of yours with my bare hands,42.0,8.543
"Let’s fill it up with “happy,” until we rest in peace",51.816,4.685
"That glimpse of hell isn’t so bad, scatter it with love",56.501,4.625
"I love you, please humiliate me. 
Rob me of my dignity and laugh my honey",61.126,5.0
"GRIND, FUTURE, A BEAUTIFUL STAR",66.126,2.333
"GRIND, FUTURE, A BEAUTIFUL STAR",68.671,1.883
"GRIND, FUTURE, A BEAUTIFUL STAR",70.996,2.331
I think my screw’s coming loose,73.47,1.985
"4443, another opportunity lost",84.996,5.004
"I’ve been so hungry to the core, I could vomit",90.0,3.946
“Rainy days never stay”? Hand over your umbrella,93.946,4.547
"Give me all of it, I want it all. 
The more I crave, an empty void consumes me",98.493,5.442
"I just want to be satisfied, doing the bare minimum",103.935,9.441
"I want to sabotage it all, wipe it out clean",113.376,8.957
Even that heart of yours,122.333,7.285
"Let’s fill it up with luck, go until we rest in peace",134.272,4.596
A heaven only for the righteous? That’s no way to live,138.868,4.592
"I love you, please humiliate me. 
Rob me of my dignity and laugh, my honey",143.46,5.171
"GRIND, FUTURE, A BEAUTIFUL STAR",148.735,1.688
"GRIND, FUTURE, A BEAUTIFUL STAR",150.982,1.921
"GRIND, FUTURE, A BEAUTIFUL STAR",153.293,2.436
I think my screw’s coming loose,155.729,1.591
" Happy. Lucky. Konnichiwa baby   
[ Happy. Lucky. Konnichiwa baby ]",157.476,4.839
"Upright and noble? That’s boring
   [ A future like that, so boring ]  ",162.315,4.551
" Happy. Lucky. Konnichiwa baby, so sweet   
[ Happy. Lucky. Konnichiwa baby, so sweet ]",166.866,4.468
"GRIND, FUTURE, A BEAUTIFUL STAR",172.491,1.794
"GRIND, FUTURE, A BEAUTIFUL STAR",174.545,2.065
"GRIND, FUTURE, A BEAUTIFUL STAR",177.0,2.0
I’m getting a kick out of it,179.351,2.02
ランドリー今日はガラ空きでラッキーデイ,19.196,4.764
かったりい油汚れもこれでバイバイ,23.96,4.332
誰だ誰だ頭の中　呼びかける声は,28.292,4.394
あれが欲しいこれが欲しいと歌っている　,32.686,4.211
幸せになりたい　楽して生きていたい,37.69,4.31
この手に掴みたい　あなたのその胸の中,42.0,8.543
ハッピーで埋め尽くして　レストインピースまで行こうぜ,51.816,4.685
いつかみた地獄もいいところ　愛をばら撒いて,56.501,4.625
アイラブユー貶してくれ　全部奪って笑ってくれマイハニー,61.126,5.0
努力　未来　A BEAUTIFUL STAR,66.126,2.333
努力　未来　A BEAUTIFUL STAR,68.671,1.883
努力　未来　A BEAUTIFUL STAR　,70.996,2.331
なんか忘れちゃってんだ,73.47,1.985
4443で外れる炭酸水,84.996,5.004
ハングリー拗らせて吐きそうな人生　,90.0,3.946
「止まない雨はない」より先に　その傘をくれよ,93.946,4.547
あれが欲しい　これが欲しい　全て欲しい　ただ虚しい,98.493,5.442
幸せになりたい　楽して生きていたい,103.935,9.441
全部滅茶苦茶にしたい　何もかも消し去りたい,113.376,8.957
あなたのその胸の中,122.333,7.285
ラッキーで埋め尽くして　レストインピースまで行こうぜ,134.272,4.596
良い子だけ迎える天国じゃ　どうも生きらんない,138.868,4.592
アイラブユー貶して奪って笑ってくれマイハニー,143.46,5.171
努力　未来　A BEAUTIFUL STAR,148.735,1.688
努力　未来　A BEAUTIFUL STAR,150.982,1.921
努力　未来　A BEAUTIFUL STAR,153.293,2.436
なんか忘れちゃってんだ,155.729,1.591
"  ハッピー　ラッキー　こんにちはベイビー    
[  ハッピー　ラッキー　こんにちはベイビー  ]",157.476,4.839
"良い子でいたい　そりゃつまらない
[ あなたの未来　そりゃつまらない ]",162.315,4.551
"  ハッピー　ラッキー　こんにちはベイビーソースイート   
[  ハッピー　ラッキー　こんにちはベイビーソースイート ]",166.866,4.468
努力　未来　A BEAUTIFUL STAR,172.491,1.794
努力　未来　A BEAUTIFUL STAR,174.545,2.065
努力　未来　A BEAUTIFUL STAR,177.0,2.0
なんかすごい良い感じ,179.351,2.02
