text,start,duration
[音楽],10.85,3.11
大人の遊びはね,31.5,3.259
すごいね,36.12,4.16
いいね,37.86,2.42
なんかいい,45.44,4.24
うん,48.36,3.3
うん,49.68,6.02
俺ってどっぷりなのよ,51.66,4.04
何年前の,57.8,5.38
廃盤って,61.02,6.18
もう5年はで廃盤になった5年ぐらい何で,63.18,4.92
廃盤なの,67.2,2.12
良さそうじゃん,68.1,5.0
ここまでが進出,69.32,3.78
ここ開けるんでしょ,73.92,3.48
告白,75.42,5.1
よし知ってる人に譲ってもらった,77.4,5.359
儲けたぜ,80.52,2.239
繰り返しにも,84.479,2.361
いいねこれね,87.259,4.261
そしてそのことをやってくる会社があるの,102.54,4.5
ありそう,104.34,6.48
それ最高じゃん高い,107.04,3.78
多分高いですだろうね,111.24,5.94
DCでこういうことでやろうとするとまあ,114.36,6.74
だからちょっとかかると思うしいやー,117.18,3.92
島田君ってこのカラーが似合うような,122.04,3.0
なんか,123.299,2.64
なんか,125.04,2.059
え,125.939,4.38
黒黒い,127.099,4.801
じられて作ろう,130.319,3.301
がやっぱ,131.9,3.28
イメージこの形が気に入ってるけどこの,133.62,3.6
ことを気に入ってないからだからまあ1回,135.18,4.98
今日初めて買ってるからまあ雨だし,137.22,6.599
ちょうどいいかなと思って出るしあろうと,140.16,5.1
梅雨に持ってこいのテントだなという,143.819,3.441
こっちを考えてやって確かにね,145.26,5.78
かっこいいじゃんかっこいいよ,147.26,3.78
今年のやつは絶対,153.78,4.16
日々,155.94,5.42
これで寝ます,157.94,3.42
遠くから見てさあ島田君だってやっぱ,162.48,4.02
マジで,164.599,4.481
安心しましたなんか久しぶりの久しぶりに,166.5,4.459
なった感じがする,169.08,5.4
でしょこんな色合いだったなと思って,170.959,6.121
結構あってるやん,174.48,2.6
いや今日が,178.459,4.841
本当悩んでてさもう車中泊しようかなと,180.48,4.5
思ってるけど,183.3,4.159
タープだけ貼って,184.98,2.479
久しぶりよ,187.8,2.36
園ある,190.44,5.659
べきですよそれは分かってるよ,193.019,3.08
山本さんもなんか,196.62,3.56
すごいなぁ,197.819,2.361
[笑い],202.82,6.11
いやちゃんと,213.06,2.34
ちゃんと持ってきたよあの,214.14,2.879
履き替えるやつは,215.4,5.6
うんここが11山,217.019,3.981
残念ながら雨はね,229.14,2.84
[拍手],237.67,3.52
[拍手],244.98,35.099
[拍手],289.33,10.49
[拍手],306.08,3.09
[拍手],313.02,3.2
[拍手],327.5,15.979
[拍手],356.0,24.22
いいじゃないなんかね,377.1,4.36
キャンプっていいじゃない,380.22,5.79
[笑い],381.46,4.55
[拍手],458.84,3.18
[拍手],474.04,3.109
ふとしたなんかまた人柄もらってんの,672.779,3.441
[音楽],723.89,3.19
喉,798.36,3.479
取れるもんとして4本入ってる,798.899,7.641
600円高いなって僕は感じますけどね,801.839,4.701
[音楽],812.63,3.07
[音楽],827.19,5.01
セブンスターを1本いただきたいんです,830.399,3.601
けども,832.2,3.96
あるんですけどちょっと今見当たらあるん,834.0,3.779
だとそうすればいい,836.16,4.2
ちょっと僕全速気味なとかじゃあやめとけ,837.779,3.36
た方がいいね,840.36,3.12
喉にいいアメリカのスピリットってますよ,841.139,4.94
上質なカッパを使ってるらしくていいかな,843.48,4.979
それ見つかるまでの間,846.079,4.841
俺の中に山の中なんで,848.459,4.56
美味しいセブンスターひろしさんの,850.92,3.539
頂く美味しいせましたね,853.019,3.481
上質じゃないセブンスタディのそれがいい,854.459,3.62
んですよ,856.5,5.339
なんか見下した肉出してないと僕10何年,858.079,6.241
セブンストでしたから,861.839,2.481
落としてもらったら拾います,866.1,2.84
[笑い],869.08,4.13
うつ伏せですいな,875.459,2.721
向いてる,878.399,5.641
[笑い],880.1,3.94
うまいやろね,885.42,4.26
俺もそれが当たり前だからさ,886.92,5.24
麻痺してんだもん,889.68,2.48
本当にもらうポテトより美味い,892.56,3.139
[音楽],896.54,4.859
人にもらうポテト,899.22,5.96
なかなかもう俺はできんけどね,901.399,8.701
さすがにもうもらいもらいづらい,905.18,4.92
箸忘れたわ,916.8,5.06
じゃあ,919.38,2.48
これをこれを知っちゃったらねもう,930.54,4.799
ゴールしたのヤマトくんは,935.399,2.661
まだ始まったことです,938.519,4.281
ばっかりじゃないの,940.44,2.36
ゴールなんかないという意味じゃないです,943.019,3.201
か,944.22,2.0
アメリカの企業,957.38,3.36
[音楽],969.43,3.12
[拍手],1012.93,6.23
下がねちょっと小さめの待ってるとこの,1015.92,5.96
バチンコント,1019.16,2.72
[拍手],1025.5,21.459
[拍手],1054.11,55.329
[拍手],1114.46,31.23
[拍手],1148.2,14.289
[拍手],1168.5,4.13
[拍手],1175.6,73.72
初めてのこれ,1245.9,3.42
[拍手],1254.2,4.68
漏れがひどいね,1256.039,2.841
めっちゃめちゃでも,1260.539,2.541
これ,1270.52,3.76
レベルが遅くなってくる,1272.059,4.581
きついよ,1274.28,2.36
違うやつもあるんだな,1285.38,2.84
[拍手],1292.2,9.02
恐ろしいことで車も雨漏りするからな今,1304.1,6.319
みたいな車も雨漏りしてるから,1307.22,3.199
すげーな,1311.179,4.101
雨漏りだらけだ,1312.679,2.601
から寝れないよ,1317.6,2.84
これは全然,1333.52,6.18
年はねそれ,1336.22,3.48
まあいい場所だよね,1344.78,25.059
[音楽],1347.8,22.039
