text,start,duration
ヤッホーあやですはいということですね,0.659,6.481
あの今どこにいるかっていうと自分の車の,3.72,6.6
中にいますということでもうね夜なんです,7.14,6.06
けど夜の9時ぐらいなんですけど今から,10.32,4.979
実家に行ってテディベアをね預けないと,13.2,3.24
いけないんですね明日,15.299,3.721
遠征のお仕事があるのでなので今から実家,16.44,4.98
に帰ろうと思いますこいつらを送るために,19.02,3.48
ということで,21.42,3.72
せっかくだから夜をドライブ的な感じで,22.5,4.32
ワンしない,25.14,4.139
よまあ夜をドライブ的な感じでちょっと,26.82,4.5
動画を回していこうと思いますちょっと,29.279,4.261
色々ね最近語ってなかったと思うので,31.32,3.68
語っていこうと思います,33.54,5.1
最近ねマジで運転をしてなくて,35.0,6.52
久々の運転なんですよなのでちょっと慎重,38.64,7.32
に運転していこうと思います最近は本当に,41.52,6.12
ストーリーとかでも行ってると思うんだ,45.96,4.68
けどマジで爆笑してんのね私もう本当に,47.64,5.099
最近めっちゃ食べてて,50.64,2.82
夜中に,52.739,2.401
食べてから寝ないと,53.46,3.419
寝付けないのお腹すいちゃって,55.14,4.62
夜コンビニもなかなか行かないんだよ本当,56.879,5.34
にコンビニ全然行かないなぜかコンビニ,59.76,3.959
行きたくなっちゃって,62.219,3.001
コンビニ行って,63.719,4.141
遠巻きとか布が食ったりしてんのこいつの,65.22,3.48
学,67.86,2.7
食最近嬉しいことは,68.7,3.36
誰も聞いてねえみたいな,70.56,3.599
誰も最近嬉しかったことなんですかみたい,72.06,3.419
な感じのさ,74.159,3.181
入りだったよね今最近嬉しかったことは,75.479,4.861
明日ねをプロデュースして結構みんなの手,77.34,5.7
に届いたっぽいんですけどもう本当に毎日,80.34,3.72
のように,83.04,3.24
本当に安値を使って肌が,84.06,3.419
綺麗になりましたとか,86.28,3.36
次の日は楽しみになりましたとかなんか,87.479,4.381
そういうメッセージほんと毎日たくさんの,89.64,5.159
それが本当に毎日毎日嬉しくて本当に,91.86,5.399
こんな素敵な商品を作ってありがとう,94.799,5.041
ございますとかなんかこちらこそこの商品,97.259,4.021
を手に取ってくれてありがとうございます,99.84,5.4
なのになんかすごい嬉しいなそれが最近の,101.28,5.76
なんかDM毎日,105.24,2.64
嬉しくて,107.04,3.439
全部見てますね,107.88,2.599
あったものをみんなが使っ,111.72,5.24
て商品とか,114.42,2.54
言ってください最近韓国行ってたじゃん,117.24,4.379
動画も撮ってると思うんだけど,119.1,6.0
韓国行って2回とも仕事だったからあんま,121.619,5.82
遊べなくて今回プライベートでたくさん,125.1,4.98
遊んだんだけどあやが空いた時は全然,127.439,5.401
現地の韓国人みたいな人がいなくて,130.08,4.98
韓国を感じられなかったんだけど今回の,132.84,4.86
韓国はもうマジで韓国人たくさんいて,135.06,4.92
金土日でさやっぱクラブとかやってるから,137.7,4.38
盛り上がってんじゃん飲み屋街はちょっと,139.98,2.94
楽しくて,142.08,3.12
韓国やっぱりイケメンが多すぎて,142.92,4.8
びっくりした韓国男子っていうの韓国系,145.2,4.259
男子あんま顔タイプじゃないんだけど,147.72,4.08
えーかっこいいってなった人ばっかだった,149.459,3.061
楽しかった,151.8,2.76
すごいイケメンたくさん見れてでも思った,152.52,6.48
のはなんか本当に韓国ってその鼻の整形が,154.56,6.179
当たり前なんだと思ってもうみんなやっ,159.0,3.54
てんの本当に,160.739,2.701
整形をね,162.54,3.0
普通なんだと思ってやっぱ,163.44,3.96
もうやってない人の方がいないぐらい,165.54,5.22
むしろ私もさ整形するならさ鼻整形したい,167.4,6.72
からさしないけどね鼻整形しないけどどこ,170.76,5.4
整形したいですかって言われたら鼻なのだ,174.12,4.44
からすごいいいなと思ってみんな鼻が綺麗,176.16,5.159
で最後の2日間が一気に,178.56,4.38
韓国が冬になり始めて,181.319,3.721
めっちゃ寒くなったのいきなり,182.94,4.439
超寒くてでダウンとか持ってってなかった,185.04,3.479
からマジで,187.379,4.44
超極大1枚でなんとかしのいなんだけど,188.519,4.681
韓国無理だよ,191.819,3.121
寒すぎて耐えられない,193.2,3.959
韓国って冬マイナス10度とかになるよね,194.94,4.56
余裕で余裕で無理なんだなんかそれで,197.159,4.021
なんか韓国人の,199.5,3.42
友達ができたんだけど,201.18,3.479
韓国のこと色々聞いて,202.92,3.66
韓国ってどんな恋愛なんだろうと思って,204.659,5.101
それを聞いたのこんな感じなのみたいな,206.58,4.2
感じ聞いたら,209.76,1.8
本当に,210.78,2.22
愛が強いらしいの,211.56,3.599
男の人はだからもう本当,213.0,4.44
束縛がすごいね大変な返事がもうちょっと,215.159,4.5
でも来なかったらなんか怒られるしみたい,217.44,2.84
な,219.659,3.241
高い4日ダメだしとか,220.28,5.14
めっちゃすごくされるらしいのね私人生で,222.9,4.38
束されたことがなくて,225.42,4.379
えちょっと羨ましいと思っちゃったなんか,227.28,5.28
束縛っていうのを体験したことがないから,229.799,3.481
本当に,232.56,2.94
体験したらあうざってなるかもしれない,233.28,3.0
けど,235.5,2.58
体験をしたことないから,236.28,3.84
返されていいじゃんと思ったんだよ,238.08,4.439
友達の話とか聞いてると大変そうだけど,240.12,3.36
うまくとかね,242.519,2.94
フィギュア普通にされたことない人は憧,243.48,3.72
れって感じそれで見たいんだけどなんか,245.459,4.681
もうほんと好きすぎてみたいなこう狂っ,247.2,4.319
ちゃいますみたいな,250.14,2.58
体験してみた,251.519,2.821
結婚とかやっぱさもう,252.72,4.38
みんな考えるわけじゃんこの私って,254.34,4.5
入るかもしんないけど女子ってさ早い,257.1,4.139
じゃん結婚とか考えるのなんかみんなさあ,258.84,4.26
周りの中にも聞くとさ,261.239,5.281
結婚はできないと思ったから別れたとか,263.1,7.68
付き合う基準が結婚みたいな感じなわけ,266.52,6.959
もう考えようなと思ってだからやっぱ周り,270.78,3.24
の,273.479,3.0
普通に高校の友達とか芸能の友達とかさ,274.02,5.34
いやこの人とは金銭面的に,276.479,5.641
結構は無理かなと思ったとかさそういう話,279.36,5.7
を結構するわけもう結婚ってどうやって,282.12,5.34
決めればいいんだろうと思ってなんか話,285.06,3.54
聞けば聞くほど,287.46,3.9
結婚が難しいものみたいな感じになってき,288.6,4.14
ちゃって自分の中で,291.36,3.3
友達もなんか結婚するみたいなことを言っ,292.74,3.239
てた友達も,294.66,3.72
別れちゃってなんで別れたのって聞いたら,295.979,4.561
将来の価値観の違いとか,298.38,5.22
金銭面的にもとかそういう,300.54,5.52
感じなわけこの人で本当にいいのかなって,303.6,4.86
なっちゃって結婚できないみたいなだから,306.06,4.8
みんなのその付き合う基準が結婚になって,308.46,4.26
きてなんかそういうことをちゃんと考える,310.86,5.16
年になってきてますます難しいなと思って,312.72,5.759
恋愛が好きだけじゃさもう成り立たない,316.02,4.739
わけじゃんそうなってくると女なんで特に,318.479,4.921
さ結婚したい願望強いからさ,320.759,3.961
難しいなと思って,323.4,2.7
結婚してる人に,324.72,3.24
聞きたい何が決めてて結婚したのか,326.1,4.92
お母さんたちがさ11月に,327.96,6.9
30年らしいのね結婚30年だよ,331.02,6.36
ヤバないあやがまだ生きてない感で30歳,334.86,3.72
まで,337.38,3.24
」ってなんかこういう夜のドライブだから,338.58,4.619
こういう恋愛の話しするけどさでもね彩は,340.62,3.419
ね,343.199,3.0
深く考えすぎたら一生結婚できないと思っ,344.039,4.981
てもう結婚しようぜみたいなイエーイ,346.199,5.101
