text,start,duration
"Pinky swear, if I do tell a lie",24.725,3.003
I'm willing to swallow needles or anything on Monday,27.728,3.889
It doesn't matter if it's Sunday,32.848,2.544
Mirror mirror on the wall,37.105,2.684
Who would give me the fairest love of them all?,39.789,4.379
No need to ask cause it's my darling ,45.0,3.003
I want you to be my last,49.288,2.836
If I had to keep being separated from you like this,52.124,2.878
I'd rather die,55.002,2.878
I'd rather die,57.88,2.878
I choose you over three meals a day,61.393,2.878
If I had to keep being separated from you like this,64.271,2.836
I'd rather die,67.488,2.377
I'd rather die,70.472,2.164
"Still, sometimes my heart is being unfaithful",73.434,2.836
"Even tho it’ll never be cured, I’m gonna cure it anyway, baby",76.27,4.682
Yeah I ain't nothin but ya baby,81.404,3.462
"""You don't know what you got till it's gone""",85.652,2.955
I'm sick and tired of repeating that same old cliché Goodbye,88.732,4.713
Oh Don't you ever say ByeBye,93.65,2.711
Eh,96.566,1.209
I want you to be my last,97.775,2.795
If I had to keep being separated from you like this,100.57,3.045
I'd rather die,103.615,2.044
I'd rather die,106.933,1.71
I choose you over three meals a day,110.0,2.878
If I had to keep being separated from you like this,112.992,2.586
I'd rather die,116.034,1.546
I'd rather die,119.026,1.555
I want you to be my last,146.419,2.878
If I had to keep being separated from you like this,149.297,3.035
I'd rather die,152.484,2.085
I'd rather die,155.519,1.694
I choose you over three meals a day,158.487,3.21
If I had to keep being separated from you like this,161.697,2.938
I'd rather die,164.683,1.719
I'd rather die,167.731,2.878
"Still, sometimes my heart is being unfaithful",170.609,2.92
I don't need that corny shit anymore byebye ,173.529,4.332
I'll always stick wit ya my baby.,178.713,2.001
