text,start,duration
好きなので開けさせていただきます,0.539,5.72
何ですか,3.14,3.119
届く可能性があるのでそうですねあの,9.0,7.88
好きですなんやそれいた,12.42,4.46
はいどうもーんでしたお願いしますでは,19.26,3.779
頑張っていきましょう頑張っていき,22.26,4.14
ましょうお願いしますそして,23.039,6.08
伊吹ですよろしくお願いします,26.4,2.719
はい,29.82,3.74
面白いポーズ,30.96,2.6
ということで,35.48,6.34
本日はもう僕ずっと楽しみにしてた企画の,37.92,5.6
結構の日です,41.82,4.13
いいねー,43.52,5.709
[音楽],45.95,3.279
[音楽],51.8,3.06
[笑い],63.59,4.52
ルっていうんですか,71.82,2.54
いただいております,75.68,3.299
ちょっとなかなかよ僕YouTubeでも,82.92,5.339
見てない感じだなあと思っててまあ実際,85.14,5.94
400はま1000%引っかかってる状態,88.259,7.5
でこの後まああと30分後ぐらいに家に来,91.08,7.92
ますはいで今回何がすごいかって,95.759,5.82
実は平成フラミンゴの,99.0,4.02
ニコちゃんが,101.579,5.0
実際に協力してくれてると,103.02,3.559
本当にありがとう,107.4,2.999
ございますありがとうございますいや面白,108.299,4.741
そうということでま全力で想像以上に,110.399,4.981
バックアップしてくれてるんですよね,113.04,4.619
簡単に比較のタイトルをちょっと言うと,115.38,4.68
するといぶきの相方の,117.659,4.021
傭兵はい,120.06,4.68
今日ニコちゃんと夜ご飯あるんだけどその,121.68,7.799
にこちゃんとのサシの楽しみのご飯の時に,124.74,6.6
実は水溜りボンドと,129.479,6.661
相方の息吹が舞ってるドッキリこれ,131.34,4.8
素晴らしいあのね,136.92,5.16
無理だぜよそれ,139.319,4.5
早いですよその,142.08,2.879
その,143.819,3.241
ジャイアントキリングはないぜまだ間違い,144.959,3.601
ないですよ,147.06,2.34
本当に,148.56,3.539
ニコちゃんにご飯箸で誘ってもらったと,149.4,6.57
思って今日浮かれてますだからね,152.099,10.5
[音楽],155.97,8.37
聞いたりしてないのその話,162.599,3.961
全くです,164.34,4.5
本当に良くないっすよこれ,166.56,3.14
相方,168.84,3.96
っていやその誰にも言わないでねみたいな,169.7,4.86
ことあるかもしれないですけどね,172.8,5.579
しかもなんかその無人島でさあそうなった,174.56,8.44
わけですよねで,178.379,4.621
