text,start,duration
はいみなさんこんにちは藤川球児です今回,0.179,5.701
はですね2022年ドラフトで,3.12,6.36
阪神タイガースにえーまあ交渉権獲得から,5.88,5.219
まあおそらく,9.48,3.36
来てくれるんじゃないかとこう思うんです,11.099,2.821
けれど,12.84,3.359
阪神タイガースの,13.92,5.46
ドラフトの選手たちに向けてどうして,16.199,4.681
ドラフトに入ったかとかそういうところを,19.38,3.479
含めてね話していきたいと思います,20.88,3.3
僕自身も,22.859,4.201
この阪神タイガースの中の人間ではあり,24.18,3.839
ますけれども,27.06,2.52
グランドで,28.019,4.141
球場で以外でもね会うことがこれからある,29.58,3.54
と思いますけど,32.16,2.64
僕には本当に気さくに話しかけてくれたら,33.12,3.84
いいと思います,34.8,2.939
東洋で,36.96,2.4
近い存在だと思ってもらって構わないです,37.739,3.48
あの,39.36,3.42
みんな苦しんだ時,41.219,4.381
僕もドラフト1位で阪神大学に入って大変,42.78,6.56
な思いをしながら活躍できましたから,45.6,3.74
頑張ってほしいと思いますご家族の皆さん,49.5,4.92
周りで応援してきた皆さん,52.14,4.2
阪神タイガースという球団に入れて,54.42,3.24
本当に良かったと思います,56.34,2.46
ファンの方々も,57.66,2.16
熱いし,58.8,4.38
新たに監督が岡田監督という,59.82,4.799
僕も,63.18,4.56
取りたり高橋という選手も含めて,64.619,3.781
素晴らしい,67.74,2.879
後々選手に井川圭さんもそうですねなって,68.4,3.899
いた選手をたくさん育てた,70.619,3.601
監督なのでね,72.299,3.661
重くて飛び込んできてもらえたらいいと,74.22,3.84
思いますそれではどんな選手が,75.96,4.44
入ったかファンの方にメッセージも,78.06,6.93
含めてお送り出したいと思いますでは,80.4,6.12
[音楽],84.99,5.129
それではまずドラフト第一巡選択希望選手,86.52,5.639
で,90.119,3.301
競合して,92.159,4.581
外れという形ではなったけれども,93.42,3.32
森下翔太選手,96.78,3.78
本当は,98.46,5.1
阪神タイガースの岡田監督にとっては僕は,100.56,4.26
この先生の方が良かったんじゃないかと,103.56,2.76
