text,start,duration
英語の先生だいたい般若系ヤマトです,1.62,8.28
今日は何今日は検証今日のね検証大賞が今,5.52,5.76
いないんですけれども,9.9,4.319
本日の慶応大賞はゆうまくんですはい今ね,11.28,4.8
浦田さんとはちょっと時間をずらし集合し,14.219,4.021
てるんですけれどもまちょっと一旦ねここ,16.08,4.74
で今年の浦田さんに関することをちょっと,18.24,4.74
一旦おさらいしとこうかなとま浦田さんは,20.82,3.84
ま基本的に,22.98,4.08
動物くんみたいな感じじゃないですかもう,24.66,4.859
ね撮影中もぼーっとしてますしおしゃべら,27.06,4.44
ないですし日によってはね寝ちゃったり,29.519,4.681
することもあるよな,31.5,4.38
奇跡のようなとこなんですけれども1枚,34.2,3.84
分かったのは笑ったら即坊主の旅に出,35.88,4.14
るっていうねいやすごいね,38.04,4.1
本当に,40.02,2.12
とんでもないタイムあったりとか,57.539,4.68
他にもヤバいので言うと今まで出した動画,60.18,5.64
で一番長い質問コーナーの最後の一番こう,62.219,5.4
熱くファンのみんなにこう喋りかけてるし,65.82,2.88
んで,67.619,1.941
爆睡という,68.7,5.16
ことになりますそんな,69.56,4.3
彼もね彼氏にしたいという話がありまして,75.119,4.141
今年,77.28,4.32
UMAから浦田に改名をしましてねその,79.26,5.1
タイミングで今までのクズな自分は全て,81.6,5.82
置いていくともうすごかったよね生活態度,84.36,3.72
を,87.42,2.519
改めそしてメンズですよやめ,88.08,4.74
るっていうことをそこで宣言してで彼は,89.939,4.68
裏タイプ生まれ変わりましたでまあそのね,92.82,4.74
2ヶ月後にあ免税って実際行ってましたよ,94.619,6.32
と言いながら200万を出すっていうね,97.56,6.66
あれは本当に本当にびっくりした,100.939,6.581
初めて思いっきり友達に嘘を使ってた,104.22,4.02
初めて,107.52,3.66
初めて浦田になってから2ヶ月間は今,108.24,4.739
めっちゃ1点のって言ったらいやマジで,111.18,4.2
最近は言ってないですっていうのを全員に,112.979,5.941
言いつつ単独犯でねこうメ結論に行った際,115.38,6.72
龍馬8合わせてしまいそれ完全にめくれ,118.92,6.96
るっていうそうでも量を見つける自分から,122.1,5.82
会いに行く感じが有名らしいよねでまあ,125.88,4.62
その時にこのドットのメインすぐを復活さ,127.92,5.16
せまして裏方を一気に盛り上げたっていう,130.5,5.58
彼ですけれどもまあやっぱ最近彼の靴下が,133.08,5.76
止まらないいや本当に本当にやってからの,136.08,3.9
がやばいよ,138.84,5.1
財布なくすしバッグなくすし時計なく寿司,139.98,6.42
でまた財布懐かしいまあいろんなものを,143.94,4.62
なくしたりとかまあそれを自分で連絡して,146.4,4.199
取りに行かなかったりとかメンバーとの,148.56,4.5
ご飯はまあ確実に起こってもらうスタンス,150.599,5.881
とか友達のサウナを断り自分で個人で単体,153.06,5.1
で瞑想に行くとかもうとにかく,156.48,3.06
めちゃめちゃの裏とそんなわけですよね,158.16,5.1
しかも占いなんてね寝坊増えたしそこは,159.54,6.419
でかいなマジで今日だってさ,163.26,4.259
起きてなきゃまず一番だから,165.959,3.961
連絡ついてなくて下さいだって2次集合,167.519,5.58
っていうのに送らせて言ってて240分だ,169.92,6.8
けど今から連絡がないと,173.099,3.621
たらさおもろいみたいになってさ動画で,177.42,3.72
こう言ったりするけどさ,179.459,3.42
クビだよ,181.14,4.319
めっちゃ多くない一番多いよねメンバーで,182.879,4.201
寝坊そう,185.459,3.901
明らかに一番多いからね,187.08,4.739
基本的にここの事務所で寝泊まりする男な,189.36,5.58
んですけども家に帰った時の寝坊率が,191.819,5.581
ほんま約8番ということでそれ本人に言っ,194.94,4.46
たら,197.4,2.0
[音楽],199.79,5.589
逆ギレしてくるっていう結構怒ったなんで,202.44,7.68
俺らがまずわかんないけどあのー,205.379,4.741
[音楽],214.85,3.539
終わりですそうなんです,219.54,4.5
