text,start,duration
ということで,3.68,3.94
本日はですね,5.64,5.6
thankinバディダイ動画イエーイ,7.62,3.62
結構今回,11.82,3.479
ひめちゃんのももも多いから今回じゃあ,13.139,2.941
一緒に,15.299,3.181
爆買いしたものを紹介していこうと思い,16.08,4.699
まーす,18.48,2.299
今日めっちゃ化粧水ない,22.38,3.08
けど,26.06,6.64
今日はね高校の,28.22,8.32
入学説明会にまーさん年生向けやねんけど,32.7,6.48
早くね1年の親も参加していいみたいな,36.54,5.58
感じだったからそういこうと思って,39.18,3.66
めっちゃ,42.12,2.099
ナチュラルだって,42.84,4.44
涙袋とかもほらピンクしてない,44.219,4.82
ファンでも塗ってない,47.28,5.04
そういう理由でちょっと今日は化粧が薄い,49.039,8.52
ですはいではまずはこちらです,52.32,5.239
ちょっとまあjrwmかの時にもコメント,58.699,7.001
いただいたんやけどもしかしたらタイムは,63.359,4.08
花粉症が来とるのが知らんけどすっごい,65.7,3.48
鼻水が出るわけめっちゃぐちゃするわけ,67.439,3.901
だいたいこれ買うのは,69.18,3.36
春先,71.34,4.02
花粉症時期が多いんやけど最近すっごい,72.54,4.079
鼻水が垂れるから,75.36,3.299
買いました,76.619,4.341
続きました,78.659,2.301
めっちゃ可愛くないピンク,82.619,2.341
ピンク,84.119,2.161
赤じゃないの,84.96,4.68
ピンクメロチってお鍋は圧倒的ティ,86.28,5.519
ファールなの,89.64,4.619
圧倒的ティファールなんやけどあ,91.799,5.581
ピンク可愛いと思ってでサーモスも好きな,94.259,5.341
朝ツイートとかそういうのは絶対サーモス,97.38,6.0
やんお弁当箱とかだからサーモスのお鍋,99.6,7.08
もう初めてちょっと買ってみました,103.38,6.9
続きましてはこちらちゃーん救急と,106.68,4.619
洗剤は,110.28,3.42
圧倒的にキュキュッとこのピンク,111.299,4.381
グレープフルーツの香りが,113.7,5.69
好きですなぜでしょうピンクだから正解,115.68,7.61
[笑い],119.39,3.9
ピンクだからって言っときは当たり前,123.299,5.541
続きましてこちらジャジャーンお茶碗,126.0,5.52
なんかさちょっと前にさ,128.84,4.36
ぶーちゃんのお茶碗が,131.52,3.359
突然割れたわけ,133.2,3.48
落としたとかでもなくって,134.879,3.241
洗っとった時に,136.68,2.639
持ち上げたら,138.12,3.839
真ん中でパリンって割れてそっからブー,139.319,4.741
