text,start,duration
何でも大丈夫だで笑ったり何気なく指先,1.22,10.9
触れるときにどうしようもなく,8.16,4.979
毎日,12.12,1.74
孤立,13.139,1.981
君を,13.86,4.759
好きになる,15.12,3.499
[音楽],18.63,3.449
大好きが,24.26,5.98
育つほどにいつまでも続けて,26.279,6.541
不安になる,30.24,5.52
それも笑顔ひとつ,32.82,4.079
立ち,35.76,4.04
吹き飛ばす君が好きです,36.899,5.521
ありふれた,39.8,4.06
毎日に,42.42,4.74
君の名前を,43.86,6.359
呼ぶだけで,47.16,7.079
幸せがここだよ,50.219,6.311
手本,54.239,4.82
[音楽],56.53,4.91
何でもない,59.059,7.121
状態で笑ったり何気なく指先,61.44,8.7
触れる時にどうしようもなく,66.18,4.979
毎日,70.14,2.22
孤立,71.159,3.631
君の好きになる,72.36,10.32
[音楽],74.79,10.469
くだらない,82.68,8.759
怪我でも朝お腹でね大丈夫ってそんな,85.259,8.641
君が愛しい,91.439,3.121
同じ,93.9,1.32
くらい,94.56,1.98
自分も,95.22,5.24
愛してあげてね,96.54,3.92
[音楽],100.6,6.5
眠れない,106.02,2.22
夜には,107.1,2.82
君のことを,108.24,6.72
考えて布団をぎゅーてしてんだだけど,109.92,6.3
声は,114.96,3.42
難しいから,116.22,4.02
だけの,118.38,2.84
話,120.24,2.72
[音楽],121.22,4.179
何でもない,122.96,7.18
冗談で笑ったり何気なく指先,125.399,8.7
触れるときにどうしようもなく,130.14,4.98
毎日,134.099,1.86
孤立,135.12,3.6
好きが繰り返し,135.959,7.801
溢れるよなんでもないね何で言っ,138.72,6.42
て逃げなく,143.76,2.699
目線は,145.14,7.08
刺さる時にどうしようもなく何度も何度も,146.459,6.841
君を,152.22,2.93
好きになれ,153.3,5.169
[音楽],155.15,3.319
