textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
이런 상황에서도 영상에서 활발하게 보여지는것은케미오씨 멘탈 정말 대단해요 항상 응원할게요 성격도 밝고 긍정적이라 좋은 기분이 된다,"이런 상황에서도 영상에서 활발하게 보여지는것은
케미오씨 멘탈 정말 대단해요 
항상 응원할게요 성격도 밝고 긍정적이라 좋은 기분이 된다",타치바나러브,107,2022-10-26T10:48:28Z,2022-10-26T10:48:28Z
kemioくんのバイタリティとかどんどん成長していく理由がわかったきがする。悲しいことや辛いことはあるけど、そういう時もポジティブに変換できるパワーがすごい。立ち止まってる時間ももったいないって感じ。見習いたい。応援してます！！,kemioくんのバイタリティとかどんどん成長していく理由がわかったきがする。悲しいことや辛いことはあるけど、そういう時もポジティブに変換できるパワーがすごい。立ち止まってる時間ももったいないって感じ。見習いたい。応援してます！！,S K,596,2022-10-26T10:27:38Z,2022-10-26T10:27:38Z
海外で一人でこんだけ暮らしてるのは本当尊敬です。私もいつか海外住みたいと思いつつ未だに行動出来てないから本当にすごい😂,海外で一人でこんだけ暮らしてるのは本当尊敬です。私もいつか海外住みたいと思いつつ未だに行動出来てないから本当にすごい😂,天 天,176,2022-10-26T10:30:21Z,2022-10-26T10:30:21Z
前向きに生きてるけみお見ると私も意外と大丈夫かもって思えてくる不思議,前向きに生きてるけみお見ると私も意外と大丈夫かもって思えてくる不思議,結李,82,2022-10-26T12:20:50Z,2022-10-26T12:20:50Z
こりゃもう借りぐらしのアリエッティになる運命なんだよケミたん,こりゃもう借りぐらしのアリエッティになる運命なんだよケミたん,ダチェン,1116,2022-10-26T10:13:56Z,2022-10-26T10:13:56Z
1週間後に退去な私もまだお家見つかってないけどケミオくん見てたらどうにかできそうで元気もらえる。私もケミオくんも無事にお家が見つかりますように！！！！,1週間後に退去な私もまだお家見つかってないけどケミオくん見てたらどうにかできそうで元気もらえる。私もケミオくんも無事にお家が見つかりますように！！！！,M O,59,2022-10-26T12:11:49Z,2022-10-26T12:11:49Z
ケミオくん、大変なこととか難しいこととかばっかりなのに頑張ってて本当偉い！最後の「どうにかなるから人生は」胸に刻んでおきます！,"ケミオくん、大変なこととか難しいこととかばっかりなのに頑張ってて本当偉い！
最後の「どうにかなるから人生は」胸に刻んでおきます！",みみみ,143,2022-10-26T10:31:27Z,2022-10-26T10:31:27Z
kemioくんはミニマリスト(?)というより、思い出を大事に取っておく優しい人なんだなって思った。ぜひそのままでいて欲しい😢幸あれ💙,kemioくんはミニマリスト(?)というより、思い出を大事に取っておく優しい人なんだなって思った。ぜひそのままでいて欲しい😢幸あれ💙,acchanmicro,125,2022-10-26T10:32:09Z,2022-10-26T10:34:08Z
私だったら脳内パンクで絶対パニクって爆発するのにけみたんはストレスとかそういうの感じさせないし、いつも楽しそうなところたくさん見せてくれるからまじで尊敬だしらぶだし言葉では全部表現しきれないんだけどとにかく言いたいことはけみたん大好き。,私だったら脳内パンクで絶対パニクって爆発するのにけみたんはストレスとかそういうの感じさせないし、いつも楽しそうなところたくさん見せてくれるからまじで尊敬だしらぶだし言葉では全部表現しきれないんだけどとにかく言いたいことはけみたん大好き。,ぽ？,30,2022-10-26T11:28:08Z,2022-10-26T11:28:08Z
けみおくん忙しい中お仕事してお家のこと考えてスケジュールカツカツでストレス溜まってるのにしっかりしてて本当に偉い。素敵な面ばかり見せてくれてありがとう。1日でも早くお家が決まることを祈ってるよ。,けみおくん忙しい中お仕事してお家のこと考えてスケジュールカツカツでストレス溜まってるのにしっかりしてて本当に偉い。素敵な面ばかり見せてくれてありがとう。1日でも早くお家が決まることを祈ってるよ。,yuuki,170,2022-10-26T11:11:20Z,2022-10-26T11:11:20Z
