textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
好きなものをこんなに固められるのすごい…こんなに大きな買い物できるのも努力してきたからなんだなぁと尊敬👏😢,好きなものをこんなに固められるのすごい…こんなに大きな買い物できるのも努力してきたからなんだなぁと尊敬👏😢,むーみん,130,2022-10-26T11:58:00Z,2022-10-26T11:58:00Z
サムネ見て大金！と思ったけど、内容見たら全部高そうやしスペシャルなアイテムばっかりで「逆にこれ100万で収まったんだ？！」ってなりましたww買い物上手👏✨めちゃくちゃワクワクする購入品紹介ありがとうございました🌼❤,"サムネ見て大金！と思ったけど、内容見たら全部高そうやしスペシャルなアイテムばっかりで「逆にこれ100万で収まったんだ？！」ってなりましたww
買い物上手👏✨めちゃくちゃワクワクする購入品紹介ありがとうございました🌼❤",ずんずん,29,2022-10-26T14:17:27Z,2022-10-26T14:17:27Z
まぢでぎーにょちゃんのファッション系統が違うから全く参考にならんけど、選ぶものとかかわいいし、新しい服とか着てウキウキしてるの見て毎回こっちまで嬉しくなっちゃう🥰,まぢでぎーにょちゃんのファッション系統が違うから全く参考にならんけど、選ぶものとかかわいいし、新しい服とか着てウキウキしてるの見て毎回こっちまで嬉しくなっちゃう🥰,ひかちゅう,64,2022-10-26T10:41:47Z,2022-10-26T10:42:14Z
購入品がどれも予定通りなの？と思うくらいぎーにょちゃんにぴったりすぎるたくさん着替えるとすごく暑くなるよねお店の試着室が狭いとムンムンしちゃう,"購入品がどれも予定通りなの？と思うくらいぎーにょちゃんにぴったりすぎる
たくさん着替えるとすごく暑くなるよね
お店の試着室が狭いとムンムンしちゃう",ファーファねこ,12,2022-10-26T10:26:29Z,2022-10-26T10:26:53Z
いくら楽しめなくなるからといっても、値段見ないで好きなもの買って過ごせる財力よ、、さすがです、、私たちまで楽しませてくれてありがとうすぎ🥺,"いくら楽しめなくなるからといっても、値段見ないで好きなもの買って過ごせる財力よ、、さすがです、、
私たちまで楽しませてくれてありがとうすぎ🥺",むぎ,73,2022-10-26T12:46:12Z,2022-10-26T12:46:12Z
お店では超可愛い！！！！って思って買っても家で見るとなんで買った（？）と思ってしまうことあるけどぎーにょちゃんのほんっとうに似合ってておうちにも合ってて商品の良さがずっと出続けてる！,お店では超可愛い！！！！って思って買っても家で見るとなんで買った（？）と思ってしまうことあるけどぎーにょちゃんのほんっとうに似合ってておうちにも合ってて商品の良さがずっと出続けてる！,わかぎ,228,2022-10-26T11:06:12Z,2022-10-26T11:06:12Z
ぎーにょちゃんの海外旅行関連動画好きすぎて、見たいけど見たら終わっちゃう寂しさも感じる(˘•̥-•̥˘),ぎーにょちゃんの海外旅行関連動画好きすぎて、見たいけど見たら終わっちゃう寂しさも感じる(˘•̥-•̥˘),asuka,60,2022-10-26T10:45:11Z,2022-10-26T10:45:11Z
ぎーにょちゃんが可愛いものいっぱい紹介してくれる動画大好き。こっちまでときめいたり、一目惚れしたりするから見るのめっちゃ楽しい…！,ぎーにょちゃんが可愛いものいっぱい紹介してくれる動画大好き。こっちまでときめいたり、一目惚れしたりするから見るのめっちゃ楽しい…！,じはこ,5,2022-10-26T12:38:02Z,2022-10-26T12:38:02Z
ぎーにょちゃんのこの海外旅行の動画見たら私もロンドン行きたくなった！🥺💞,ぎーにょちゃんのこの海外旅行の動画見たら私もロンドン行きたくなった！🥺💞,ramune‪‪🏳️‍⚧️,56,2022-10-26T10:14:43Z,2022-10-26T10:14:43Z
更新多くてめっちゃくちゃ楽しい♥そしてぎーにょちゃんの可愛いを捕えるアンテナがすごい！,"更新多くてめっちゃくちゃ楽しい♥
そしてぎーにょちゃんの可愛いを捕えるアンテナがすごい！",shiotiny.matz22,10,2022-10-26T11:57:54Z,2022-10-26T11:57:54Z
すごいな、、、海外で色々あって更なる出費があったのに、それでも予定通り爆買いするって本当にすごいな,すごいな、、、海外で色々あって更なる出費があったのに、それでも予定通り爆買いするって本当にすごいな,オムライス,4,2022-10-26T21:19:40Z,2022-10-26T21:19:40Z
あさぎーにょちゃんのために作られたものをただお迎えに行ってるだけのように感じるくらい購入品が毎回素敵！！無駄なものなんてない！って感じ😂,あさぎーにょちゃんのために作られたものをただお迎えに行ってるだけのように感じるくらい購入品が毎回素敵！！無駄なものなんてない！って感じ😂,3,27,2022-10-26T13:04:14Z,2022-10-26T13:04:14Z
購入品紹介待ってました〜🎉サングラスめちゃくちゃ似合ってます！！かわいい〜〜❤❤,"購入品紹介待ってました〜🎉
サングラスめちゃくちゃ似合ってます！！かわいい〜〜❤❤",みい,13,2022-10-26T10:18:25Z,2022-10-26T10:18:25Z
100万円って凄すぎる...ぎーにょちゃんの努力も凄い,"100万円って凄すぎる...
ぎーにょちゃんの努力も凄い",kaori,43,2022-10-26T11:08:32Z,2022-10-26T11:08:32Z
ぎーにょちゃんの動画、全部夢が詰まってる！！！！キラキラしてて可愛いで溢れてる！！観てる側もワクワクがとまらない❤,"ぎーにょちゃんの動画、全部夢が詰まってる！！！！
キラキラしてて可愛いで溢れてる！！
観てる側もワクワクがとまらない❤",ピョンちゃん,4,2022-10-26T12:14:38Z,2022-10-26T12:14:38Z
ほんとにぎーにょちゃんの買うものが一つ一つ可愛いから購入品紹介とかいつも投稿されてるの見るとワクワクします😮💗,ほんとにぎーにょちゃんの買うものが一つ一つ可愛いから購入品紹介とかいつも投稿されてるの見るとワクワクします😮💗,ななな,2,2022-10-26T14:54:32Z,2022-10-26T14:54:32Z
購入品全部可愛すぎて最高です！！私も海外旅行行きたくなってきたよ〜最近投稿多くて嬉しい😆,"購入品全部可愛すぎて最高です！！
私も海外旅行行きたくなってきたよ〜
最近投稿多くて嬉しい😆",もるぺこ,12,2022-10-26T10:27:56Z,2022-10-26T10:27:56Z
あさぎーにょさんの動画、ばいばいじゃなくてバキュンで終わるのなんかすごくすきで... 見終わる瞬間笑顔になってしまう,あさぎーにょさんの動画、ばいばいじゃなくてバキュンで終わるのなんかすごくすきで... 見終わる瞬間笑顔になってしまう,すみれ,2,2022-10-26T15:59:01Z,2022-10-26T15:59:01Z
普段のスタイルは暗い服が好きでぎーにょさんと違うけど、ポップでカラフルな洋服見てるとこういうぎーにょスタイルも憧れる🌼🌷,普段のスタイルは暗い服が好きでぎーにょさんと違うけど、ポップでカラフルな洋服見てるとこういうぎーにょスタイルも憧れる🌼🌷,m,4,2022-10-26T11:05:23Z,2022-10-26T11:05:23Z
なんか、ちょっと海外行ったからといってこんなに人生変わったみたいになると思わなかったもっと世界知ってると思ってたなー,"なんか、ちょっと海外行ったからといってこんなに人生変わったみたいになると思わなかった
もっと世界知ってると思ってたなー",ただのひと,2,2022-10-27T08:20:29Z,2022-10-27T08:20:29Z
地獄も何もかもを最高に変えてしまうぎーにょ様が最強！！！！！ぜんぶ可愛いし、ぜんぶステキなお買い物だね❤,地獄も何もかもを最高に変えてしまうぎーにょ様が最強！！！！！ぜんぶ可愛いし、ぜんぶステキなお買い物だね❤,ぴっころちょこ,2,2022-10-26T12:33:15Z,2022-10-26T12:33:15Z
もっと買ってきてーと思うくらい全部ぎーにょちゃんの好き系ばかりで見てて幸せなりました💸♡,もっと買ってきてーと思うくらい全部ぎーにょちゃんの好き系ばかりで見てて幸せなりました💸♡,ななきな,1,2022-10-26T12:35:04Z,2022-10-26T12:35:04Z
わー購入品紹介待ってた！🥹やっぱり選ぶもの可愛くてセンスしかない最高だし北欧風のもの大好きだから嬉しい！寒暖差激しいから風邪ひかないようにね😌♡,"わー購入品紹介待ってた！🥹
やっぱり選ぶもの可愛くてセンスしかない最高だし北欧風のもの大好きだから嬉しい！
寒暖差激しいから風邪ひかないようにね😌♡",ぶらうにーぼーい,4,2022-10-26T10:20:00Z,2022-10-26T10:20:00Z
ここ最近毎日動画上げてくれててありがたい。でも無理しない程度にね〜,ここ最近毎日動画上げてくれててありがたい。でも無理しない程度にね〜,うみべの磯部,5,2022-10-26T12:43:56Z,2022-10-26T12:43:56Z
めちゃくちゃ可愛すぎて海外旅行いきたくなった✈️³₃,めちゃくちゃ可愛すぎて海外旅行いきたくなった✈️³₃,cocoon .3,1,2022-10-26T12:41:37Z,2022-10-26T12:41:37Z
ジュンヤワタナベのコートありえないくらいかわいい最高　しかもぎーにょちゃんのことロンドンで待ってたとしか思えないくらい似合いすぎ✨おめでとう✨,ジュンヤワタナベのコートありえないくらいかわいい最高　しかもぎーにょちゃんのことロンドンで待ってたとしか思えないくらい似合いすぎ✨おめでとう✨,にこ,7,2022-10-26T12:13:51Z,2022-10-26T12:13:51Z
最近おすすめに出てきたのであさぎーにょさんの動画見てます。モノクロ系統が好きで自分が着ることは無いかもしれませんがこんなにカラフルで可愛くて美しい世界をたくさん見せてくれて感謝です🙏🙏✨✨見てて楽しい動画いつもありがとうごさいます☺️✨,"最近おすすめに出てきたのであさぎーにょさんの動画見てます。
モノクロ系統が好きで自分が着ることは無いかもしれませんがこんなにカラフルで可愛くて美しい世界をたくさん見せてくれて感謝です🙏🙏✨✨見てて楽しい動画いつもありがとうごさいます☺️✨",dami,2,2022-10-26T10:49:11Z,2022-10-26T10:49:11Z
100万円分のかわいいに投資できるぎーにょさんの財力と努力を尊敬します✨👏🏻,100万円分のかわいいに投資できるぎーにょさんの財力と努力を尊敬します✨👏🏻,くまくまくまったちゃん,1,2022-10-26T11:41:42Z,2022-10-26T11:41:42Z
