textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"Un MV totalmente digno para la mejor capitana que he conocido. Realmente Yuuka es fundamental y siempre estuvo tan comprometida con el grupo, siempre cuidando de las demás y mostrando todo su potencial. El video musical es precioso, recupera hermosos momentos vividos en Keyakizaka y Sakurazaka, siendo Sugai capitana de ambos grupos, y para todos nosotros la eterna guía y flor de nuestro grupo favorito <3 ¡Yuuka muchas gracias y nos estaremos viendo!","Un MV totalmente digno para la mejor capitana que he conocido. Realmente Yuuka es fundamental y siempre estuvo tan comprometida con el grupo, siempre cuidando de las demás y mostrando todo su potencial. El video musical es precioso, recupera hermosos momentos vividos en Keyakizaka y Sakurazaka, siendo Sugai capitana de ambos grupos, y para todos nosotros la eterna guía y flor de nuestro grupo favorito <3 ¡Yuuka muchas gracias y nos estaremos viendo!",Abril Lamas,54,2022-10-27T00:42:08Z,2022-10-27T00:42:38Z
自分達ファンには見せなかった辛さも色々あったと思ったけど、ここまで綺麗に感情が顔に出る人はいないと思う。自分の青春だった欅、櫻を引っ張ってくれてありがとう。ゆっかー、大好きだよ！素敵な未来がひらけますように,"自分達ファンには見せなかった辛さも色々あったと思ったけど、ここまで綺麗に感情が顔に出る人はいないと思う。自分の青春だった欅、櫻を引っ張ってくれてありがとう。ゆっかー、大好きだよ！
素敵な未来がひらけますように",Hana,203,2022-10-26T15:20:47Z,2022-10-26T15:20:47Z
"This breaks my heart, we want to be strong but we can't, in the last ""jaa-ne"" tears began to flow, thank you very much Yuuka chan, you are and will be the best captain that any group in sakamichi ever has, your smile will always shine on our hearts.","This breaks my heart, we want to be strong but we can't, in the last ""jaa-ne"" tears began to flow, thank you very much Yuuka chan, you are and will be the best captain that any group in sakamichi ever has, your smile will always shine on our hearts.",Kameko land,19,2022-10-26T19:03:17Z,2022-10-26T23:03:09Z
きっとキャプテンとして、思い通りにいかないこととか葛藤とか重圧とか、逃げたくなるぐらい辛いことも沢山あっただろうけど、それでも逃げずにグループを引っ張り続けてきたゆっかーは本当にすごいと思うし、人として尊敬する。そんなゆっかーだからこそ辿り着けた、晴れやかで幸せでいっぱいな景色がこの動画なんだろうな。こんな素敵な景色と生き様を見せてくれてありがとう。,"きっとキャプテンとして、思い通りにいかないこととか葛藤とか重圧とか、逃げたくなるぐらい辛いことも沢山あっただろうけど、それでも逃げずにグループを引っ張り続けてきたゆっかーは本当にすごいと思うし、人として尊敬する。
そんなゆっかーだからこそ辿り着けた、晴れやかで幸せでいっぱいな景色がこの動画なんだろうな。
こんな素敵な景色と生き様を見せてくれてありがとう。",Moontart,254,2022-10-26T15:06:34Z,2022-10-26T15:06:34Z
この曲のスピードはゆっかーが今まで止まることなく常にグループのためを思って前進し続けてきたことを表しているのかなと思いました。そんな一瞬に感じるようなスピードの中にも色々な出来事があって、それが聞く人の涙に現れているのかなと,この曲のスピードはゆっかーが今まで止まることなく常にグループのためを思って前進し続けてきたことを表しているのかなと思いました。そんな一瞬に感じるようなスピードの中にも色々な出来事があって、それが聞く人の涙に現れているのかなと,リ,861,2022-10-26T13:14:44Z,2022-10-26T13:14:44Z
欅坂時代、ライブや音楽番組でメンバーのみんながギリギリの状況で楽曲披露してる中で、いつも誰よりも笑顔を絶やさない姿にゆっかーの強さ、優しさ、人間性を感じこの人を推していこうと決めました。この人の良さはやはり笑顔に尽きると思います。PVでも後輩たちに安心してグループを任せられるという自信に溢れた櫻坂での清々しい笑顔と、何かと戦いながらそれでも絞り出してきた欅坂での覚悟を感じる笑顔で表情の対比が見れて素晴らしいPVだと思いました！,"欅坂時代、ライブや音楽番組でメンバーのみんながギリギリの状況で楽曲披露してる中で、いつも誰よりも笑顔を絶やさない姿にゆっかーの強さ、優しさ、人間性を感じこの人を推していこうと決めました。

この人の良さはやはり笑顔に尽きると思います。

PVでも後輩たちに安心してグループを任せられるという自信に溢れた櫻坂での清々しい笑顔と、何かと戦いながらそれでも絞り出してきた欅坂での覚悟を感じる笑顔で表情の対比が見れて素晴らしいPVだと思いました！",欅最高,154,2022-10-26T15:46:02Z,2022-10-26T15:51:02Z
7年間、ずっとゆっかーだけを推してきました。最後のサプライズとしての素晴らしい楽曲に胸がいっぱいです。MVに釘付けになって、見終わって嗚咽してしまいました。7年間、幸せな時間に本当に感謝しかないです。関係者の皆さんありがとうございました。そして、これからもバリーズとしてゆっかーを、一生応援していきたいと思います！ありがとう、ゆっかー！,"7年間、ずっとゆっかーだけを推してきました。
最後のサプライズとしての素晴らしい楽曲に胸がいっぱいです。
MVに釘付けになって、見終わって嗚咽してしまいました。
7年間、幸せな時間に本当に感謝しかないです。
関係者の皆さんありがとうございました。
そして、これからもバリーズとしてゆっかーを、一生応援していきたいと思います！
ありがとう、ゆっかー！",猫太郎,245,2022-10-26T17:20:58Z,2022-10-26T17:23:31Z
This mv making me cry and a sobbing mess. The lyrics hits really hard and the snippets of history they went through. Thank you so much for your hardwork and letting us see your journey. Wish you all the success in the future and to support you on the next path you may take,This mv making me cry and a sobbing mess. The lyrics hits really hard and the snippets of history they went through. Thank you so much for your hardwork and letting us see your journey. Wish you all the success in the future and to support you on the next path you may take,Karini,43,2022-10-26T18:14:00Z,2022-10-26T18:14:00Z
ゆっかーのソロパートで明らかに歌唱力、表現力が上がってるの分かって感動する,ゆっかーのソロパートで明らかに歌唱力、表現力が上がってるの分かって感動する,葉山ゆづき,464,2022-10-26T15:35:03Z,2022-10-26T15:35:03Z
"Thank you so much for becoming an idol, and allowing us to meet the wonderful person that is Sugai Yuuka, we will never forget the best captain Sakurazaka and Keyakizaka ever had. Thank you for carrying the group into the future and always reassuring the members and the fans that everything will be alright. Thank you for your warm, beautiful smile and for all the hardships you had went through for the group despite thinking of graduating since 2 years ago. Thank you, Sugai-sama, we love you so much and I can't wait to see the smile of idol Sugai Yuuka transform into the mature, eloquent smile of solo-artist Sugai Yuuka! Happy graduation and until we meet again! 🐴がんばりき🐴","Thank you so much for becoming an idol, and allowing us to meet the wonderful person that is Sugai Yuuka, we will never forget the best captain Sakurazaka and Keyakizaka ever had. Thank you for carrying the group into the future and always reassuring the members and the fans that everything will be alright. Thank you for your warm, beautiful smile and for all the hardships you had went through for the group despite thinking of graduating since 2 years ago. Thank you, Sugai-sama, we love you so much and I can't wait to see the smile of idol Sugai Yuuka transform into the mature, eloquent smile of solo-artist Sugai Yuuka! Happy graduation and until we meet again! 🐴がんばりき🐴",Mizuki101Ikuto,253,2022-10-26T13:13:57Z,2022-10-26T13:13:57Z
