textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
This felt like the song was a blank canvas and ten was the paint brush and by the end of the song we had a completely breathtaking picture…..🤯IN AWE OF YOU TEN LEE WOW BRAVO 🙌🏽🎉💚,"This felt like the song was a blank canvas and ten was the paint brush and by the end of the song we had a completely breathtaking picture…..🤯

IN AWE OF YOU TEN LEE WOW BRAVO 🙌🏽🎉💚",Caitlin Benson,288,2022-10-26T10:23:35Z,2022-10-26T10:23:35Z
"Он заслуживает просто всего на свете *.*Я его фанатка с самого его дебюта и он всегда умудряется удивить, поразить, сфокусировать мой взгляд лишь на нëм. Настоящий артист, олицетворение искусства. Keep it up, buddy!","Он заслуживает просто всего на свете *.*
Я его фанатка с самого его дебюта и он всегда умудряется удивить, поразить, сфокусировать мой взгляд лишь на нëм. Настоящий артист, олицетворение искусства. 
Keep it up, buddy!",Alessiana Moon,37,2022-10-27T08:01:34Z,2022-10-27T08:01:34Z
"Боже, это феерично. Как же все сделано, локации, костюмы, танцоры, и Тэн его голос, уххх, а танцы и сказать нечего, потрясающе.","Боже, это феерично. Как же все сделано, локации, костюмы, танцоры, и Тэн его голос, уххх, а танцы и сказать нечего, потрясающе.",blackray,22,2022-10-27T09:17:32Z,2022-10-27T09:17:32Z
"Хореография просто потрясающая! А песня шикарная и вызывает трепет в душе! TEN, ты супер!","Хореография просто потрясающая! А песня шикарная и вызывает трепет в душе! TEN, ты супер!",Mefil,65,2022-10-27T06:57:14Z,2022-10-27T06:57:14Z
"Как же это потрясающе красиво. Я люблю Тэна. Ему очень идёт такой концепт, такая музыка. Он прекрасен. Уже так много лет слежу за его творчеством. Как мне крышу сносило с Dream In A Dream, а этот релиз НАМНОГО ЛУЧШЕ, и я даже описать не могу свои чувства. Тэн бог. Дышите, если согласны.)))","Как же это потрясающе красиво. Я люблю Тэна. Ему очень идёт такой концепт, такая музыка. Он прекрасен. Уже так много лет слежу за его творчеством. Как мне крышу сносило с Dream In A Dream, а этот релиз НАМНОГО ЛУЧШЕ, и я даже описать не могу свои чувства. Тэн бог. Дышите, если согласны.)))",Нико Прокофьев,21,2022-10-27T08:14:16Z,2022-10-27T08:14:16Z
"100% Visual100% Voz100% Coreografia 100% TalentosoDemosle el apoyo que se merece","100% Visual
100% Voz
100% Coreografia 
100% Talentoso
Demosle el apoyo que se merece",moonlight uwu,2731,2022-10-26T09:02:31Z,2022-10-26T09:02:31Z
"Это просто шедевр, Тэн король танцев и всего кпопа 🛐","Это просто шедевр, Тэн король танцев и всего кпопа 🛐",𝓝𝓪𝓮 кекс вишневый ♡,33,2022-10-27T09:20:39Z,2022-10-27T09:20:39Z
"Cuando escuchas y vez las canciones de Ten te viene a la mente la palabra arte y lo que me gusta es el mv que siempre tienen el aire que le gusta a Ten, haciéndole algo único a sus canciones, mezclando su arte en sus ropas, su forma de bailar, la voz de ten de por sí es arte🤩💯🤭💚🌱","Cuando escuchas y vez las canciones de Ten te viene a la mente la palabra arte y lo que me gusta es el mv que siempre tienen el aire que le gusta a Ten, haciéndole algo único a sus canciones, mezclando su arte en sus ropas, su forma de bailar, la voz de ten de por sí es arte🤩💯🤭💚🌱",Darlyn Isabel Velarde Huiza,32,2022-10-27T05:54:02Z,2022-10-27T05:54:02Z
Ten doesn’t need a concept. He himself is THE CONCEPT.,Ten doesn’t need a concept. He himself is THE CONCEPT.,钟洋 于,20,2022-10-27T06:24:30Z,2022-10-27T06:24:30Z
"He ate this concept? I love the way he presents himself, sheesh. A coreografia, figurino e os vocais dele tão uma maravilha, pqp ❤❤❤❤","He ate this concept? I love the way he presents himself, sheesh. 
A coreografia, figurino e os vocais dele tão uma maravilha, pqp ❤❤❤❤",준서엄마,34,2022-10-27T05:42:11Z,2022-10-27T05:52:53Z
"TEN НИКОГДА НЕ РАЗОЧАРОВЫВАЕТ!!! ОН ПРЕКРАСЕН, ТАЛАНТЛИВ, ОБЛАДАЕТ КРАСИВОЙ ВНЕШНОСТЬЮ И ГОЛОСОМ. ОН ПОЛНОСТЬЮ ЗАСЛУЖИЛ НАШУ ЛЮБОВЬ И ПОДДЕРЖКУ.","TEN НИКОГДА НЕ РАЗОЧАРОВЫВАЕТ!!! ОН ПРЕКРАСЕН, ТАЛАНТЛИВ, ОБЛАДАЕТ КРАСИВОЙ ВНЕШНОСТЬЮ И ГОЛОСОМ. ОН ПОЛНОСТЬЮ ЗАСЛУЖИЛ НАШУ ЛЮБОВЬ И ПОДДЕРЖКУ.", Choose your Gift Card,444,2022-10-26T10:34:19Z,2022-10-26T10:34:19Z
невероятно идеальная и атмосферная работа от невероятно талантливого Тена ♡(> ਊ <)♡,невероятно идеальная и атмосферная работа от невероятно талантливого Тена ♡(> ਊ <)♡,sanekaサネカ,14,2022-10-27T06:48:08Z,2022-10-27T06:48:08Z
한국에서 데뷔해줘서 감사할 따름이다 정말,한국에서 데뷔해줘서 감사할 따름이다 정말,Jopocky,10,2022-10-27T08:14:56Z,2022-10-27T08:14:56Z
"This song makes me feel some type of way like seriously TEN your voice, visuals and everything you present is living me speechless.","This song makes me feel some type of way like seriously TEN your voice, visuals and everything you present is living me speechless.",Rosie Lee,27,2022-10-27T05:14:38Z,2022-10-27T05:14:38Z
HE NEVER DISAPPOINTS! AT THIS POINT JUST GIVE HIM AN OFFICIAL SOLO DEBUT WITH AN ALBUM!,HE NEVER DISAPPOINTS! AT THIS POINT JUST GIVE HIM AN OFFICIAL SOLO DEBUT WITH AN ALBUM!,Mary Joyce Longos,11,2022-10-27T07:10:10Z,2022-10-27T07:10:10Z
"Ten’s dance moves and expressions tell the entire story, and he executes them to perfection. His recent solos also push his vocal range further, and I’m happy that Birthday had parts to make his talent shine (dance break, melody variations in chorus, creative styling, etc). I’m so excited for the WayV comeback and seeing the group’s hard work in culmination!","Ten’s dance moves and expressions tell the entire story, and he executes them to perfection. His recent solos also push his vocal range further, and I’m happy that Birthday had parts to make his talent shine (dance break, melody variations in chorus, creative styling, etc). I’m so excited for the WayV comeback and seeing the group’s hard work in culmination!",Reese Lansangan,223,2022-10-26T09:19:57Z,2022-10-26T09:19:57Z
Ten has grown so much as an artist. He's always pushing himself to higher standards.,Ten has grown so much as an artist. He's always pushing himself to higher standards.,E Lum,14,2022-10-27T05:46:51Z,2022-10-27T05:46:51Z
Es arte! Espero que le den mas contenido así donde realmente el se luce como el Artista completo que es. Muchas gracias por tan buena canción y coreografía!!!,Es arte! Espero que le den mas contenido así donde realmente el se luce como el Artista completo que es. Muchas gracias por tan buena canción y coreografía!!!,joysssuh,10,2022-10-27T06:11:16Z,2022-10-27T06:11:16Z
"Without a doubt, TEN is one of the most complete artist in the kpop industry. TEN i pray to you everyday","Without a doubt, TEN is one of the most complete artist in the kpop industry. TEN i pray to you everyday",Phi Ten,19,2022-10-27T08:53:22Z,2022-10-27T08:53:22Z
