textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
有岡くんの「楽しんで！」「楽しんでる！？」で見てる側も楽しい気持ちのまま最後まで観てた！！みんな上手だった！自軍塗りがずっとガバガバなのかわいい(),有岡くんの「楽しんで！」「楽しんでる！？」で見てる側も楽しい気持ちのまま最後まで観てた！！みんな上手だった！自軍塗りがずっとガバガバなのかわいい(),蒼,250,2022-10-25T13:08:45Z,2022-10-25T13:08:45Z
中丸さんがJGRに、しかもスプラの助っ人として参戦されたの本当に嬉しいです！！！しかも主張なくサラッと上手いのがカッコイイ……！,中丸さんがJGRに、しかもスプラの助っ人として参戦されたの本当に嬉しいです！！！しかも主張なくサラッと上手いのがカッコイイ……！,くらげ,217,2022-10-25T13:53:08Z,2022-10-25T13:53:08Z
楽しもう！！とかポジティブな言葉かけてくれる有岡くん好きすぎる,楽しもう！！とかポジティブな言葉かけてくれる有岡くん好きすぎる,ゆふ,153,2022-10-25T14:07:35Z,2022-10-25T14:07:35Z
リアタイした時に思ったけど、全員怖い言葉遣いしないのが素敵だった👏前向きになる声掛けが意識されてて凄い！ゲーム生配信って言葉遣いが荒いイメージあったけど、JGRの生配信は安心して見れるのが凄くいいですね！,"リアタイした時に思ったけど、全員怖い言葉遣いしないのが素敵だった👏
前向きになる声掛けが意識されてて凄い！
ゲーム生配信って言葉遣いが荒いイメージあったけど、JGRの生配信は安心して見れるのが凄くいいですね！",yzmc kpsm,48,2022-10-25T23:32:31Z,2022-10-25T23:32:31Z
キルされたらYouTubeだし「うわ！やられた！」とか反応が求められるなかで、中丸くんのスプラってキルされても静かなの…ジャにのでも観た時といっしょで貫禄ある優しいゲーマーニキで最高です！！！！,"キルされたらYouTubeだし「うわ！やられた！」とか反応が求められるなかで、中丸くんのスプラってキルされても静かなの…
ジャにのでも観た時といっしょで貫禄ある優しいゲーマーニキで最高です！！！！",Amberちゃん,275,2022-10-25T12:58:40Z,2022-10-25T13:00:01Z
中丸くんを助っ人に読んでくださってありがとうございました！！！！めちゃくちゃ楽しかったです！また中丸くんがスプラJGRでしている所を見れたら嬉しいです！！！,"中丸くんを助っ人に読んでくださってありがとうございました！！！！
めちゃくちゃ楽しかったです！
また中丸くんがスプラJGRでしている所を見れたら嬉しいです！！！",茉李,337,2022-10-25T12:59:35Z,2022-10-25T12:59:35Z
大ちゃん生放送回すの上手すぎて収録かと思った,大ちゃん生放送回すの上手すぎて収録かと思った,g i,230,2022-10-25T13:06:49Z,2022-10-25T13:06:49Z
中丸くんが登場した途端にものすごい速さで帽子取る2人に大笑い！なんて機敏な動きなのー！,"中丸くんが登場した途端にものすごい速さで帽子取る2人に大笑い！
なんて機敏な動きなのー！",MAKI,65,2022-10-26T03:17:08Z,2022-10-26T03:17:08Z
ガチになると編集で無言でもカットできるけど、生配信の怖さはそれができないこと。その中で声かけ、雰囲気作りができて誰よりポジティブファイターなだいちゃん好きだし、それぞれなんやかんやちゃんと楽しんでるみんなも好き🙈🍊,ガチになると編集で無言でもカットできるけど、生配信の怖さはそれができないこと。その中で声かけ、雰囲気作りができて誰よりポジティブファイターなだいちゃん好きだし、それぞれなんやかんやちゃんと楽しんでるみんなも好き🙈🍊,たべちゃん,109,2022-10-25T13:25:29Z,2022-10-25T19:16:27Z
4:52 はじまる9:28 大ちゃん肌白くない？▶︎ルール説明したくてキレる10:24 もっちー11:08 中丸くん登場12:03 有岡くんジャニのしっかり見てる13:32 有岡くんと中丸くん10年前ゲームの話15:48 喋ってよ！減らないで！16:57 お口がかわいい21:03 作戦会議21:50 マブる25:52 グータッチ▶︎マブる(再び)27:34 マブるの使い方30:43 ついに有岡くんマブる使う31:15 有岡くんお口にて当てる▶︎FPSやりたい▶︎有岡くんジャニの見てる,"4:52 はじまる
9:28 大ちゃん肌白くない？▶︎ルール説明したくてキレる
10:24 もっちー
11:08 中丸くん登場
12:03 有岡くんジャニのしっかり見てる
13:32 有岡くんと中丸くん10年前ゲームの話
15:48 喋ってよ！減らないで！
16:57 お口がかわいい
21:03 作戦会議
21:50 マブる
25:52 グータッチ▶︎マブる(再び)
27:34 マブるの使い方
30:43 ついに有岡くんマブる使う
31:15 有岡くんお口にて当てる▶︎FPSやりたい▶︎有岡くんジャニの見てる",えり,75,2022-10-25T23:33:53Z,2022-10-26T03:38:44Z
