textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
Congrats for entering US Billboard charts!This song debuts at No.28 on the Hot Rock & Alternative and No.25 on the Hot Rock charts,"Congrats for entering US Billboard charts!
This song debuts at No.28 on the Hot Rock & Alternative and No.25 on the Hot Rock charts",10969 Crazy Fangirl,1269,2022-10-26T15:01:13Z,2022-10-26T15:01:13Z
That bassline is nuts. Kenshi just knows how to make the most hype songs.,That bassline is nuts. Kenshi just knows how to make the most hype songs.,Leifybear,241,2022-10-26T20:54:38Z,2022-10-26T20:54:38Z
"Esta canción me da una energía, genial.","Esta canción me da una energía, genial.",Melvo,26,2022-10-27T01:37:36Z,2022-10-27T01:37:36Z
"Your songs are always such a hit. Love each of them, I'm addicted to this one atm. Just want to say we support you and you're doing great as always","Your songs are always such a hit. Love each of them, I'm addicted to this one atm. Just want to say we support you and you're doing great as always",Potato The potato,36,2022-10-27T03:01:41Z,2022-10-27T03:01:41Z
What an amazing choreography especially this song as well.,What an amazing choreography especially this song as well.,Jayvees,23,2022-10-26T17:34:17Z,2022-10-26T17:34:17Z
Excelente canción!! Amo todas las canciones de Kenshi y que lo conozca mas gente es increíble!!,Excelente canción!! Amo todas las canciones de Kenshi y que lo conozca mas gente es increíble!!,Aldana López,286,2022-10-25T23:07:31Z,2022-10-25T23:07:31Z
"They couldn’t have picked a more prefect artist to sing the OP for chainsaw man! Huge fan of Kenshi and his work, he never misses! 🤍","They couldn’t have picked a more prefect artist to sing the OP for chainsaw man! Huge fan of Kenshi and his work, he never misses! 🤍",AraAraSakura 🌸,182,2022-10-26T19:53:28Z,2022-10-26T19:53:28Z
"Funniest thing is, when I heard the CSM Intro I immediate thought of it as a pretty goddamn great gym music and have had it on repeat since. Seeing this music video just sent chills down my spine + the idea that he was pumped to give it more his best by ""imagining a competition/enemy"",  sits too close to home for me. Amazing stuff!","Funniest thing is, when I heard the CSM Intro I immediate thought of it as a pretty goddamn great gym music and have had it on repeat since. Seeing this music video just sent chills down my spine + the idea that he was pumped to give it more his best by ""imagining a competition/enemy"",  sits too close to home for me. Amazing stuff!",3,14,2022-10-27T02:10:36Z,2022-10-27T02:10:36Z
"esta cancion es la mejor de todos, y la risita del final le quedo super, todo de esta cancion me ha enamorado","esta cancion es la mejor de todos, y la risita del final le quedo super, todo de esta cancion me ha enamorado",paty agresot,40,2022-10-26T17:14:40Z,2022-10-26T17:14:40Z
"La cancion es increíble de principio a fin y que decir de tremendo MV, el final fue epico!!!!!","La cancion es increíble de principio a fin y que decir de tremendo MV, el final fue epico!!!!!",Im Tori,31,2022-10-27T03:48:03Z,2022-10-27T03:48:03Z
"OMG OMG ya pero nadie habla de que Kenshi Yonezu Y Daiki Tsuneta GRABARON JUNTOS ESTE MV? tremendos cantantes que son los dos, verlos  juntosfue maravilloso!!","OMG OMG ya pero nadie habla de que Kenshi Yonezu Y Daiki Tsuneta GRABARON JUNTOS ESTE MV? tremendos cantantes que son los dos, verlos  juntosfue maravilloso!!",Jessica Sánchez,296,2022-10-26T00:33:39Z,2022-10-26T00:33:39Z
1:39 ここからのメロディと歌詞が最高すぎるほんと、幸せになりたいし、楽して生きたい。人前ではっきり口に出さなくても胸に抱えている、そんな願望を、歌でなら解放できる。寄り添ってくれる気がする。音楽の力に助けられてます。素敵な曲をありがとうございます！,"1:39 ここからのメロディと歌詞が最高すぎる

ほんと、幸せになりたいし、楽して生きたい。人前ではっきり口に出さなくても胸に抱えている、そんな願望を、歌でなら解放できる。寄り添ってくれる気がする。

音楽の力に助けられてます。
素敵な曲をありがとうございます！",ぽむぽむ,141,2022-10-27T04:57:15Z,2022-10-27T04:57:15Z
Que increíble video ..Hace feliz mí día,"Que increíble video ..
Hace feliz mí día",chainsaw kun,12,2022-10-27T04:44:43Z,2022-10-27T04:44:43Z
El MV es demasiado extraño que hace que me encante,El MV es demasiado extraño que hace que me encante,CasperCase,16,2022-10-26T19:37:54Z,2022-10-26T19:37:54Z
SIMPLESMENTE PERFEITO 🇧🇷💖🛐,SIMPLESMENTE PERFEITO 🇧🇷💖🛐,Raissa Batista,48,2022-10-26T21:06:16Z,2022-10-26T21:06:16Z
The way Kenshi just know how to put his feelings into making a song is just jaw drop 🎶,The way Kenshi just know how to put his feelings into making a song is just jaw drop 🎶,MayuRi,626,2022-10-26T12:13:11Z,2022-10-26T12:13:11Z
"Desde que escuche ese tema como opening de Chainsaw Man, me encanto desde que lo escuche, y bien sincronizado con los planos referenciados a varias peliculas para un aficionado al cine incluyendo la Divina Comedia, excelente!!","Desde que escuche ese tema como opening de Chainsaw Man, me encanto desde que lo escuche, y bien sincronizado con los planos referenciados a varias peliculas para un aficionado al cine incluyendo la Divina Comedia, excelente!!",Samuel Francisco Núñez Trujillo,20,2022-10-27T06:29:56Z,2022-10-27T06:29:56Z
I can't believe I got goosebumps from music,I can't believe I got goosebumps from music,HELL 69,18,2022-10-26T17:58:33Z,2022-10-26T17:58:33Z
これだけネタ色あるのに、しっかり原作とか歌詞に通ずる部分があったり、車のナンバーとかしっかり凝ってるのがやっぱり抜かりない男、米津玄師って感じがして好き,これだけネタ色あるのに、しっかり原作とか歌詞に通ずる部分があったり、車のナンバーとかしっかり凝ってるのがやっぱり抜かりない男、米津玄師って感じがして好き,ぱぁ,486,2022-10-26T22:51:57Z,2022-10-26T22:51:57Z
"i dont watch chainsaw man yet, but i just like Kenshi Yonezu music personally and yes this is banger. Love it!","i dont watch chainsaw man yet, but i just like Kenshi Yonezu music personally and yes this is banger. Love it!",casual weeb,11,2022-10-27T02:52:53Z,2022-10-27T02:52:53Z
"Kenshi Yonezu, cada canción que sacas es genial! Mando mi amor desde México 💓💓💓💓","Kenshi Yonezu, cada canción que sacas es genial! Mando mi amor desde México 💓💓💓💓",Jessica Akari Navarro,81,2022-10-25T18:31:00Z,2022-10-25T18:31:00Z
this MV is freaking genius.,this MV is freaking genius.,David Lam,9,2022-10-27T01:03:34Z,2022-10-27T01:03:34Z
Congrats for entering US Billboard charts!This song debuts at No.28 on the Hot Rock & Alternative and No.25 on the Hot Rock charts,"Congrats for entering US Billboard charts!
This song debuts at No.28 on the Hot Rock & Alternative and No.25 on the Hot Rock charts",Kyla! 💖cHAt WiT ME {I'M HERE} 🤳,6,2022-10-27T09:10:39Z,2022-10-27T09:10:39Z
"There are some fun facts : 1. They literally hired a men to start up a chainsaw to recording the chainsaw sound in the beginning of this song.2. The lyric ""努力 未来 A BEAUTIFUL STAR(Doryuku, Mirai, a beautiful star)"" was actually a line used from the song ""Souda! We're ALIVE"" made by a famous Japanese girl group Morning Musume.3. the word of the title ""KickBack"", except it has the meaning of revenge, it also is the term that is used to describe the sudden jolt by the chainsaw in an upward direction, which would probably be a spoiler of the story of Chainsaw Man.4. The artwork of the picture of the song(a picture with Chainsaw Man and a hand pulling his trigger) was also drawn by Yonezu Kenshi himself.(I'm bad at English, sorry if you don't understand this comment 😅 )","There are some fun facts : 
1. They literally hired a men to start up a chainsaw to recording the chainsaw sound in the beginning of this song.
2. The lyric ""努力 未来 A BEAUTIFUL STAR(Doryuku, Mirai, a beautiful star)"" was actually a line used from the song ""Souda! We're ALIVE"" made by a famous Japanese girl group Morning Musume.
3. the word of the title ""KickBack"", except it has the meaning of revenge, it also is the term that is used to describe the sudden jolt by the chainsaw in an upward direction, which would probably be a spoiler of the story of Chainsaw Man.
4. The artwork of the picture of the song(a picture with Chainsaw Man and a hand pulling his trigger) was also drawn by Yonezu Kenshi himself.

(I'm bad at English, sorry if you don't understand this comment 😅 )",CX D,15,2022-10-26T18:27:01Z,2022-10-26T18:38:15Z
"After seeing his concert live last week, I can say this song is even better live! With literally ""burning"" stage! But the MV is so funny and unexpected...!! I became even a bigger fan! Yonezu Kenshi is a living legend!","After seeing his concert live last week, I can say this song is even better live! With literally ""burning"" stage! But the MV is so funny and unexpected...!! I became even a bigger fan! Yonezu Kenshi is a living legend!",Anya-chan,3,2022-10-27T09:59:59Z,2022-10-27T09:59:59Z
the story protrayed in the mv was crafted so carefully and beautifully it fits the song so well thank you for this genius masterpiece,the story protrayed in the mv was crafted so carefully and beautifully it fits the song so well thank you for this genius masterpiece,nescafaye,290,2022-10-25T14:15:09Z,2022-10-25T14:15:09Z
