textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
▼オンライン視聴チケット/会場チケットの購入はこちらからhttps://breakingdown.jp▼スポンサー応募・詳細はこちらhttps://backstage.inc/breakingdown/sp,"▼オンライン視聴チケット/会場チケットの購入はこちらから
https://breakingdown.jp

▼スポンサー応募・詳細はこちら
https://backstage.inc/breakingdown/sp",KAI Channel / 朝倉海,17,2022-10-26T19:05:27Z,2022-10-26T19:05:27Z
毎回視聴者のために神企画してくれる朝倉兄弟本当にありがたい！,毎回視聴者のために神企画してくれる朝倉兄弟本当にありがたい！,kinguチャンネル,268,2022-10-26T10:42:50Z,2022-10-26T10:42:50Z
海さんお疲れ様でした！ほんと視聴者目線でわかりやすいです。試合の実況も裏とかでやって頂けると面白いだろうな〜,"海さんお疲れ様でした！
ほんと視聴者目線でわかりやすいです。
試合の実況も裏とかでやって頂けると面白いだろうな〜",めーらん親父,127,2022-10-26T12:17:58Z,2022-10-26T12:17:58Z
このシリーズは海くんのいいところがすごく出る！,このシリーズは海くんのいいところがすごく出る！,さつきいつか,291,2022-10-26T10:14:37Z,2022-10-26T10:14:37Z
satoruくんかっこいいし礼儀正しそうで応援したくなるな,satoruくんかっこいいし礼儀正しそうで応援したくなるな,ライラック,252,2022-10-26T10:55:28Z,2022-10-26T10:55:28Z
今回の、オーディションはなんかシンプルで男気あって楽しかったし礼儀正しい人多かったから見てて不快かもんなかったし面白さもあったからGood( ˶¯ ꒳¯˵)👍🏻,今回の、オーディションはなんかシンプルで男気あって楽しかったし礼儀正しい人多かったから見てて不快かもんなかったし面白さもあったからGood( ˶¯ ꒳¯˵)👍🏻,ブラッキー&シナモン,15,2022-10-26T18:18:17Z,2022-10-26T18:18:17Z
構成作家いるって疑われてもいいくらいバン仲村喋り上手い笑,構成作家いるって疑われてもいいくらいバン仲村喋り上手い笑,ブカヨ坂46,30,2022-10-26T13:27:05Z,2022-10-26T13:27:05Z
酔っ払ってオーディションして怪我を負わせた2人が帰ったあと残った控え室で怪我を負わされた緒方さんがお酒のゴミの片付けをしてるのがたまたまいわちチャンネルに映っていて泣きそうになりました。11月3日いろんな意味で拝見しようと思います。　　　　　　　　　なかまんJAPAN,"酔っ払ってオーディションして
怪我を負わせた2人が帰ったあと
残った控え室で怪我を負わされた
緒方さんがお酒のゴミの片付けを
してるのがたまたま
いわちチャンネルに映っていて
泣きそうになりました。
11月3日
いろんな意味で拝見しようと
思います。
　　　　　　　　　なかまんJAPAN",sabaman japan,215,2022-10-26T14:14:39Z,2022-10-26T14:14:39Z
やっぱバンさんの好感度爆上がりだわ,やっぱバンさんの好感度爆上がりだわ,こーちゃん,35,2022-10-26T10:42:30Z,2022-10-26T10:42:30Z
それにしても海さんは誰に対しても神対応ですね。,それにしても海さんは誰に対しても神対応ですね。,KEN,88,2022-10-26T13:16:14Z,2022-10-26T13:16:14Z
まさおさんと海さんの絡みがおもしろすぎるwなんとかコラボしてくれないかなぁw,"まさおさんと海さんの絡みがおもしろすぎるw
なんとかコラボしてくれないかなぁw",しん,104,2022-10-26T10:57:38Z,2022-10-26T10:57:38Z
緒方さんTwitter女王様って感じだけどここでは普通に接してるし言ってること何も間違ってないしえろいし可愛いし最強じゃん,緒方さんTwitter女王様って感じだけどここでは普通に接してるし言ってること何も間違ってないしえろいし可愛いし最強じゃん,アカマツコウイチロウ,308,2022-10-26T10:21:19Z,2022-10-26T10:22:27Z
朝倉兄弟は普段キリっとしてるのに喧嘩道の告知になると大根のスイッチが入って口角が不安定な半笑い顔になるのスキ,朝倉兄弟は普段キリっとしてるのに喧嘩道の告知になると大根のスイッチが入って口角が不安定な半笑い顔になるのスキ,某氏,36,2022-10-26T14:08:04Z,2022-10-26T14:08:04Z
海のインタビュー人間性出てて好感もてる　何より元ライジンチャンピオンだからインタビュー受ける方もリスペクトしてる感出てるし格闘家目線で見てるからその人の強さも理解してて最高のインタビューアーとして適任,"海のインタビュー人間性出てて
好感もてる　何より元ライジン
チャンピオンだからインタビュー
受ける方もリスペクトしてる感
出てるし格闘家目線で見てるから
その人の強さも理解してて最高の
インタビューアーとして適任",浪速ナギやん,12,2022-10-26T14:34:59Z,2022-10-26T14:34:59Z
仲村さんって凄い礼儀正しい,仲村さんって凄い礼儀正しい,FATHER &MOTHER,19,2022-10-26T13:32:12Z,2022-10-26T13:32:12Z
海とまさおの喋りスムーズ過ぎて腹痛いw,海とまさおの喋りスムーズ過ぎて腹痛いw,Ryusei,61,2022-10-26T10:23:35Z,2022-10-26T10:23:35Z
オーディションの顔とは違う裏の顔が垣間見れると、ただの怖い人達じゃないんだって安心できます😌楽しみにしています🎉,オーディションの顔とは違う裏の顔が垣間見れると、ただの怖い人達じゃないんだって安心できます😌楽しみにしています🎉,Mami S,6,2022-10-26T12:40:03Z,2022-10-26T12:40:03Z
もう少し日にち空くかと思ってたけど二日連続で嬉しい,もう少し日にち空くかと思ってたけど二日連続で嬉しい,お笑い大好き,76,2022-10-26T11:20:52Z,2022-10-26T11:20:52Z
サトルが飯田から飯田くんから飯田さんにテンション下がってる3段活用ｗ可愛い。,サトルが飯田から飯田くんから飯田さんにテンション下がってる3段活用ｗ可愛い。,・M TAISI,212,2022-10-26T11:07:43Z,2022-10-26T11:07:43Z
みんなに平等な対応と温度感が最高ですな,みんなに平等な対応と温度感が最高ですな,ベルリンの赤い雨。,50,2022-10-26T12:18:17Z,2022-10-26T12:18:17Z
SATORU選手、めちゃくちゃ礼儀正しくて好感持てた,SATORU選手、めちゃくちゃ礼儀正しくて好感持てた,N Toru,16,2022-10-26T14:02:56Z,2022-10-26T14:02:56Z
海さんの裏側紹介は選手達の魅力的な部分を引き出していて凄く素敵だと思います😊皆んな応援したくなる。,海さんの裏側紹介は選手達の魅力的な部分を引き出していて凄く素敵だと思います😊皆んな応援したくなる。,夏海,4,2022-10-26T14:37:31Z,2022-10-26T14:37:31Z
この怒りをグッと抑えて試合でぶつけて下さい！って言葉がめっちゃ心に響きましたーー！！,この怒りをグッと抑えて試合でぶつけて下さい！って言葉がめっちゃ心に響きましたーー！！,KE TA,27,2022-10-26T12:28:28Z,2022-10-26T12:28:28Z
飯田さんが話さなかったのがビビってるとかじゃなくてお尻が痛いは笑った,飯田さんが話さなかったのがビビってるとかじゃなくてお尻が痛いは笑った,カルメ,534,2022-10-26T11:01:40Z,2022-10-26T11:01:40Z
緒方さん好き笑画面越しでもガチギレ伝わってきたのが面白かった,"緒方さん好き笑
画面越しでもガチギレ伝わってきたのが面白かった",Foxx Beatzⓥ,115,2022-10-26T10:45:40Z,2022-10-26T10:46:53Z
みんな海くんの前では下手というかちゃんとした対応してて、ほんとに裏側ってかんじがする！,みんな海くんの前では下手というかちゃんとした対応してて、ほんとに裏側ってかんじがする！,no no,14,2022-10-26T13:28:45Z,2022-10-26T13:28:45Z
仲村さんは真面目やな本当にマジでプロだわ,"仲村さんは真面目やな本当に
マジでプロだわ",サザナミ賢太郎,132,2022-10-26T11:29:33Z,2022-10-26T11:29:33Z
まじでこの海くんのインタビューめっちゃ好き！,まじでこの海くんのインタビューめっちゃ好き！,あーる,70,2022-10-26T11:04:47Z,2022-10-26T11:04:47Z
海ちゃんまじで解説うまい,海ちゃんまじで解説うまい,Yuuki Kobata,16,2022-10-26T12:11:49Z,2022-10-26T12:11:49Z
緒方さんは怪我大丈夫だったのかな？Twitterだと膝怪我したみたいな感じだったけど、出れるならバチバチに勝ってほしい,"緒方さんは怪我大丈夫だったのかな？
Twitterだと膝怪我したみたいな感じだったけど、出れるならバチバチに勝ってほしい",akira,29,2022-10-26T11:07:14Z,2022-10-26T11:07:39Z
まさおくんはキレが良いよねwかなり好きw,"まさおくんはキレが良いよねw
かなり好きw",わーげんふぉるくす,34,2022-10-26T11:14:46Z,2022-10-26T11:14:46Z
メイウェザー戦を機に朝倉兄弟のチャンネルやBreaking Downを見るようになりまして、すごく楽しいです！応援してます！,メイウェザー戦を機に朝倉兄弟のチャンネルやBreaking Downを見るようになりまして、すごく楽しいです！応援してます！,かずゆき,27,2022-10-26T10:26:34Z,2022-10-26T10:26:34Z
9:55 呼び捨てした後にさん付けで呼んで礼儀正しさバレるの好き,9:55 呼び捨てした後にさん付けで呼んで礼儀正しさバレるの好き,Republic,97,2022-10-26T10:41:10Z,2022-10-26T10:41:10Z
自分もこの兄弟見てて強いと思ってたんよな楽しみや,"自分もこの兄弟見てて強いと思ってたんよな
楽しみや",aya man,3,2022-10-26T20:47:00Z,2022-10-26T20:47:00Z
08:09 海くんの返しセンスあるわw 笑った,08:09 海くんの返しセンスあるわw 笑った,エディ,27,2022-10-26T13:20:13Z,2022-10-26T13:20:13Z
緒方さん昔からファンだから頑張ってほしい,緒方さん昔からファンだから頑張ってほしい,脱二ートの日常,22,2022-10-26T11:23:19Z,2022-10-26T11:23:19Z
中村さんはブレイキングダウンで自分の年齢のことも考えて自分は何ができるのか、ちゃんと考えて盛り上げようとしてるところが好感が持てるなぁ😄,中村さんはブレイキングダウンで自分の年齢のことも考えて自分は何ができるのか、ちゃんと考えて盛り上げようとしてるところが好感が持てるなぁ😄,RIN,165,2022-10-26T10:25:29Z,2022-10-26T10:25:29Z
華のある人がオーディションするたびに集結してる感じが面白い！！！女子枠はシンプルに不快！なんか履き違えてる,"華のある人がオーディションするたびに集結してる感じが面白い！！！

女子枠はシンプルに不快！なんか履き違えてる",山田太郎,71,2022-10-26T11:18:30Z,2022-10-26T11:18:30Z
飯田さんが笑ってるとこ可愛い,飯田さんが笑ってるとこ可愛い,たまたま,4,2022-10-26T23:51:24Z,2022-10-26T23:51:24Z
女子オーディションは胸糞悪かったですねまさおさんはキャラがやべぇですね笑アウトサイダーとの対抗戦は個人的にもかなり楽しみです,"女子オーディションは胸糞悪かったですね

まさおさんはキャラがやべぇですね笑
アウトサイダーとの対抗戦は個人的にもかなり楽しみです",Hiroki 10969,35,2022-10-26T11:04:14Z,2022-10-26T11:04:14Z
今回はむちゃくちゃ期待してますバンさん飯田さん10人ニキ大好きです,"今回はむちゃくちゃ期待してます
バンさん飯田さん10人ニキ大好きです",912brcp T.H,3,2022-10-26T15:40:09Z,2022-10-26T15:40:09Z
緒方さん頑張れ！,緒方さん頑張れ！,shunho yun,45,2022-10-26T10:47:07Z,2022-10-26T10:47:07Z
バン仲村さん何気にめっちゃ真面目w,バン仲村さん何気にめっちゃ真面目w,k k,46,2022-10-26T10:29:44Z,2022-10-26T10:29:44Z
YUGOもなんか雰囲気かっけーな,YUGOもなんか雰囲気かっけーな,平成のライオン,23,2022-10-26T10:25:26Z,2022-10-26T10:25:26Z
よしおの引き際が好きすぎる,よしおの引き際が好きすぎる,katsu,3,2022-10-27T03:15:53Z,2022-10-27T03:15:53Z
緒方さん好きだなぁ勝ってほしい,"緒方さん好きだなぁ
勝ってほしい",絵に薫Tomoya,97,2022-10-26T11:02:45Z,2022-10-26T11:02:45Z
まさおさんはお笑い芸人デビューしてほしい面白すぎた,まさおさんはお笑い芸人デビューしてほしい面白すぎた,19toshiki,9,2022-10-26T14:26:46Z,2022-10-26T14:26:46Z
比嘉兄弟まじで楽しみやな飯田さんとまでは行かないけど強いだろうな雰囲気がある,"比嘉兄弟まじで楽しみやな
飯田さんとまでは行かないけど強いだろうな
雰囲気がある",パッカーんCM,12,2022-10-26T12:22:18Z,2022-10-26T12:22:18Z
やっぱりどっかの空気読めない女2人と違って皆んなエンターテイメントをしっかりわかってるからみてて楽しい,やっぱりどっかの空気読めない女2人と違って皆んなエンターテイメントをしっかりわかってるからみてて楽しい,レン,307,2022-10-26T10:34:38Z,2022-10-26T10:34:38Z
是非緒方さんに勝っていただきたい😭,是非緒方さんに勝っていただきたい😭,AIKA,40,2022-10-26T11:08:06Z,2022-10-26T11:08:06Z
それぞれに、頑張って、勝利を！しかし、緒方さんほんとうに、正論ですよね！👍限度！というものは、あります！闘いで、完勝を！💪👍😊,"それぞれに、頑張って、勝利を！

しかし、
緒方さんほんとうに、正論ですよね！👍
限度！というものは、あります！
闘いで、完勝を！💪👍😊",山内和美,26,2022-10-26T11:54:57Z,2022-10-26T11:54:57Z
まさおの破壊力がスゴいw,まさおの破壊力がスゴいw,T,26,2022-10-26T11:25:41Z,2022-10-26T11:25:41Z
暴れればいいと思う人が増えないでほしいからみらたむ試合しないでほしい一方で、ボコボコにされてるみらたむを見たいと思う自分もいる…,暴れればいいと思う人が増えないでほしいからみらたむ試合しないでほしい一方で、ボコボコにされてるみらたむを見たいと思う自分もいる…,ランゲルハンス島,345,2022-10-26T10:51:11Z,2022-10-26T10:51:11Z
誰にでも気さくに絡める海君の人柄ってすげぇな,誰にでも気さくに絡める海君の人柄ってすげぇな,ベッド・ベル,26,2022-10-26T16:37:26Z,2022-10-26T16:37:26Z
satoru飯田さんに呼び捨てだったのに素で飯田さんって言っちゃてるやん何だかんら礼儀正しい人で好感持てるから頑張ってほしい,"satoru飯田さんに呼び捨てだったのに素で飯田さんって言っちゃてるやん
何だかんら礼儀正しい人で好感持てるから頑張ってほしい",Nアール,4,2022-10-26T13:53:37Z,2022-10-26T13:53:37Z
