textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"르세라핌이 사용한 꿀잠템👇오늘밤 만나는 스윗드림퀵슬립 롤팩 매트리스 Q4quicksleep.us🛏 퀵슬립 Q4 롤팩 매트리스https://m.brand.naver.com/quicksleep/products/4440925946","르세라핌이 사용한 꿀잠템👇
오늘밤 만나는 스윗드림
퀵슬립 롤팩 매트리스 Q4
quicksleep.us

🛏 퀵슬립 Q4 롤팩 매트리스
https://m.brand.naver.com/quicksleep/products/4440925946",MUPLY 뮤플리,363,2022-10-26T11:01:00Z,2022-10-26T11:01:00Z
"LE SSERAFIM is slaying the choreography, vocals, outfits, visuals, saying lines in multi languages they are slaying so hard","LE SSERAFIM is slaying the choreography, vocals, outfits, visuals, saying lines in multi languages they are slaying so hard",Ash,597,2022-10-26T11:42:03Z,2022-10-26T11:42:03Z
They are not only talented in singing they also comedians,They are not only talented in singing they also comedians,jenniessolo,586,2022-10-26T13:19:07Z,2022-10-26T13:19:07Z
"They disobeyed, wasted and twisted all rules possible, this is the most chaotic and unruly episode of them all, LE SSERAFIM so typical 😂😂😂😂😂","They disobeyed, wasted and twisted all rules possible, this is the most chaotic and unruly episode of them all, LE SSERAFIM so typical 😂😂😂😂😂",Engineer At Large,214,2022-10-26T12:25:34Z,2022-10-26T12:25:34Z
"Chaewon:If we fight i could beat him,he's just tall😂She's so cute","Chaewon:If we fight i could beat him,he's just tall😂
She's so cute",Esha Naseem,874,2022-10-26T12:09:34Z,2022-10-26T12:09:34Z
"Sakura's humour when the man asked her to sleep properly she said ""this is how we sleep in Japan""🤣 i like her humour 🤣😂","Sakura's humour when the man asked her to sleep properly she said ""this is how we sleep in Japan""🤣 i like her humour 🤣😂",Shi_jini🌸,130,2022-10-26T15:51:30Z,2022-10-26T15:51:30Z
"STOPPP WHY ARE THEY SO FUNNYI’ve never seen a group tie him up, steal food and punch him before lmfao, it’s sad eunchae’s not here","STOPPP WHY ARE THEY SO FUNNY
I’ve never seen a group tie him up, steal food and punch him before lmfao, it’s sad eunchae’s not here",k,190,2022-10-26T12:55:11Z,2022-10-26T12:55:11Z
"Наши прекрасные, очаровательные, идеальные, милые, сияющие, талантливые, сияющие и потрясающие королевы девушки ангелочки, мы очень сильно любим их, Стэн и Люби ЛЕ ССЕРАФИМ.","Наши прекрасные, очаровательные, идеальные, милые, сияющие, талантливые, сияющие и потрясающие королевы девушки ангелочки, мы очень сильно любим их, Стэн и Люби ЛЕ ССЕРАФИМ.",Ivan Mockvin,81,2022-10-26T15:05:34Z,2022-10-26T15:05:34Z
Sakura betraying yunjin is so hilarious and yunjin screaming at kkura saying 'we did it together'🤣🤣,Sakura betraying yunjin is so hilarious and yunjin screaming at kkura saying 'we did it together'🤣🤣,Shi_jini🌸,198,2022-10-26T15:40:04Z,2022-10-26T15:40:04Z
Como pueden ser tan divertidas? Las amo mucho ♡,Como pueden ser tan divertidas? Las amo mucho ♡,Fav ,38,2022-10-26T12:17:06Z,2022-10-26T12:17:06Z
Idk but Yunjin is naturally so funny 😘😂Le Sserafim 😂 1st time I see someone wrap the teacher up 😂,"Idk but Yunjin is naturally so funny 😘😂
Le Sserafim 😂 1st time I see someone wrap the teacher up 😂",^teresa^,204,2022-10-26T13:50:12Z,2022-10-26T13:53:36Z
