textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
Que vuen tema cuanto quisiera estar ai pero soy de occidente centro america sueño con poder estar precente algun dia,Que vuen tema cuanto quisiera estar ai pero soy de occidente centro america sueño con poder estar precente algun dia,the sora,82,2022-10-26T03:03:24Z,2022-10-26T03:03:24Z
朝仕事行くの辛いけど『歯磨きして顔洗って着替えたらいつもと同じ足で出かけようぜ』で布団から起きて、よし頑張ろうって思える。BUMPの音楽がいつも背中押してくれるし、包み込んでくれる。これからもBUMPの楽曲楽しみにしてます！応援してます！ありがとう！,朝仕事行くの辛いけど『歯磨きして顔洗って着替えたらいつもと同じ足で出かけようぜ』で布団から起きて、よし頑張ろうって思える。BUMPの音楽がいつも背中押してくれるし、包み込んでくれる。これからもBUMPの楽曲楽しみにしてます！応援してます！ありがとう！,にこる,86,2022-10-26T04:47:26Z,2022-10-26T04:47:26Z
歌が上手いのはもちろんのことだけど声が本当に心地よい✨,歌が上手いのはもちろんのことだけど声が本当に心地よい✨,アリオン-aReoNch-,90,2022-10-26T03:11:29Z,2022-10-26T03:11:29Z
This is one of my favorite songs from them. Hope that one day I'll be able to atend to one of their concerts ;;,This is one of my favorite songs from them. Hope that one day I'll be able to atend to one of their concerts ;;,itsmedovid,40,2022-10-26T03:29:58Z,2022-10-26T03:29:58Z
He has a very soothing voice,He has a very soothing voice,Irma Nur Azizah,15,2022-10-26T08:02:47Z,2022-10-26T08:02:47Z
歌詞がよすぎて情景が浮かびすぎて泣いちゃうBUMP OF CHICKENは神曲つくりまくりですよ,歌詞がよすぎて情景が浮かびすぎて泣いちゃうBUMP OF CHICKENは神曲つくりまくりですよ,西森大桜,75,2022-10-26T03:25:14Z,2022-10-26T03:25:14Z
「起き方」じゃなくて「起き方を知ってること」を教えてくれるのが最高にBUMPしてて大好き,「起き方」じゃなくて「起き方を知ってること」を教えてくれるのが最高にBUMPしてて大好き,ごりぃ,320,2022-10-26T03:25:03Z,2022-10-26T03:25:03Z
3:27の「高く遠く広すぎる空の下おはよう僕は昨日からやって来たよ」が素敵すぎる。何度も聴きたくなる。,3:27の「高く遠く広すぎる空の下おはよう僕は昨日からやって来たよ」が素敵すぎる。何度も聴きたくなる。,BRAVEカイザー,122,2022-10-26T03:16:31Z,2022-10-26T03:16:31Z
歳とるたび進化してるよなこの人たち…。そしていい歌すぎるな、なないろ…。,"歳とるたび進化してるよなこの人たち…。
そしていい歌すぎるな、なないろ…。",音,25,2022-10-26T07:56:50Z,2022-10-26T07:56:50Z
藤原さんの声、昔の掠れてて荒々しいのも、最近の伸びやかで、艶っぽい色気のある声も、、、両方ステキライブもCD音源と遜色ないのがbumpの素晴らしいとこ！,"藤原さんの声、昔の掠れてて荒々しいのも、最近の伸びやかで、艶っぽい色気のある声も、、、両方ステキ
ライブもCD音源と遜色ないのがbumpの素晴らしいとこ！",リン,69,2022-10-26T07:08:34Z,2022-10-26T07:08:34Z
Ojala vinieran a México.,Ojala vinieran a México.,Hector Salvador Hernandez Flores,31,2022-10-26T04:09:24Z,2022-10-26T04:09:24Z
"I hope to see you live someday, I grew up listening to your songs ❤️ - a fan from Philippines","I hope to see you live someday, I grew up listening to your songs ❤️ 

- a fan from Philippines",Smelly Cat,29,2022-10-26T03:05:19Z,2022-10-26T03:05:19Z
なないろ すごく好きです😊落ち込んだ時やよく分からないけど寂しくなる時に聴くと 元気になれますライブver ありがとうございます❤,"なないろ すごく好きです😊
落ち込んだ時やよく分からないけど寂しくなる時に聴くと 元気になれます
ライブver ありがとうございます❤",麻痺,26,2022-10-26T03:29:00Z,2022-10-26T03:29:00Z
アレンジ良すぎて原曲じゃ満足できなくなる,アレンジ良すぎて原曲じゃ満足できなくなる,Amedama Hikoushi,163,2022-10-26T03:08:26Z,2022-10-26T03:08:26Z
発売前にこうやってYouTubeで公開してくれて感謝しかありません🥲。心地よい歌声と演奏..やっぱりBUMPが奏でる音楽が大好きです♡。,発売前にこうやってYouTubeで公開してくれて感謝しかありません🥲。心地よい歌声と演奏..やっぱりBUMPが奏でる音楽が大好きです♡。,shimanekonicoru,38,2022-10-26T03:26:06Z,2022-10-26T03:26:06Z
藤くんの声が素敵なのは当たり前ですが、一人一人の楽器の音もよく聴こえてとても良い音だと思いました❤チャマのベースが特によく聴こえて藤くんの声とよく合ってて心地よいです😌✨,"藤くんの声が素敵なのは当たり前ですが、一人一人の楽器の音もよく聴こえてとても良い音だと思いました❤
チャマのベースが特によく聴こえて藤くんの声とよく合ってて心地よいです😌✨",まるちな,13,2022-10-26T08:30:21Z,2022-10-26T08:30:21Z
