textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
「財力と技術を手に入れた高校生」感が堪らなく好き,「財力と技術を手に入れた高校生」感が堪らなく好き,OYAZI,112,2022-10-25T11:19:32Z,2022-10-25T11:19:32Z
佐田さんと親父が性格と単車が同じで観てて面白い,佐田さんと親父が性格と単車が同じで観てて面白い,ns1 Hasitaka,3,2022-10-26T12:45:09Z,2022-10-26T12:45:09Z
音変わった後、めちゃくちゃ走り行きたくなる衝動めっちゃ分かる…！！！ついついぶち回して快音を聴きたくなるんですよね！,"音変わった後、めちゃくちゃ走り行きたくなる衝動めっちゃ分かる…！！！
ついついぶち回して快音を聴きたくなるんですよね！",バタシ.,34,2022-10-25T09:30:52Z,2022-10-25T09:30:52Z
大人のカスタム完成ですね！ポイント調整であそこまで音が変わるのを実感できるんですね！勉強になります！,"大人のカスタム完成ですね！
ポイント調整であそこまで音が変わるのを実感できるんですね！
勉強になります！",ケン,3,2022-10-26T09:31:53Z,2022-10-26T09:31:53Z
仕事中に通知見て見たくて見たくてウズウズしてました！仕事終わりに速攻で帰宅をして見てます！総長の激しぶカスタムたまりませんな〜これはもう押忍です！,"仕事中に通知見て見たくて見たくてウズウズしてました！仕事終わりに速攻で帰宅をして見てます！
総長の激しぶカスタムたまりませんな〜
これはもう押忍です！",shuuiti12,7,2022-10-25T12:33:08Z,2022-10-25T12:33:08Z
SS350もカッコいいですけど、やっぱり総長が乗ってるからカッコイイ！っていうのが間違いないです！憧れます！,SS350もカッコいいですけど、やっぱり総長が乗ってるからカッコイイ！っていうのが間違いないです！憧れます！,yoshiki K,3,2022-10-26T09:02:41Z,2022-10-26T09:02:41Z
いやぁ〜、こんなにも遊び心と大人をかけもった最高のバイクないわぁ。最高‼️,いやぁ〜、こんなにも遊び心と大人をかけもった最高のバイクないわぁ。最高‼️,プリきょま部長,14,2022-10-25T09:38:07Z,2022-10-25T09:38:07Z
Instagramの写真がカッコ良過ぎたんで、めちゃくちゃ楽しみでした！！ありがとうございます！早く総長の走行動画が見たすぎる〜\(//∇//)\,"Instagramの写真がカッコ良過ぎたんで、めちゃくちゃ楽しみでした！！ありがとうございます！
早く総長の走行動画が見たすぎる〜\(//∇//)\",iii kkk,4,2022-10-25T09:27:42Z,2022-10-25T09:27:42Z
短風防の絞り具合がたまらない最高！マッハの音もサンパチみたいで最高です！これからも面白い動画をよろしくお願いします。押忍！,"短風防の絞り具合がたまらない最高！
マッハの音もサンパチみたいで最高です！
これからも面白い動画をよろしくお願いします。押忍！",Black Cats,0,2022-10-26T12:44:01Z,2022-10-26T12:44:01Z
佐田さんが次どこを弄るのか予想しながら見るの楽しい〜,佐田さんが次どこを弄るのか予想しながら見るの楽しい〜,佐藤,6,2022-10-25T11:53:22Z,2022-10-25T11:53:22Z
紐切っちゃう所で腹筋切れましたww,紐切っちゃう所で腹筋切れましたww,一条武丸,10,2022-10-25T09:41:05Z,2022-10-25T09:41:05Z
ポイント直した後の音のバランス、最高です‼️調律した後の楽器みたいですね。,ポイント直した後の音のバランス、最高です‼️調律した後の楽器みたいですね。,af50zzm,4,2022-10-25T11:05:47Z,2022-10-25T11:05:47Z
お客さんと成人式の振袖と小物の話で、色合いの話になり、「赤ちゃ金ぞ」って言ってしまいました。完全に佐田チルドレンです。ありがとうございます。,"お客さんと成人式の振袖と小物の話で、色合いの話になり、「赤ちゃ金ぞ」って言ってしまいました。
完全に佐田チルドレンです。ありがとうございます。",おまつ,18,2022-10-25T09:12:20Z,2022-10-25T09:12:20Z
11:10 ここの台詞聞くと改めて宇野さん免許取ってよかったねって思う☺,"11:10 ここの台詞聞くと改めて
宇野さん免許取ってよかったねって思う☺",新潟のジェイソン(似顔絵作家),30,2022-10-25T11:36:21Z,2022-10-25T11:36:21Z
お疲れ様です🙇激渋ですね！糸切れた時は大笑いしましたけど完璧です　押忍！！,"お疲れ様です🙇
激渋ですね！糸切れた時は大笑いしましたけど完璧です　押忍！！",GAO,2,2022-10-25T10:16:44Z,2022-10-25T10:16:44Z
ほんとにかっこよすぎるこのマッハ,ほんとにかっこよすぎるこのマッハ,Mrs,4,2022-10-25T13:14:47Z,2022-10-25T13:14:47Z
ハンドル変えて乗ってる姿見たら本当に大きくなったように見えますね！マッハちゃんもどんどん進化してカッコいい(^^)v一人芝居お疲れさまでした☆,"ハンドル変えて乗ってる姿見たら本当に大きくなったように見えますね！マッハちゃんもどんどん進化してカッコいい(^^)v
一人芝居お疲れさまでした☆",じーん,0,2022-10-25T15:24:05Z,2022-10-25T15:24:05Z
音が良くなるって言われたときの佐田さんのニコーがこっちまでニコーってなりました!!押忍で〜す！8:00,"音が良くなるって言われたときの佐田さんのニコーがこっちまでニコーってなりました!!
押忍で〜す！8:00",エド,1,2022-10-26T01:06:04Z,2022-10-26T01:11:47Z
怪力だけどバランスが良くなった気がする～,怪力だけどバランスが良くなった気がする～,07ヨコワケ,1,2022-10-25T10:25:31Z,2022-10-25T10:25:31Z
総長お疲れ様ですマッハのサウンドとカスタム完成おめでとうございますこれからも頑張って下さい,"総長お疲れ様です
マッハのサウンドとカスタム完成おめでとうございます
これからも頑張って下さい",芳雄 森本,0,2022-10-25T10:58:00Z,2022-10-25T10:58:00Z
気に入ったカスタムすると、益々バイク愛が深まるからね。居ても立っても居られなくて直ぐに走りたい気持ちよくわかる。,気に入ったカスタムすると、益々バイク愛が深まるからね。居ても立っても居られなくて直ぐに走りたい気持ちよくわかる。,Hamarchy 8024,1,2022-10-25T09:59:45Z,2022-10-25T09:59:45Z
マッハも排気音も無茶苦茶カッコいいじゃん！,マッハも排気音も無茶苦茶カッコいいじゃん！,ノリマサ,5,2022-10-25T09:52:47Z,2022-10-25T09:52:47Z
