textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
こんなに大勢で踊ってるのに足の音揃ってるのスゴすぎる,こんなに大勢で踊ってるのに足の音揃ってるのスゴすぎる,飯吉陽来,492,2022-10-26T09:10:24Z,2022-10-26T09:10:24Z
このダンスの揃い方見るとほんとに団結力が凄いんだろうな,このダンスの揃い方見るとほんとに団結力が凄いんだろうな,たけひろ,164,2022-10-26T09:17:58Z,2022-10-26T09:17:58Z
普段ふわふわしてたり、ぶっりこなメンバーもキレキレに踊ってるのが見れるの最高。,普段ふわふわしてたり、ぶっりこなメンバーもキレキレに踊ってるのが見れるの最高。,消しカス入りの暗記パン,388,2022-10-26T09:08:24Z,2022-10-26T09:08:24Z
こんなにそろっていて、きれいなダンス見るとなぜだかわからないけど涙が出そうになる。ここにたどりつくまでのメンバーの努力やチームとしての団結感を感じて。,こんなにそろっていて、きれいなダンス見るとなぜだかわからないけど涙が出そうになる。ここにたどりつくまでのメンバーの努力やチームとしての団結感を感じて。,SS NE,92,2022-10-26T11:52:53Z,2022-10-26T11:52:53Z
ダンスや足音、顔を上げるタイミングまで揃ってて努力がめっちゃ伝わる！！さすが日向坂！🎀•  - •̥🎀,"ダンスや足音、顔を上げるタイミングまで揃ってて努力がめっちゃ伝わる！！
さすが日向坂！🎀•  - •̥🎀",#ぽちゃちゃ,54,2022-10-26T12:52:33Z,2022-10-26T12:52:33Z
なんで全員がこんなに綺麗でしなやかなダンスを踊れるのだろう、、ほんと凄いです、、、,なんで全員がこんなに綺麗でしなやかなダンスを踊れるのだろう、、ほんと凄いです、、、,影,128,2022-10-26T09:40:49Z,2022-10-26T09:40:49Z
配置は後ろの方だが、未来虹ちゃんのダンスは迫力があって凄い目立ってて…………好きだ！,"配置は後ろの方だが、
未来虹ちゃんのダンスは迫力があって
凄い目立ってて…………好きだ！",オードリー春日林,236,2022-10-26T11:14:02Z,2022-10-26T11:14:02Z
ひなリハ好きすぎて全曲やって欲しい。定点で同じ人をずっと追い続けられるの最高,"ひなリハ好きすぎて全曲やって欲しい。
定点で同じ人をずっと追い続けられるの最高",近松モンザえもん,113,2022-10-26T11:10:29Z,2022-10-26T11:10:29Z
丹生ちゃんのダンス好きすぎる。日に日に表情管理もすごくなってて感動です。,丹生ちゃんのダンス好きすぎる。日に日に表情管理もすごくなってて感動です。,mica lotlotlot,135,2022-10-26T10:58:43Z,2022-10-26T10:58:43Z
足音がリズムになっていて「力強さ」が強調されている感じが好き,足音がリズムになっていて「力強さ」が強調されている感じが好き,zugan0079,53,2022-10-26T10:52:12Z,2022-10-26T10:52:12Z
フォーメーション移動が圧巻すぎて感動しました😭力強いダンスと歌詞に勇気をもらいました！生配信も最高でした😆こんなにも素敵なグループを応援できて幸せです😊,"フォーメーション移動が圧巻すぎて感動しました😭力強いダンスと歌詞に勇気をもらいました！生配信も最高でした😆
こんなにも素敵なグループを応援できて幸せです😊",ナツキの北海道探検,134,2022-10-26T09:15:35Z,2022-10-26T09:43:54Z
ひなちゃんのステップがキレイでどこにいても惹きつけられます。全員ダンスの定点映像はいろんな人をじっくり観たくてリピートが止まらない。,"ひなちゃんのステップがキレイでどこにいても惹きつけられます。
全員ダンスの定点映像はいろんな人をじっくり観たくてリピートが止まらない。",tom,14,2022-10-26T13:51:00Z,2022-10-26T13:51:00Z
やっぱり揃ってるダンスと楽しそうに踊るのが日向坂の醍醐味って感じがするな本当にいい曲大ヒットしますように！！！,"やっぱり揃ってるダンスと楽しそうに踊るのが日向坂の醍醐味って感じがするな
本当にいい曲
大ヒットしますように！！！",T,211,2022-10-26T09:01:38Z,2022-10-26T09:01:38Z
未来虹ちゃんのダンスがめっちゃ良いですね。思い切り良く手足を動かしてパチっと止めて移動からのポジションニングもバチッと決めてるし自然と惹き付けられて見てしまうダンスだと思います👏👏👏,"未来虹ちゃんのダンスがめっちゃ良いですね。
思い切り良く手足を動かしてパチっと止めて移動からのポジションニングもバチッと決めてるし自然と惹き付けられて見てしまうダンスだと思います👏👏👏",北のたぬき,75,2022-10-26T11:04:55Z,2022-10-26T11:04:55Z
足音がめっちゃ揃ってて凄っ!!!って思いました☺︎日向坂のダンスの揃い具合はいつ見てもレベチでそういうとこ大好きです🥰,足音がめっちゃ揃ってて凄っ!!!って思いました☺︎日向坂のダンスの揃い具合はいつ見てもレベチでそういうとこ大好きです🥰,ぉ,57,2022-10-26T09:08:02Z,2022-10-26T09:08:02Z
