textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"Esta canción es un 10000/10, el ritmo, la coreografía, las voces, la letra, todo es asombroso y verla en vivo es aún más genial <3","Esta canción es un 10000/10, el ritmo, la coreografía, las voces, la letra, todo es asombroso y verla en vivo es aún más genial <3",Abril Lamas,27,2022-10-27T00:21:41Z,2022-10-27T00:21:41Z
"Mis señores tan talentosos y llenos de energía, quiero verlos siempre felices y listos para seguir cumpliendo muchos más sueños 💫🎲❤️‍🩹","Mis señores tan talentosos y llenos de energía, quiero verlos siempre felices y listos para seguir cumpliendo muchos más sueños 💫🎲❤️‍🩹",almuerzokunn,22,2022-10-26T14:36:58Z,2022-10-26T14:36:58Z
"Hermosos como siempre 🥰 algún día espero que vengan a Perú 🇵🇪 ❣️ los amo mucho, que pena que no pude verlos en vivo, pero es mi meta conocerlos 🤗 LOS QUIERO MUCHO Da-iCE , saludos desde Perú- Arequipa 🇵🇪🤍❤🇯🇵","Hermosos como siempre 🥰 algún día espero que vengan a Perú 🇵🇪 ❣️ los amo mucho, que pena que no pude verlos en vivo, pero es mi meta conocerlos 🤗 LOS QUIERO MUCHO Da-iCE , saludos desde Perú- Arequipa 🇵🇪🤍❤🇯🇵",Nico,25,2022-10-26T12:25:50Z,2022-10-26T12:25:50Z
Cuanto Talento y Pasion que Tienen!!! Admiro mucho lo que Hacen 👏👌 Presente desde Argentina 🇦🇷✌️,Cuanto Talento y Pasion que Tienen!!! Admiro mucho lo que Hacen 👏👌 Presente desde Argentina 🇦🇷✌️,Diego Canio,34,2022-10-26T12:57:10Z,2022-10-26T12:57:10Z
"superiores 🛐🛐🛐🛐 tremendo talento apenas los conoce hace 2 meses y me he enamorado ,todavía me falta más por conocerlos pero con esto me de muestra que son talentosos Sass 💜💜💜💜💜💜","superiores 🛐🛐🛐🛐 tremendo talento apenas los conoce hace 2 meses y me he enamorado ,todavía me falta más por conocerlos pero con esto me de muestra que son talentosos Sass 💜💜💜💜💜💜",Tatiana Gonzalez,23,2022-10-27T00:35:09Z,2022-10-27T00:35:09Z
ライブ後のパフォーマンスとは思えないぐらいのパフォーマンス！！！徹くんがラジオでも言ってましたが、ステージに出たら皆さんからパワーをもらえるから疲れを忘れると。これからも沢山ライフに足を運び、運べない時も自分に出来ることで応援していきたいと思います。,"ライブ後のパフォーマンスとは思えないぐらいのパフォーマンス！！！

徹くんがラジオでも言ってましたが、ステージに出たら皆さんからパワーをもらえるから疲れを忘れると。

これからも沢山ライフに足を運び、運べない時も自分に出来ることで応援していきたいと思います。",pip,95,2022-10-26T11:09:52Z,2022-10-26T11:09:52Z
スターマイン初披露ライブ映像5人のキラキラな表情歌もパフォーマンスも最高魅了して止まない、Da-iCEを全力応援,"スターマイン
初披露ライブ映像

5人のキラキラな表情
歌もパフォーマンスも最高

魅了して止まない、Da-iCEを全力応援",あまなつ,73,2022-10-26T11:23:31Z,2022-10-26T11:23:31Z
圧倒的すぎて震える。MVのクオリティはもちろん上回ってくるし、ライブでの熱気や映像の派手さまで加わって何度も見たくなる。あー好き,圧倒的すぎて震える。MVのクオリティはもちろん上回ってくるし、ライブでの熱気や映像の派手さまで加わって何度も見たくなる。あー好き,Mochi,57,2022-10-26T11:49:00Z,2022-10-26T11:49:00Z
やっぱり、Da-iCEはライブが1番だからこの映像を色んな人に観てもらって、もっとDa-iCEの良さを知ってほしい‼️,やっぱり、Da-iCEはライブが1番だからこの映像を色んな人に観てもらって、もっとDa-iCEの良さを知ってほしい‼️,ai ra,156,2022-10-25T12:51:29Z,2022-10-25T12:51:29Z
ボーカル２人はこんなバッキバキに踊っててなんで歌ぜんぜんブレないの（泣）？そしてダンスプラクティスの５人のダンスが全曲レベチなんですけど...まぢやばいな。Da-iCEさんは超真面目な努力家で天才の集まりなのね。こんなすごいアーティストが居てテレビであまり見かけないのはなぜなん？？？このダンスでこの歌唱はテレビでみてもドーンと衝撃うけたなー,"ボーカル２人はこんなバッキバキに踊っててなんで歌ぜんぜんブレないの（泣）？

そしてダンスプラクティスの５人のダンスが全曲レベチなんですけど...
まぢやばいな。
Da-iCEさんは超真面目な努力家で天才の集まりなのね。
こんなすごいアーティストが居て
テレビであまり見かけないのはなぜなん？？？
このダンスでこの歌唱はテレビでみてもドーンと衝撃うけたなー",かとち,53,2022-10-26T13:29:20Z,2022-10-26T13:29:20Z
あの日この場所で初披露を見られた事を幸せに思います 。2時半歌い踊った後のWアンコールでこんなに凄いパフォーマンスが出来るDa-iCEはやっぱり凄い人達🤩🤩,あの日この場所で初披露を見られた事を幸せに思います 。2時半歌い踊った後のWアンコールでこんなに凄いパフォーマンスが出来るDa-iCEはやっぱり凄い人達🤩🤩,チコノリコ,181,2022-10-26T11:10:25Z,2022-10-26T11:10:25Z
"this was absolute FIRE!!!!!!! 🔥🔥🔥so much energy, so much brilliance!!! Not to mention they performed a whole 2 hour concert right before this and still have so much energy?? Not missing a single beat or a single note?!! I'm blown away, Da-iCE is THE GOAT!!! 🐐🙌🏻🙌🏻","this was absolute FIRE!!!!!!! 🔥🔥🔥
so much energy, so much brilliance!!! 
Not to mention they performed a whole 2 hour concert right before this and still have so much energy?? Not missing a single beat or a single note?!! I'm blown away, Da-iCE is THE GOAT!!! 🐐🙌🏻🙌🏻",wenda-ice,23,2022-10-26T17:12:49Z,2022-10-26T17:12:49Z
生歌って分かってるのに生歌！？ってビックリするほど本当に凄い。初披露なのにパフォーマンスも完璧。凄すぎて何回も鳥肌たった。,"生歌って分かってるのに生歌！？ってビックリするほど本当に凄い。
初披露なのにパフォーマンスも完璧。凄すぎて何回も鳥肌たった。",Lemon Lemon,136,2022-10-26T11:08:06Z,2022-10-26T11:08:06Z
あのとき、あの場所で、初めてスターマインを聞いたとき、今までDa-iCEにはなかった曲調で、ガッデムの振り付けが印象的で、何より５人が楽しそうで、なんなんだこの曲はって、ライブの一番最後なのに、わくわくでいっぱいだったことを思い出しました。MVもダンプラも最高だけど、この映像がもう一度見られるとは思っていなかったので、とっても嬉しいです。多くの人の目にとまりますように!!!!!!,"あのとき、あの場所で、初めてスターマインを聞いたとき、今までDa-iCEにはなかった曲調で、ガッデムの振り付けが印象的で、何より５人が楽しそうで、なんなんだこの曲はって、ライブの一番最後なのに、わくわくでいっぱいだったことを思い出しました。
MVもダンプラも最高だけど、この映像がもう一度見られるとは思っていなかったので、とっても嬉しいです。
多くの人の目にとまりますように!!!!!!",ももも,40,2022-10-26T12:09:31Z,2022-10-26T12:09:31Z
何回視てもメンバーそれぞれが火花が散り花火のように燃えちぎるような全力パフォーマンス！！！そして音源と違うボーカルのアレンジがまたまたワタシの心を熱くさせます、、、は～。やっぱDa-iCEはライブなんよ。,"何回視てもメンバーそれぞれが火花が散り花火のように燃えちぎるような全力パフォーマンス！！！
そして音源と違うボーカルのアレンジがまたまたワタシの心を熱くさせます、、、
は～。やっぱDa-iCEはライブなんよ。",pip,25,2022-10-26T17:55:48Z,2022-10-26T17:55:48Z
初めてDai-CEを生で見たときは誰か知らずに見てたので歌うまってゆう感情しか無かったけど、改めてきちんと好きになってから行ったLIVEは心を掴まれました。歌声ももちろんやけどパフォーマンスも何かも全てが最強すぎて何回もやられました。正直ジャニーズに同時期にハマり聴かなかった時期もあったけど、このLIVE後からは聴かない日は無いです。まだスターマインは生で聴けてないので聴きに行ける日を楽しみにしています。これからも6面でいさせてください🥰,初めてDai-CEを生で見たときは誰か知らずに見てたので歌うまってゆう感情しか無かったけど、改めてきちんと好きになってから行ったLIVEは心を掴まれました。歌声ももちろんやけどパフォーマンスも何かも全てが最強すぎて何回もやられました。正直ジャニーズに同時期にハマり聴かなかった時期もあったけど、このLIVE後からは聴かない日は無いです。まだスターマインは生で聴けてないので聴きに行ける日を楽しみにしています。これからも6面でいさせてください🥰,のののののの,23,2022-10-26T12:19:15Z,2022-10-26T12:19:15Z
Da-iCEのライブパフォーマンスはやっぱり格別です😭✨初めてライブに行った時、生とは思えない抜群の歌唱力とダンススキルの高さに度肝を抜かれました、、こんなに素敵なグループを知らないなんてもったいない！！どうかもっともっと多くの方々にDa-iCEの音楽や魅力が届きますように...！,"Da-iCEのライブパフォーマンスはやっぱり格別です😭✨
初めてライブに行った時、生とは思えない抜群の歌唱力とダンススキルの高さに度肝を抜かれました、、
こんなに素敵なグループを知らないなんてもったいない！！
どうかもっともっと多くの方々にDa-iCEの音楽や魅力が届きますように...！",E - prince,176,2022-10-26T11:07:12Z,2022-10-26T11:07:12Z
Da-iCEはライブで1番輝くなぁ😭生歌でこのダンスのクオリティなのにも驚くし、なによりもメンバーみんなが楽しそうでこっちまで笑顔になっちゃう！スターマインをきっかけにDa-iCEに興味を持っていただけたら嬉しいです！！,"Da-iCEはライブで1番輝くなぁ😭
生歌でこのダンスのクオリティなのにも驚くし、なによりもメンバーみんなが楽しそうでこっちまで笑顔になっちゃう！
スターマインをきっかけにDa-iCEに興味を持っていただけたら嬉しいです！！",あやね,69,2022-10-26T11:19:14Z,2022-10-26T11:19:14Z
Da-iCEの何が凄いって初披露でこのクオリティなのに回数を重ねる毎にさらにパフォーマンスが安定していくことよね,Da-iCEの何が凄いって初披露でこのクオリティなのに回数を重ねる毎にさらにパフォーマンスが安定していくことよね,T T.,36,2022-10-26T12:31:03Z,2022-10-26T12:31:03Z
まだDa-iCEを好きになって1週間くらいなのですが、このライブパフォーマンスが見られて本当に嬉しいです！歌もダンスもビジュアルもとにかく凄くて、すぐに惚れてしまいました…これからもっとたくさんDa-iCEの魅力を知っていきたいです！,"まだDa-iCEを好きになって1週間くらいなのですが、このライブパフォーマンスが見られて本当に嬉しいです！
歌もダンスもビジュアルもとにかく凄くて、すぐに惚れてしまいました…
これからもっとたくさんDa-iCEの魅力を知っていきたいです！",星空,56,2022-10-26T13:01:39Z,2022-10-26T13:01:39Z
Da-iCEってほんと楽しそうにパフォーマンスする人達なんだよなぁ…。本当に最高のグループとしかいいようがありません！,Da-iCEってほんと楽しそうにパフォーマンスする人達なんだよなぁ…。本当に最高のグループとしかいいようがありません！,梅こぶ茶,24,2022-10-26T15:15:11Z,2022-10-26T15:15:11Z
ライブでの初披露から刺さって刺さって大好きで毎日聴いて毎日MV観てます😊この映像は熱いです！！あの日の感動感激が蘇ります！！ほんまにDa-iCEのみんなが大好きです！！まだまだいくでしょ！スターマイン！！,ライブでの初披露から刺さって刺さって大好きで毎日聴いて毎日MV観てます😊この映像は熱いです！！あの日の感動感激が蘇ります！！ほんまにDa-iCEのみんなが大好きです！！まだまだいくでしょ！スターマイン！！,,40,2022-10-26T11:40:05Z,2022-10-26T11:40:05Z
MVでは見れないメンバーの別角度とかたまらなくてただでさえ中毒性ある曲なのに永遠にリピ出来る(*´ω｀*)急展開のパフォーマー3人のターンめちゃくちゃ好きすぎる……！！！,MVでは見れないメンバーの別角度とかたまらなくてただでさえ中毒性ある曲なのに永遠にリピ出来る(*´ω｀*)急展開のパフォーマー3人のターンめちゃくちゃ好きすぎる……！！！,ぬ。,41,2022-10-26T12:06:10Z,2022-10-26T12:08:05Z
歌唱力とダンスのレベルの高すぎる上に、みんなほんと楽しそうにパフォーマンスするのが大好き。これがライブのアンコールの更にその後のパフォーマンスってのが信じられない🥹色々とバケモン(褒めてる),歌唱力とダンスのレベルの高すぎる上に、みんなほんと楽しそうにパフォーマンスするのが大好き。これがライブのアンコールの更にその後のパフォーマンスってのが信じられない🥹色々とバケモン(褒めてる),kiki,45,2022-10-26T11:32:44Z,2022-10-26T11:32:44Z
