textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
性別や人種等の違いを超えて本当に好感を持てる方です。私は貴方のお母様と同世代ですがいつも動画から滲み出る誠実さに尊敬の念を抱いています。決して他人を傷付けない配慮の出来る物言いからは知性の高さが伺える。応援してます。,性別や人種等の違いを超えて本当に好感を持てる方です。私は貴方のお母様と同世代ですがいつも動画から滲み出る誠実さに尊敬の念を抱いています。決して他人を傷付けない配慮の出来る物言いからは知性の高さが伺える。応援してます。,みえみぃ,1005,2022-10-24T12:15:18Z,2022-10-24T12:15:18Z
ギュテくんの生き方や考え方、とっても素敵だし尊敬してます。今回のお話を聞いて、ギュテくんの美しさって内面から溢れ出てるんだなぁって改めて思っちゃいました。他の方もいってるけど「ギュテくん」としてずーっと拝見してたので違和感まったくなかったですよ～！いつも動画で元気もらってるのでありがとう！って伝えたくてコメントしました。これからも変わらず応援してます！！！,"ギュテくんの生き方や考え方、とっても素敵だし尊敬してます。
今回のお話を聞いて、ギュテくんの美しさって内面から溢れ出てるんだなぁって改めて思っちゃいました。
他の方もいってるけど「ギュテくん」としてずーっと拝見してたので違和感まったくなかったですよ～！
いつも動画で元気もらってるのでありがとう！って伝えたくてコメントしました。
これからも変わらず応援してます！！！",ゆべし.,7,2022-10-26T16:20:41Z,2022-10-26T16:20:41Z
ギュテ君の胸の内を伝えてくれる動画を観ているといつも「同じ境遇の人の助けになりたい」って言っていて、考え方や姿勢がすごく素敵だなと思うし、尊敬します。同じ歳ですが、見た目はもちろん人としてすごく尊敬しています。真剣にみんなに発信してくれてありがとう！もっと大好きになりました🥰これからも応援しています❤,"ギュテ君の胸の内を伝えてくれる動画を観ているといつも「同じ境遇の人の助けになりたい」って言っていて、考え方や姿勢がすごく素敵だなと思うし、尊敬します。同じ歳ですが、見た目はもちろん人としてすごく尊敬しています。
真剣にみんなに発信してくれてありがとう！
もっと大好きになりました🥰
これからも応援しています❤",Sh!or!,15,2022-10-26T02:49:48Z,2022-10-26T02:49:48Z
ギュテくんのセクシャリティとか気にしたことなかったけど、この動画を見てギュテくんの人間性が本当に素晴らしいことがよりわかったと思う。今までメイクの動画を見てて、ただただ「良い人だなー」「優しくて笑顔が可愛い」くらいにしか思ってなかったけど、そこに「すんごいしっかりしてる」が加わりました。これからも応援してます！,ギュテくんのセクシャリティとか気にしたことなかったけど、この動画を見てギュテくんの人間性が本当に素晴らしいことがよりわかったと思う。今までメイクの動画を見てて、ただただ「良い人だなー」「優しくて笑顔が可愛い」くらいにしか思ってなかったけど、そこに「すんごいしっかりしてる」が加わりました。これからも応援してます！,turquoise blue,14,2022-10-26T07:11:54Z,2022-10-26T07:11:54Z
こう言った公表をされる方はたくさんいらっしゃるけど、初めて自分のためじゃなくて周りのためにって言う目的でされてるギュテくんは本当にすごいなぁと思った…。あと、脱毛症のことで話題性が上がってバズってではなくて自分のメイクっていう技術で知名度を上げてから脱毛症のお話とかこう言ったセンシティブなお話をしっかりと言葉を選びながら発信してくれるって、本当にこう言った発信を受け取れる私たちは恵まれてるなぁと思いました。ありがとう,"こう言った公表をされる方はたくさんいらっしゃるけど、初めて自分のためじゃなくて周りのためにって言う目的でされてるギュテくんは本当にすごいなぁと思った…。
あと、脱毛症のことで話題性が上がってバズってではなくて自分のメイクっていう技術で知名度を上げてから脱毛症のお話とかこう言ったセンシティブなお話をしっかりと言葉を選びながら発信してくれるって、本当にこう言った発信を受け取れる私たちは恵まれてるなぁと思いました。ありがとう",サン,36,2022-10-25T16:43:29Z,2022-10-25T16:43:29Z
ずっとギュテくん！ってカテゴリーで見てたから正直なんの違和感もなかったです！勇気を持って動画あげてくださってありがとうございます🌱,ずっとギュテくん！ってカテゴリーで見てたから正直なんの違和感もなかったです！勇気を持って動画あげてくださってありがとうございます🌱,むぎこ,631,2022-10-24T11:06:07Z,2022-10-24T11:06:07Z
色々考えさせられましたし、自分が今まで漠然と思っていたけど言語化出来ずにいて、でも人に解って欲しかった想いをギュテさんに言ってもらって、自分はこういう事を思ってたんだと理解することが出来ました。そしてギュテさんという発信力がある方に拡げて頂いてほんまに嬉しいです。自分が軸で、男寄りでも女寄りでもどちらでもあるグラデーションのような生き方をしたいと思っていたので凄く共感しました。また、私もどんな人がどんな相手をどんな風に愛しようが幸せならいいと思ってきたというか、どんな形でも違和感を持つことが無かったので凄く感覚が近いと感じました。普通は自分基準、という話を聴いて凄く心が軽くなった気がします。私も普通という言葉は嫌いです。Oddinaryです。この動画を見てる最中に感情がぶわぁーってなって何処からか涙が出てきた事が何度もあって、ああギュテさんに出逢えて良かったと心から思いました。勇気のある告白をありがとうございます。,色々考えさせられましたし、自分が今まで漠然と思っていたけど言語化出来ずにいて、でも人に解って欲しかった想いをギュテさんに言ってもらって、自分はこういう事を思ってたんだと理解することが出来ました。そしてギュテさんという発信力がある方に拡げて頂いてほんまに嬉しいです。自分が軸で、男寄りでも女寄りでもどちらでもあるグラデーションのような生き方をしたいと思っていたので凄く共感しました。また、私もどんな人がどんな相手をどんな風に愛しようが幸せならいいと思ってきたというか、どんな形でも違和感を持つことが無かったので凄く感覚が近いと感じました。普通は自分基準、という話を聴いて凄く心が軽くなった気がします。私も普通という言葉は嫌いです。Oddinaryです。この動画を見てる最中に感情がぶわぁーってなって何処からか涙が出てきた事が何度もあって、ああギュテさんに出逢えて良かったと心から思いました。勇気のある告白をありがとうございます。,輝卵,9,2022-10-25T12:18:56Z,2022-10-25T12:18:56Z
難しいことをちゃんと自分の言葉で伝えられるところ、すごく尊敬してます。,難しいことをちゃんと自分の言葉で伝えられるところ、すごく尊敬してます。,room 19,27,2022-10-24T15:37:07Z,2022-10-24T15:37:07Z
元々陰ながら観させてもらってましたが、この発表で芯がほんとにブレてないギュテ様を見て余計好きになりました🎶これからも応援し続けてますので頑張ってください、自分らしく𓈒𓂂𓏸,"元々陰ながら観させてもらってましたが、この発表で芯がほんとにブレてないギュテ様を見て余計好きになりました🎶
これからも応援し続けてますので頑張ってください、自分らしく𓈒𓂂𓏸",しおり,6,2022-10-25T05:42:17Z,2022-10-25T05:42:17Z
端的かつ丁寧な説明がうまい〜〜！ギュテはギュテです、っていうの素敵！別にみんな性別とかでいちいち名前つけて括らなくていいっていうのわかるなぁところでこのビジュアル最高！！！！！💥💞,"端的かつ丁寧な説明がうまい〜〜！ギュテはギュテです、っていうの素敵！
別にみんな性別とかでいちいち名前つけて括らなくていいっていうのわかるなぁ

ところでこのビジュアル最高！！！！！💥💞",浜名湖パルオ,12,2022-10-25T11:18:24Z,2022-10-25T11:18:24Z
