textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
初めは皆と一緒に考えながら観て、答え分かった後の2回目からは皆のやり取りとかリアクション観るのが楽しいな。3:29~、4:48~孫と毛の話始まった所、てつやの反応含めて面白すぎる😂何回も見返したくなる動画、好き。,"初めは皆と一緒に考えながら観て、
答え分かった後の2回目からは皆のやり取りとかリアクション観るのが楽しいな。
3:29~、4:48~孫と毛の話始まった所、てつやの反応含めて面白すぎる😂
何回も見返したくなる動画、好き。",e,98,2022-10-26T16:26:49Z,2022-10-26T17:13:14Z
意味わからんこと真剣に考えてるうちにだんだんふざけ出して話逸れていっちゃう流れおもろくて好き,意味わからんこと真剣に考えてるうちにだんだんふざけ出して話逸れていっちゃう流れおもろくて好き,あ。,1242,2022-10-26T12:22:46Z,2022-10-26T15:09:23Z
ちゃんと真相に近いところ(ほぼ正解)までいけたの、ちゃんと推理できてて凄い,ちゃんと真相に近いところ(ほぼ正解)までいけたの、ちゃんと推理できてて凄い,mani,1130,2022-10-26T12:25:13Z,2022-10-26T12:25:13Z
答え知ってる側の人ってどうしても答えに近くない質問とかにうんざりしたり、答えに近付きそうな質問にはいいねえとか言っちゃいがちだから、てつやのちょうどいい距離感すごい好き🎉,答え知ってる側の人ってどうしても答えに近くない質問とかにうんざりしたり、答えに近付きそうな質問にはいいねえとか言っちゃいがちだから、てつやのちょうどいい距離感すごい好き🎉,底無しプレジデンツ,1229,2022-10-26T12:24:21Z,2022-10-26T12:24:21Z
水平思考クイズが得意なてつやが出題側なのめっちゃ良いし、普通に良問で驚いた,水平思考クイズが得意なてつやが出題側なのめっちゃ良いし、普通に良問で驚いた,かな,2473,2022-10-26T12:26:55Z,2022-10-26T12:26:55Z
むしゆめりょうの毛だけで妄想膨らんで全然関係ないところとりょうの「毛に絡まったのは俺らだったな」が地味に好きww,"むしゆめりょうの毛だけで妄想膨らんで全然関係ないところと
りょうの「毛に絡まったのは俺らだったな」が地味に好きww",ちーちゃん,2048,2022-10-26T12:59:11Z,2022-10-26T12:59:11Z
3人の推理で爆笑してるてつやまじでつられる,3人の推理で爆笑してるてつやまじでつられる,月1で口唇ヘルペス㌠,834,2022-10-26T12:54:40Z,2022-10-26T12:54:40Z
初期の各々の妄想もおもろかったし空気感もめっちゃ好きだった！そしてこの解答を考えられて良問としてだせるてつやにマジ天才感じてリスペクトだし答えが裏切りの連続でめっちゃアガった🤟リピしたい動画,"初期の各々の妄想もおもろかったし
空気感もめっちゃ好きだった！
そしてこの解答を考えられて良問としてだせるてつやにマジ天才感じてリスペクトだし
答えが裏切りの連続でめっちゃアガった🤟
リピしたい動画",装苑,34,2022-10-26T16:31:36Z,2022-10-26T16:31:36Z
ちゃんとした問題で見る側としても満足でした改めててつやの頭の良さに実感した,"ちゃんとした問題で見る側としても満足でした
改めててつやの頭の良さに実感した",ZHONG KAI HSIEH,39,2022-10-26T16:26:25Z,2022-10-26T16:26:25Z
9:03の虫さんの『「アンジェリーナジョリジョリ剃毛ちゃん」は「同僚の反対を押し切り俊光」と結婚した』の発音おもろすぎて何回も繰り返しちゃう,9:03の虫さんの『「アンジェリーナジョリジョリ剃毛ちゃん」は「同僚の反対を押し切り俊光」と結婚した』の発音おもろすぎて何回も繰り返しちゃう,1127 aojin,127,2022-10-26T16:40:45Z,2022-10-26T16:40:45Z
