textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
27:12 ジャンプ、死ぬかと思いましたwww,27:12 ジャンプ、死ぬかと思いましたwww,HikakinTV,1949,2022-10-26T12:03:02Z,2022-10-26T12:03:02Z
ラーメン食べに行くだけじゃなくて、地方の有名スポットとかに行ってくれたりしてるのが、本当その地方のいいところを見せようとしてくれてて好き。,ラーメン食べに行くだけじゃなくて、地方の有名スポットとかに行ってくれたりしてるのが、本当その地方のいいところを見せようとしてくれてて好き。,YouTubeの裏方,922,2022-10-26T11:28:06Z,2022-10-26T11:28:06Z
大変なのかもしれないけど、47個分見れる日が待ち遠しいなぁ,大変なのかもしれないけど、47個分見れる日が待ち遠しいなぁ,mizuno_ei,58,2022-10-27T07:47:53Z,2022-10-27T07:47:53Z
ラーメン屋以外でもいろんな場所を巡るのが見てて楽しい,ラーメン屋以外でもいろんな場所を巡るのが見てて楽しい,吉村晃,132,2022-10-26T22:33:29Z,2022-10-26T22:33:29Z
地元だから嬉しい！次北海道来た時色んなとこゆっくり回って見てほしい(),地元だから嬉しい！次北海道来た時色んなとこゆっくり回って見てほしい(),はにわちゃん,18,2022-10-27T01:55:57Z,2022-10-27T01:55:57Z
ラーメンだけかと思ったら色々と楽しまれたようで🍜⛷️旅したくなりました😊,"ラーメンだけかと思ったら色々と楽しまれたようで🍜⛷️
旅したくなりました😊",はっち,36,2022-10-26T13:54:21Z,2022-10-26T13:54:21Z
日帰りで北海道やばいけどラーメン食べたい(笑),日帰りで北海道やばいけどラーメン食べたい(笑),マンクラフト,17,2022-10-26T16:40:45Z,2022-10-26T16:40:45Z
海とかに刺さってもおかしくないのに、綺麗に北海道に刺さってて凄い😂,海とかに刺さってもおかしくないのに、綺麗に北海道に刺さってて凄い😂,あ,9,2022-10-27T08:24:03Z,2022-10-27T08:24:03Z
普通にジャンプするのかと思ったら１回転する所で声出して笑った😂,"普通にジャンプするのかと思ったら
１回転する所で声出して笑った😂",mmmみぃ,21,2022-10-26T22:27:01Z,2022-10-26T22:27:01Z
是非47都道府県制覇するまで続けて欲しいです😂,是非47都道府県制覇するまで続けて欲しいです😂,びんちゃん88,10,2022-10-26T15:41:57Z,2022-10-26T15:41:57Z
