textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
This ending truly goes so hard. All this themes about the characters being portrayed in this way is just so perfect. Truly amazing work.,This ending truly goes so hard. All this themes about the characters being portrayed in this way is just so perfect. Truly amazing work.,kunal,7565,2022-10-25T16:52:02Z,2022-10-25T16:52:02Z
"No one could have ever imagined an anime with 12 endings for 12 episodes... It just sounds insane, all the effort that they must have done... Just straight up bananasEDIT: Thank you all for sharing other anime with a similar situation. I do feel that Chainsaw man still stands above them all because of the quality of the ending videos (they are really different from one another, take ending 3 for example), 12 different artists (and there are some big names among them). So those factors combined, makes it a really special case. But I stand corrected, it's not the first anime with a different ending for almost every episode.","No one could have ever imagined an anime with 12 endings for 12 episodes... It just sounds insane, all the effort that they must have done... Just straight up bananas


EDIT: Thank you all for sharing other anime with a similar situation. I do feel that Chainsaw man still stands above them all because of the quality of the ending videos (they are really different from one another, take ending 3 for example), 12 different artists (and there are some big names among them). So those factors combined, makes it a really special case. But I stand corrected, it's not the first anime with a different ending for almost every episode.",obiarne,851,2022-10-26T18:01:21Z,2022-10-27T08:19:09Z
"The chaos, dark feeling, mood-switching up & down in this song is really perfectly match with the show, best ED so far imo.","The chaos, dark feeling, mood-switching up & down in this song is really perfectly match with the show, best ED so far imo.",Handi Benkz,671,2022-10-26T15:20:59Z,2022-10-26T15:20:59Z
The amount of effort put into this show is genuinely insane,The amount of effort put into this show is genuinely insane,AidsGamingREAL,275,2022-10-26T15:58:09Z,2022-10-26T15:58:09Z
"There's so much love on this anime. This ending is such a banger that it has the potential to be an opening theme. The crazy visuals and foreshadowing truly fit the madness of Chainsaw Man. We got some of the best opening and endings for Chainsaw Man, thank you Mappa.","There's so much love on this anime. This ending is such a banger that it has the potential to be an opening theme. The crazy visuals and foreshadowing truly fit the madness of Chainsaw Man. We got some of the best opening and endings for Chainsaw Man, thank you Mappa.",Aaditya Srivastava,193,2022-10-26T17:41:10Z,2022-10-26T17:41:10Z
Most anime are known for their openings but Chainsaw Man will be remembered for its banger endings as well. Thank you Mappa.,Most anime are known for their openings but Chainsaw Man will be remembered for its banger endings as well. Thank you Mappa.,Anonymous,8926,2022-10-25T17:43:05Z,2022-10-25T17:43:05Z
Este ending en verdad trasmite lo que es Chainsaw Man estoy feliz,Este ending en verdad trasmite lo que es Chainsaw Man estoy feliz,Uli,116,2022-10-26T19:45:02Z,2022-10-26T19:52:30Z
"when you think the song has reached its peak, *it reaches another one*","when you think the song has reached its peak, *it reaches another one*",Liver Enjoyer,868,2022-10-26T18:07:25Z,2022-10-26T18:07:25Z
The visuals for this ending are insane. The song is also insane,The visuals for this ending are insane. The song is also insane,PommeDeter,57,2022-10-26T19:45:46Z,2022-10-26T19:45:46Z
"When I watched this and heard the “Kon” part, I literally got goosebumps. EVERYTHING ABOUT THIS IS AMAZING","When I watched this and heard the “Kon” part, I literally got goosebumps. EVERYTHING ABOUT THIS IS AMAZING",Abby Justine,356,2022-10-26T15:44:41Z,2022-10-26T15:44:41Z
Perfeito mil vezes perfeito,Perfeito mil vezes perfeito,SrGotasDeChuva,51,2022-10-26T03:56:26Z,2022-10-26T03:56:26Z
simplemente epico!!!!,simplemente epico!!!!,Rock Daniel,0,2022-10-27T06:51:42Z,2022-10-27T06:51:42Z
Tremendo endingVisualmente es una maravillaRepresenta muy bien a Chainsaw Man,"Tremendo ending
Visualmente es una maravilla
Representa muy bien a Chainsaw Man",JM SR,25,2022-10-27T00:28:51Z,2022-10-27T00:28:51Z
"I can't stop pausing each sequence to analyze everything there is to it, so many details in this ED that all fit perfectly with Maximum the Hormone, like the band and manga were made for each other, jesus... thank you Mappa like always.","I can't stop pausing each sequence to analyze everything there is to it, so many details in this ED that all fit perfectly with Maximum the Hormone, like the band and manga were made for each other, jesus... thank you Mappa like always.",MrPigeon,20,2022-10-27T00:13:02Z,2022-10-27T00:13:02Z
that line at 00:28 is such a masterpieceits like the singer busted his vocal cordsand the transition at 00:51 too,"that line at 00:28 is such a masterpiece
its like the singer busted his vocal cords
and the transition at 00:51 too",Shashwat Pandey,124,2022-10-26T17:34:17Z,2022-10-26T17:34:17Z
"Simplemente arte, la gente de mappa no se anda con rodeos, la manera en que presentan a makima como una deidad para denji simplemente eriza la piel","Simplemente arte, la gente de mappa no se anda con rodeos, la manera en que presentan a makima como una deidad para denji simplemente eriza la piel",Marlon Olvera,731,2022-10-26T02:35:45Z,2022-10-26T02:35:45Z
"When everything gets too crazy, the only time Denji can find comfort, is when he submits to Makima. A very fitting ending for what is to come.","When everything gets too crazy, the only time Denji can find comfort, is when he submits to Makima. A very fitting ending for what is to come.",Joe Villarreal,9,2022-10-27T05:04:35Z,2022-10-27T05:04:35Z
これだけぐしゃぐしゃに散らかしておいて最後の最後に「身体にほらエンジン」「刃渡り2億センチ」で最高に心地いい韻踏ませて締めるの気持ち良すぎる,これだけぐしゃぐしゃに散らかしておいて最後の最後に「身体にほらエンジン」「刃渡り2億センチ」で最高に心地いい韻踏ませて締めるの気持ち良すぎる,You,301,2022-10-26T15:30:59Z,2022-10-26T15:30:59Z
00:18 chills every time this part starts up; this ending has opening potential.,00:18 chills every time this part starts up; this ending has opening potential.,riqcheese,39,2022-10-27T00:56:12Z,2022-10-27T00:56:42Z
"BEST ENDING, perfectly captures the vibes I expected from the anime. Let's hope the actual episodes will match.","BEST ENDING, perfectly captures the vibes I expected from the anime. Let's hope the actual episodes will match.",KaregoAt,18,2022-10-26T20:09:18Z,2022-10-26T20:09:18Z
"This ending is complete madness, Maximum the Hormone knows how to make heavy metal songs, Makima as the virgin Mary completely represents the vision that Denji has.","This ending is complete madness, Maximum the Hormone knows how to make heavy metal songs, Makima as the virgin Mary completely represents the vision that Denji has.",Richie Senpai,7963,2022-10-25T15:31:05Z,2022-10-25T15:31:05Z
My favourite part is the one where the singer really revs up and screams hard while Denji also screams in his transformed state. That part goes so freaking hard.,My favourite part is the one where the singer really revs up and screams hard while Denji also screams in his transformed state. That part goes so freaking hard.,Wolf Brigade,14,2022-10-26T22:50:18Z,2022-10-26T22:50:18Z
El mejor ending que he visto de animes actuales,El mejor ending que he visto de animes actuales,Miston,10,2022-10-27T01:19:49Z,2022-10-27T01:19:49Z
"As cool as it is that we're getting 12 different endings, part of me wishes this was the main one so we could hear it every episode. It's that good.","As cool as it is that we're getting 12 different endings, part of me wishes this was the main one so we could hear it every episode. It's that good.",Mr. Edit,7,2022-10-27T05:47:46Z,2022-10-27T05:47:46Z
É uma pena que a ending acaba,É uma pena que a ending acaba,Zak Vieira,13,2022-10-26T16:39:30Z,2022-10-26T16:39:30Z
I wouldn’t have mind if this was the theme for the entire season. Its so good and embodies everything this show stands for. So good man,I wouldn’t have mind if this was the theme for the entire season. Its so good and embodies everything this show stands for. So good man,Mystical,1485,2022-10-26T04:40:12Z,2022-10-26T04:42:46Z
