textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
インスタでもお祝いの様子は見てたけど、里依紗ちゃんが良い人だから周りの人たちも良い人が集まってみんなでお祝いしててとっっっても幸せ空間すぎて見てるこっちも幸せもらえて超ハッピーでした🌈🌷,インスタでもお祝いの様子は見てたけど、里依紗ちゃんが良い人だから周りの人たちも良い人が集まってみんなでお祝いしててとっっっても幸せ空間すぎて見てるこっちも幸せもらえて超ハッピーでした🌈🌷,m,93,2022-10-26T11:24:52Z,2022-10-26T11:24:52Z
トカゲくんが優しすぎて可愛すぎて愛に溢れすぎててもらい泣きしちゃった🥹改めて、里依紗ちゃんお誕生日おめでとうございます!,トカゲくんが優しすぎて可愛すぎて愛に溢れすぎててもらい泣きしちゃった🥹改めて、里依紗ちゃんお誕生日おめでとうございます!,りんね,176,2022-10-26T11:04:56Z,2022-10-26T11:04:56Z
「全部だいすき」「ずっと一緒にいてね」「ママのこでよかった」で涙がボロボロでちゃいましたほんといい子‼︎,「全部だいすき」「ずっと一緒にいてね」「ママのこでよかった」で涙がボロボロでちゃいましたほんといい子‼︎,pee 西口,504,2022-10-26T12:17:31Z,2022-10-26T12:17:31Z
自分の元に生まれてくれてありがとうなのに、子どもさんにも母親で良かったって言われるって本当に最高ですね…親になったこともないのにもらい泣きさせてもらいました😭里依紗ちゃんお誕生日おめでとうございます！！,"自分の元に生まれてくれてありがとうなのに、子どもさんにも母親で良かったって言われるって本当に最高ですね…親になったこともないのにもらい泣きさせてもらいました😭
里依紗ちゃんお誕生日おめでとうございます！！",みはるん,176,2022-10-26T11:41:48Z,2022-10-26T11:41:48Z
授業参観で里依紗ちゃんのサイン貰えるなんてなんて幸せな！！,授業参観で里依紗ちゃんのサイン貰えるなんてなんて幸せな！！,マキ,295,2022-10-26T11:11:52Z,2022-10-26T11:11:52Z
トカゲくんこの歳でママの子どもで良かったよって言えるの素晴らしい、、私なんか20過ぎてから親のありがたみが分かりました🥲本当にとっっても素敵な家族😭🤍🤍,"トカゲくんこの歳でママの子どもで良かったよって言えるの素晴らしい、、私なんか20過ぎてから親のありがたみが分かりました🥲
本当にとっっても素敵な家族😭🤍🤍",空,35,2022-10-26T11:42:17Z,2022-10-26T11:42:17Z
芸能人がわちゃわちゃ集まってるんじゃなくて、本当に大事な親交が深い人だけのbirthdayっていうのが、凄く良いなって思いました☺️💓💓,芸能人がわちゃわちゃ集まってるんじゃなくて、本当に大事な親交が深い人だけのbirthdayっていうのが、凄く良いなって思いました☺️💓💓,#yui,72,2022-10-26T15:36:23Z,2022-10-26T15:36:23Z
子供ができるとどうしても子供中心の人生になっちゃうけど、里依紗ちゃんは自分自身の人生も楽しんでる感じがすごく伝わる❤憧れます！,子供ができるとどうしても子供中心の人生になっちゃうけど、里依紗ちゃんは自分自身の人生も楽しんでる感じがすごく伝わる❤憧れます！,Yomogine S.,101,2022-10-26T11:31:42Z,2022-10-26T11:31:42Z
「ママの子供で良かった」これ以上ないトカゲくんからの幸せな言葉ですね💛お誕生日おめでとうございます！！,"「ママの子供で良かった」これ以上ないトカゲくんからの幸せな言葉ですね💛
お誕生日おめでとうございます！！",ルーマス・ソレム,150,2022-10-26T11:23:41Z,2022-10-26T11:23:41Z
泣いたってコメ欄が沢山だったから泣かないぞと心してたのに、トカゲくんにもサプライズの時点で泣いた。笑からの手紙でも泣いてたら、次のギャル2人でなんか本当凄く素敵ってなった🦩🌈類は友を呼ぶんだなって色んな場面で思った🥲💕改めておめでとうございます🎉,"泣いたってコメ欄が沢山だったから泣かないぞと心してたのに、トカゲくんにもサプライズの時点で泣いた。笑
からの手紙でも泣いてたら、次のギャル2人でなんか本当凄く素敵ってなった🦩🌈
類は友を呼ぶんだなって色んな場面で思った🥲💕
改めておめでとうございます🎉",にこ,55,2022-10-26T12:18:19Z,2022-10-26T12:18:19Z
お誕生日おめでとうございます❤みんなの優しさに感動です！,"お誕生日おめでとうございます❤
みんなの優しさに感動です！",みさ,32,2022-10-26T11:04:50Z,2022-10-26T11:04:50Z
お誕生日おめでとうございます🎉素敵な家族❤泣いた〜😂,お誕生日おめでとうございます🎉素敵な家族❤泣いた〜😂,カナヤマミヤビ,25,2022-10-26T11:15:48Z,2022-10-26T11:15:48Z
寝る時間少なくてもちゃんとママ業やってくれてるのはトカゲ君も密かに分かってくれてると思いますよ❤(コドモ目線😊),寝る時間少なくてもちゃんとママ業やってくれてるのはトカゲ君も密かに分かってくれてると思いますよ❤(コドモ目線😊),ultradevoxtc,31,2022-10-26T11:38:32Z,2022-10-26T11:38:32Z
こういう動画見るとマジで心が温かくなる❤本当にありがとうおめでとう仲里依紗❤,"こういう動画見るとマジで心が温かくなる❤
本当にありがとうおめでとう仲里依紗❤",R.K,66,2022-10-26T11:21:39Z,2022-10-26T11:21:39Z
ママの子どもで良かったって素直に言えるのも素敵だし、トカゲくんのママで良かったって言えるのも素敵☺️貰い泣きしてほっこりしました~,ママの子どもで良かったって素直に言えるのも素敵だし、トカゲくんのママで良かったって言えるのも素敵☺️貰い泣きしてほっこりしました~,ゆき,61,2022-10-26T11:56:53Z,2022-10-26T11:56:53Z
トカゲくん本当に優しい❤改めてお誕生日おめでとうございます🎉🎂🎊,トカゲくん本当に優しい❤改めてお誕生日おめでとうございます🎉🎂🎊,ぽっぽちゃん,22,2022-10-26T11:18:16Z,2022-10-26T11:18:16Z
とかげくんの「ママの子でよかった」っていう言葉で涙腺崩壊しました😭♥️本当にいい子ですね！改めて里依紗ちゃん、お誕生日おめでとうございました🤟🎉♥！,"とかげくんの「ママの子でよかった」っていう言葉で涙腺崩壊しました😭♥️
本当にいい子ですね！

改めて里依紗ちゃん、お誕生日おめでとうございました🤟🎉♥！",しっちゃん,11,2022-10-26T16:08:49Z,2022-10-26T16:08:49Z
トカゲ君、お母さんが人気者で本当に嬉しかったと思う✨お誕生日おめでとう🎂,トカゲ君、お母さんが人気者で本当に嬉しかったと思う✨お誕生日おめでとう🎂,つき,11,2022-10-26T11:54:20Z,2022-10-26T11:54:20Z
この世の幸せがこの動画で感じることができて爆泣きしてしまった（ ;  ; ）里依紗ちゃん、改めてお誕生日おめでとうございます💖💖,この世の幸せがこの動画で感じることができて爆泣きしてしまった（ ;  ; ）里依紗ちゃん、改めてお誕生日おめでとうございます💖💖,、,8,2022-10-26T12:22:59Z,2022-10-26T12:22:59Z
