textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"ARMY, ДАВАЙТЕ ПОКАЖЕМ, НАСКОЛЬКО СИЛЬНО МЫ ЛЮБИМ НАШЕГО JINA!","ARMY, ДАВАЙТЕ ПОКАЖЕМ, НАСКОЛЬКО СИЛЬНО МЫ ЛЮБИМ НАШЕГО JINA!",Максим Мельников,5315,2022-10-26T15:32:14Z,2022-10-26T16:30:11Z
"Lo unico que pido es que todo el fandom apoye este single!!! será el ultimo trabajo de sj por un tiempo, así que demos lo mejor de sí y demostremos cuánto lo Amamos y Apoyamos. Necesitamos la ayuda de todos!","Lo unico que pido es que todo el fandom apoye este single!!! será el ultimo trabajo de sj por un tiempo, así que demos lo mejor de sí y demostremos cuánto lo Amamos y Apoyamos. Necesitamos la ayuda de todos!",Fer Cevallos,56,2022-10-27T08:00:43Z,2022-10-27T08:00:59Z
"Джин никогда не разочаровывает! Арми, давайте покажем ему свою любовь! Давайте покажем, что он заслужил все что имеет сейчас! Файтин!","Джин никогда не разочаровывает! Арми, давайте покажем ему свою любовь! Давайте покажем, что он заслужил все что имеет сейчас! Файтин!",Nurjamal Jeenalieva,40,2022-10-27T09:57:06Z,2022-10-27T09:57:06Z
Hay que darle todo el amor posible a Seokjin debutando como solista!!! ^-^ESTOY EMOCIONADA AAAAAH <3,"Hay que darle todo el amor posible a Seokjin debutando como solista!!! ^-^

ESTOY EMOCIONADA AAAAAH <3",kiki,11,2022-10-27T09:17:36Z,2022-10-27T09:17:36Z
APOYEMOS MUCHO A JINNIE!,APOYEMOS MUCHO A JINNIE!,💞Renee Т@p т0 Ch̴a̴t̴ ̴ ME 💞,7,2022-10-27T08:36:42Z,2022-10-27T08:36:42Z
Джин просто самый прекрасный человек! Он заслуживает всеобщей любви!!!,Джин просто самый прекрасный человек! Он заслуживает всеобщей любви!!!,Анастасия Медведева,3100,2022-10-26T15:01:39Z,2022-10-26T15:01:39Z
"Estoo será una obra de arte,te amamos mucho Jin<3","Estoo será una obra de arte,te amamos mucho Jin<3",Army Bts,5,2022-10-27T09:11:14Z,2022-10-27T09:11:14Z
can’t wait to hear jin’s heavenly voice this is going to be iconic,can’t wait to hear jin’s heavenly voice this is going to be iconic,Tania Rachel,7,2022-10-27T08:16:51Z,2022-10-27T08:16:51Z
Yo ya estoy lista para darle TODO mi apoyo y amor a esta bella canción que está por regalarnos mi maravilloso Seokjin (♤◇♤) love you My Beautiful MOON,Yo ya estoy lista para darle TODO mi apoyo y amor a esta bella canción que está por regalarnos mi maravilloso Seokjin (♤◇♤) love you My Beautiful MOON,Alondra Miss Moon,3,2022-10-27T09:56:59Z,2022-10-27T09:56:59Z
"WE CANNOT WAIT FOR YOUR MASTERPIECE, SEOKJIN.","WE CANNOT WAIT FOR YOUR MASTERPIECE, SEOKJIN.",RUN BULLETPROOF,5,2022-10-27T10:06:28Z,2022-10-27T10:06:28Z
Let's make Jin's solo memorable by giving him all the love that we have for him. His vocals are going to serve yet again. So excited for his solo💜,Let's make Jin's solo memorable by giving him all the love that we have for him. His vocals are going to serve yet again. So excited for his solo💜,Mia Khalifa,332,2022-10-26T16:03:13Z,2022-10-26T16:03:13Z
"Он с каждым годом выглядит моложе, как это работает? Наш бесценный Джин, мы любим тебя!","Он с каждым годом выглядит моложе, как это работает? 
Наш бесценный Джин, мы любим тебя!",zero o'clock,1,2022-10-27T10:17:55Z,2022-10-27T10:17:55Z
"Ты на столько прекрасен, что я не могу описать словами 💜. Люблю тебя наш все мирный красавчик 😘💜","Ты на столько прекрасен, что я не могу описать словами 💜. Люблю тебя наш все мирный красавчик 😘💜",Регина,2,2022-10-27T08:41:18Z,2022-10-27T08:41:18Z
"JIN, esto es genial!!!!! Te amamos mucho, nuestra amada luna <3","JIN, esto es genial!!!!! Te amamos mucho, nuestra amada luna <3",Sol :] ,1,2022-10-27T10:55:15Z,2022-10-27T10:55:15Z
