textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
▼オンライン視聴チケット/会場チケットの購入はこちらからhttps://breakingdown.jp▼スポンサー応募・詳細はこちらhttps://backstage.inc/breakingdown/sp,"▼オンライン視聴チケット/会場チケットの購入はこちらから
https://breakingdown.jp

▼スポンサー応募・詳細はこちら
https://backstage.inc/breakingdown/sp",KAI Channel / 朝倉海,8,2022-10-26T19:06:00Z,2022-10-26T19:06:00Z
本戦までの間にオーディションの裏側公開して、視聴者に飽きさせないようにしつつ本戦をより楽しみにさせてくれて助かる,本戦までの間にオーディションの裏側公開して、視聴者に飽きさせないようにしつつ本戦をより楽しみにさせてくれて助かる,凡人,231,2022-10-25T13:52:27Z,2022-10-25T13:52:27Z
ブレイキングダウンも回を重ねるごとにガチ勢が増えて来て純粋に試合が楽しみなのとオーディションを盛り上げる煽りや乱闘、そしてエンタメ枠も備えててほんとによくできたエンターテイメントだと思う。,"ブレイキングダウンも回を重ねるごとにガチ勢が増えて来て純粋に試合が楽しみなのと
オーディションを盛り上げる煽りや乱闘、そしてエンタメ枠も備えててほんとによくできた
エンターテイメントだと思う。",上杉彰,309,2022-10-25T10:55:10Z,2022-10-25T10:55:10Z
海くんの弟感のある愛される感じのキャラだからマジでインタビュー向いてて選手も楽しそうに話しててありがたい,海くんの弟感のある愛される感じのキャラだからマジでインタビュー向いてて選手も楽しそうに話しててありがたい,四暗刻単騎,48,2022-10-25T16:00:00Z,2022-10-25T16:00:00Z
海くん、空くんの事話してる時凄く真剣で誇らしげで「ブレイキングダウンに出てる選手の中で一番成長してます」って言っててめっちゃ泣きそうになった。こんな愛情かけて貰えて空くん良かったね！,海くん、空くんの事話してる時凄く真剣で誇らしげで「ブレイキングダウンに出てる選手の中で一番成長してます」って言っててめっちゃ泣きそうになった。こんな愛情かけて貰えて空くん良かったね！,やまなし,883,2022-10-25T11:17:10Z,2022-10-25T11:17:10Z
海さんのインタビューだと角も立たずブレイキングダウンの激しい側面だけじゃなく、皆の冷静な意見が聞けるから良いですね,"海さんのインタビューだと角も立たず
ブレイキングダウンの激しい側面だけじゃなく、皆の冷静な意見が聞けるから良いですね",くるぶし丸,197,2022-10-25T10:40:21Z,2022-10-25T10:40:21Z
なんか今までより本格的な試合が多くてより楽しみになってきた,"なんか今までより本格的な試合が多くて
より楽しみになってきた",the World,390,2022-10-25T10:31:42Z,2022-10-25T10:31:42Z
海さんマジで優しさがでてるわ　モハン次のチャンスで頑張ってほしい！,海さんマジで優しさがでてるわ　モハン次のチャンスで頑張ってほしい！,えいちゃん,153,2022-10-25T10:45:10Z,2022-10-25T10:45:10Z
海くんと弟子の空くん2:13 空って嬉しそうに呼ぶ海くん空くん、海くんの隣に来て体格が変わらない程までに良くなってる事に日々の努力がわかるね 9:49 樋口くんと海くんのやり取り、海くんの思いが見えたね11:03「めちゃ強い人で決まって良かったです」よろしくお願いします と礼儀正しくリスペクトしてる空くん、応援したくなるね,"海くんと弟子の空くん
2:13 空って嬉しそうに呼ぶ海くん
空くん、海くんの隣に来て体格が変わらない程までに良くなってる事に日々の努力がわかるね 
9:49 樋口くんと海くんのやり取り、海くんの思いが見えたね
11:03「めちゃ強い人で決まって良かったです」よろしくお願いします と礼儀正しくリスペクトしてる空くん、応援したくなるね",どんぐり,302,2022-10-25T14:09:45Z,2022-10-25T14:09:45Z
かい君がみんなにインタビューや声かけするの見てると安心感ある！,かい君がみんなにインタビューや声かけするの見てると安心感ある！,aom,350,2022-10-25T10:35:06Z,2022-10-25T10:35:06Z
今回から茶番だけでなく実力勝負もかなり楽しみな大会になってきました！,今回から茶番だけでなく実力勝負もかなり楽しみな大会になってきました！,風船.,48,2022-10-25T13:00:05Z,2022-10-25T13:00:05Z
樋口さんって相手のことちゃんと認めるところはしっかり認めてリスペクトしててすごく好感持てます。スポーツマンですね。試合楽しみです。,樋口さんって相手のことちゃんと認めるところはしっかり認めてリスペクトしててすごく好感持てます。スポーツマンですね。試合楽しみです。,ドライヒット小林,26,2022-10-25T16:03:17Z,2022-10-25T16:03:17Z
ほんと海君はホッとする。強くて優しい、この路線をずっと貫いてほしい。,"ほんと海君はホッとする。
強くて優しい、
この路線をずっと貫いてほしい。",Ats K,716,2022-10-25T10:29:07Z,2022-10-25T10:29:07Z
良い人感が滲み出すぎてて安心するよ海くん,良い人感が滲み出すぎてて安心するよ海くん,ロドリゲスW,438,2022-10-25T11:21:20Z,2022-10-25T11:21:20Z
ブレイキングダウンの殺伐な中で海くんがインタビューするだけで癒される🌸,ブレイキングダウンの殺伐な中で海くんがインタビューするだけで癒される🌸,えんしょうchannel,53,2022-10-25T12:17:17Z,2022-10-25T12:17:17Z
8:10で啓之助さんとエイリアンニキが和やかに話してるのめっちゃ好きだし、樋口さんも勾配ニキリスペクトしつつって感じで大好き！,8:10で啓之助さんとエイリアンニキが和やかに話してるのめっちゃ好きだし、樋口さんも勾配ニキリスペクトしつつって感じで大好き！,ひんやりくん,83,2022-10-25T11:02:37Z,2022-10-25T11:02:37Z
萩原選手がアウトサイダーに参戦した時のあの強さとカリスマ性に惚れ惚れしましたのを覚えてます。立って良し、寝て良しの萩原選手をまた応援したいと思います！,"萩原選手がアウトサイダーに参戦した時の
あの強さとカリスマ性に惚れ惚れしましたのを覚えてます。立って良し、寝て良しの萩原選手をまた応援したいと思います！",人生×僕＝,31,2022-10-25T11:53:02Z,2022-10-25T11:53:02Z
信原くんの事をきちんと褒めるし、話し方丁寧だし、樋口さんはオーディションで頑張ってヒールしてたんですね。試合楽しみにしてます！,"信原くんの事をきちんと褒めるし、話し方丁寧だし、樋口さんはオーディションで頑張ってヒールしてたんですね。
試合楽しみにしてます！",丸納豆,229,2022-10-25T11:20:56Z,2022-10-25T11:20:56Z
海君、後輩の面倒見もいいし、先輩ともいい関係作れてて、未来るとはまた別の角度で格闘技界を盛り上げてくれてるよね！,海君、後輩の面倒見もいいし、先輩ともいい関係作れてて、未来るとはまた別の角度で格闘技界を盛り上げてくれてるよね！,SHIGE LOOK,65,2022-10-25T13:30:43Z,2022-10-25T13:30:43Z
オーディションの動画見てそしてその後もオーディションの裏側動画で大会前もずっと楽しめるんだよなぁ、すごいよ！,オーディションの動画見てそしてその後もオーディションの裏側動画で大会前もずっと楽しめるんだよなぁ、すごいよ！,AY,123,2022-10-25T10:28:52Z,2022-10-25T10:28:52Z
インタビューする人選が完璧すぎる！！めちゃ楽しみっす！,"インタビューする人選が完璧すぎる！！
めちゃ楽しみっす！",たわしの先端,36,2022-10-25T11:40:39Z,2022-10-25T11:40:39Z
