textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
めちゃくちゃ好きな歌です。聞けて幸せです。ありがとうございます！,めちゃくちゃ好きな歌です。聞けて幸せです。ありがとうございます！,1 Hour Japan Music,4,2022-10-26T03:38:02Z,2022-10-26T03:38:02Z
神である、天月くん⭐🌙のボーカルが、身に沁みにて泣いています😭😭,神である、天月くん⭐🌙のボーカルが、身に沁みにて泣いています😭😭,カネマン,556,2022-10-24T10:04:46Z,2022-10-24T10:04:46Z
力強い歌い方神すぎるし難易度めちゃ高いラップパートを歌いこなせるの流石すぎる...,力強い歌い方神すぎるし難易度めちゃ高いラップパートを歌いこなせるの流石すぎる...,つなまよ,361,2022-10-24T10:05:06Z,2022-10-24T10:05:06Z
"『ウタカタララバイ』(Covered by 天月)作詞：TOPHAMHAT-KYO(FAKE TYPE.)　作曲：FAKE TYPE.〖歌詞〗ひとりぼっちには飽き飽きなの 繋がっていたいの純真無垢な想いのまま Loud outListen up baby 消えない 染みのようなハピネス　君の耳の奥へホーミング 逃げちゃダメよ浴びて他の追随許さない ウタの綴るサプライズ　リアルなんて要らないよね？後で気付いたってもう遅い 入れてあげないんだから手間取らせないで Be my good good good boys & girls誤魔化して強がらないでもう　ほら早くこっちおいで全てが楽しいこのステージ上　一緒に歌おうよI wanna make your day, Do my thing 堂々と　Hey! ねえ教えて何がいけないの？この場はユートピア だって望み通りでしょ？ (Ha! Ha!)突発的な泡沫なんて言わせない (Oh Oh…)慈悲深いがゆえ灼たか もう止まれない　ないものねだりじゃないこの願いI wanna know 君が欲しいもの 本心も気付かせてあげるよ見返りなんて要らない あり得ない ただ一緒にいて？ True heartOh my “F” word 全身がふわふわっと不安などシャットアウト ～Bye～半端ない数多のファンサは愛　ずっと終わらない You & I ここにいる限りTrust me 超楽しい That's all　心奪われてうっとりと 道理もなくなってしまうほど渇望させちゃう一抜けも二抜けもさせない させない！ I got a mic so you crazy for me forever迷わないで 手招くメロディーと ビートに身を任せて全てが新しいこのステージ上　一緒に踊ろうよI wanna make your day, Do my thing 堂々と　Hey! ねえ教えて何がいけないの？この場はユートピア だって望み通りでしょ？ (Ha! Ha!)突発的な泡沫なんて言わせない (Oh Oh…)慈悲深いがゆえ灼たか もう止まれない　ないものねだりじゃないこの願いこの時代は悲鳴を奏で救いを求めていたの誰も気付いてあげられなかったからわたしがやらなきゃ　だから 邪魔しないで お願い...もう戻れないの　だから 永遠に一緒に歌おうよ直に脳を揺らすベース 鼓膜ぶち破るドラム 心の臓撫でるブラス ピアノ マカフェリ五月雨な譜割りで Shout out! Doo wop! wop! waaah!欺きや洗脳 お呼びじゃない　ただ信じて願い歌うわたしから耳を離さないでそれだけでいい Hear my true voice0:00 0:00 0:00  0:01 0:01 0:010:00 0:00 0:00  0:01 0:01 0:01","『ウタカタララバイ』(Covered by 天月)
作詞：TOPHAMHAT-KYO(FAKE TYPE.)　作曲：FAKE TYPE.

〖歌詞〗
ひとりぼっちには飽き飽きなの 繋がっていたいの
純真無垢な想いのまま Loud out

Listen up baby 消えない 染みのようなハピネス　君の耳の奥へホーミング 逃げちゃダメよ浴びて
他の追随許さない ウタの綴るサプライズ　リアルなんて要らないよね？

後で気付いたってもう遅い 入れてあげないんだから
手間取らせないで Be my good good good boys & girls

誤魔化して強がらないでもう　ほら早くこっちおいで
全てが楽しいこのステージ上　一緒に歌おうよ

I wanna make your day, Do my thing 堂々と　Hey! ねえ教えて何がいけないの？
この場はユートピア だって望み通りでしょ？ (Ha! Ha!)

突発的な泡沫なんて言わせない (Oh Oh…)
慈悲深いがゆえ灼たか もう止まれない　ないものねだりじゃないこの願い

I wanna know 君が欲しいもの 本心も気付かせてあげるよ
見返りなんて要らない あり得ない ただ一緒にいて？ True heart

Oh my “F” word 全身がふわふわっと不安などシャットアウト ～Bye～
半端ない数多のファンサは愛　ずっと終わらない You & I ここにいる限り

Trust me 超楽しい That's all　心奪われてうっとりと 道理もなくなってしまうほど渇望させちゃう
一抜けも二抜けもさせない させない！ I got a mic so you crazy for me forever

迷わないで 手招くメロディーと ビートに身を任せて
全てが新しいこのステージ上　一緒に踊ろうよ

I wanna make your day, Do my thing 堂々と　Hey! ねえ教えて何がいけないの？
この場はユートピア だって望み通りでしょ？ (Ha! Ha!)

突発的な泡沫なんて言わせない (Oh Oh…)
慈悲深いがゆえ灼たか もう止まれない　ないものねだりじゃないこの願い

この時代は悲鳴を奏で救いを求めていたの
誰も気付いてあげられなかったから

わたしがやらなきゃ　だから 邪魔しないで お願い...
もう戻れないの　だから 永遠に一緒に歌おうよ

直に脳を揺らすベース 鼓膜ぶち破るドラム 心の臓撫でるブラス ピアノ マカフェリ
五月雨な譜割りで Shout out! Doo wop! wop! waaah!

欺きや洗脳 お呼びじゃない　ただ信じて願い歌うわたしから耳を離さないで
それだけでいい Hear my true voice

0:00 0:00 0:00  0:01 0:01 0:01
0:00 0:00 0:00  0:01 0:01 0:01",心做し,345,2022-10-24T10:22:53Z,2022-10-24T10:46:23Z
歌うのすごい難しい曲なのに歌えちゃう天月さんさすがすぎる😭💭ラップのとこかっこいい！！,歌うのすごい難しい曲なのに歌えちゃう天月さんさすがすぎる😭💭ラップのとこかっこいい！！,ねこまる,66,2022-10-24T10:04:10Z,2022-10-24T10:04:10Z
"I always find his tone unique. Like in this song, it sounds loud. And you exactly can notice his voice.","I always find his tone unique. Like in this song, it sounds loud. And you exactly can notice his voice.",Nova M_Sunny🌻,5,2022-10-25T10:32:43Z,2022-10-25T10:32:43Z
天月さんの高音で響きが綺麗な歌声だけど芯のあるような美声がほんとに好きです難しい曲なのに凄い✨,"天月さんの高音で響きが綺麗な歌声だけど芯のあるような美声がほんとに好きです
難しい曲なのに凄い✨",Rito,105,2022-10-24T10:05:35Z,2022-10-24T10:05:35Z
毎度Adoさんの曲のcoverって、天月さんの歌唱力が際立つ気がします🥹ほんとにかっこいい😭,"毎度Adoさんの曲のcoverって、天月さんの歌唱力が際立つ気がします🥹
ほんとにかっこいい😭",りりか。,73,2022-10-24T10:04:20Z,2022-10-24T10:04:20Z
歌の良さを引き出しながら、天月さん自身のかっこよさも入っていて最高です‪ ;  ;✊🏻,歌の良さを引き出しながら、天月さん自身のかっこよさも入っていて最高です‪ ;  ;✊🏻,ユユ,69,2022-10-24T10:06:49Z,2022-10-24T10:06:49Z
お歌もイラストレーターさんもMVも最強の組み合わせすぎます😭💖,お歌もイラストレーターさんもMVも最強の組み合わせすぎます😭💖,さっつん,123,2022-10-24T10:05:20Z,2022-10-24T10:05:20Z
it sounds great! your voice is very pleasing to the ears,it sounds great! your voice is very pleasing to the ears,yuji?,10,2022-10-24T10:03:29Z,2022-10-24T10:03:29Z
これはちょっと最強過ぎかもです。1曲でいろいろな表情の天月くん楽しめて最高です！！！！2:28あたりからのパートの叫ぶような歌い方が自分にぶっ刺さりました。,"これはちょっと最強過ぎかもです。1曲でいろいろな表情の天月くん楽しめて最高です！！！！
2:28あたりからのパートの叫ぶような歌い方が自分にぶっ刺さりました。",らの,7,2022-10-24T13:26:16Z,2022-10-24T13:26:16Z
難しい曲なのに歌いこなせちゃう天月さんが本当に凄いです。巻舌、早口、裏声、どれも素敵すぎて頭がパンク寸前です😂どんな楽曲も天月さん色に染めてくれるので毎回楽しませてもらってます🎶投稿ありがとうございました🙌💖,"難しい曲なのに歌いこなせちゃう天月さんが本当に凄いです。
巻舌、早口、裏声、どれも素敵すぎて頭がパンク寸前です😂
どんな楽曲も天月さん色に染めてくれるので毎回楽しませてもらってます🎶
投稿ありがとうございました🙌💖",Hii hyphen,41,2022-10-24T13:11:02Z,2022-10-24T13:11:02Z
初めて天月さんのお歌聴いたんですけど、この難しい曲を歌える歌唱力といい、ちょっと中性的な歌声がめっちゃ中毒性あるなって思いました。要するにすっげぇですね。,"初めて天月さんのお歌聴いたんですけど、この難しい曲を歌える歌唱力といい、ちょっと中性的な歌声がめっちゃ中毒性あるなって思いました。

要するにすっげぇですね。",ししゃ む,5,2022-10-25T02:21:02Z,2022-10-25T02:21:02Z
Thank you for the cover Amatsuki and thanks for covering it on Ado's birthday!!! I feel like it's a birthday gift to Ado since it was uploaded on this day (lol),Thank you for the cover Amatsuki and thanks for covering it on Ado's birthday!!! I feel like it's a birthday gift to Ado since it was uploaded on this day (lol),lemonssssssss4,5,2022-10-24T10:23:40Z,2022-10-24T10:23:40Z
Another cover.IT'S SO COOL AMATSUKI SAN😭❤️,Another cover.IT'S SO COOL AMATSUKI SAN😭❤️,haru,5,2022-10-24T10:04:33Z,2022-10-24T10:04:33Z
天月さんの色んな表情が集まってるし、歌とMVの相性合いすぎて天才ですか???🫶🏻,天月さんの色んな表情が集まってるし、歌とMVの相性合いすぎて天才ですか???🫶🏻,すずき,64,2022-10-24T10:17:39Z,2022-10-24T10:17:39Z
天月さんの歌唱力が相変わらず高くて素敵でした!!MVもおしゃれで聴き入っちゃいました!☪︎,"天月さんの歌唱力が相変わらず高くて素敵でした!!
MVもおしゃれで聴き入っちゃいました!☪︎",えの,17,2022-10-24T10:06:00Z,2022-10-24T10:06:00Z
"I didn't expect this cover, you performed it so well!","I didn't expect this cover, you performed it so well!",赤い明かり,2,2022-10-24T12:24:35Z,2022-10-24T12:24:35Z
真っ直ぐと凛とした綺麗さをもちそれであって芯のある力強い歌声が刺さりました。難易度の高い曲を歌いこなしてリスペクトかつさらに天月さん節も炸裂してて最強すぎてます！！！,"真っ直ぐと凛とした綺麗さをもちそれであって芯のある力強い歌声が刺さりました。
難易度の高い曲を歌いこなしてリスペクトかつさらに天月さん節も炸裂してて最強すぎてます！！！",ちっぽけ。,4,2022-10-24T23:13:25Z,2022-10-24T23:13:25Z
テンポが独特で早口で難しいのに綺麗な裏声で歌えてるのほんとすごいマジで一生推せる❤,"テンポが独特で早口で難しいのに綺麗な裏声で歌えてるのほんとすごい
マジで一生推せる❤",Crazy raccoon love,8,2022-10-25T04:17:57Z,2022-10-25T04:17:57Z
Adoさんに負けを取らない歌唱力でアップテンポ&早口で 自分だったら絶対こんな歌えないわって感じでも見事歌い上げる もう凄いのよ毎回,Adoさんに負けを取らない歌唱力でアップテンポ&早口で 自分だったら絶対こんな歌えないわって感じでも見事歌い上げる もう凄いのよ毎回,ナノ,49,2022-10-24T10:15:21Z,2022-10-24T10:15:21Z
