textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"I would like to see the three of us eating various Japanese foods together again. They are three cute and smart people, and I hope they can teach me English. Enjoy your life in Japan.","I would like to see the three of us eating various Japanese foods together again. They are three cute and smart people, and I hope they can teach me English. Enjoy your life in Japan.",Yossy,31,2022-10-25T13:58:32Z,2022-10-25T13:58:32Z
みんな最初に「お腹すいたー！」って言いながら、ちゃんと自分の番を待って順番に食べるとこが偉いと思いました。私だったら待てない(笑)﻿。,"みんな最初に「お腹すいたー！」って言いながら、
ちゃんと自分の番を待って順番に食べるとこが偉いと思いました。
私だったら待てない(笑)﻿。",Ayaka Sayaka,16,2022-10-25T21:35:07Z,2022-10-25T21:35:07Z
皆さん快活なお嬢さん達で、愛らしいですね。日本が静かだって他の誰かも言ってましたね。日本食を愛してくれてありがとう。,"皆さん快活なお嬢さん達で、愛らしいですね。日本が静かだって他の誰かも言ってましたね。
日本食を愛してくれてありがとう。",孝之 朝倉,16,2022-10-25T20:21:47Z,2022-10-25T20:21:47Z
三人共とても上品に食べますね,三人共とても上品に食べますね,江頭niziU,25,2022-10-25T13:14:36Z,2022-10-25T13:14:36Z
美味しい物食べて喜んでるとこを見ると幸せになる,美味しい物食べて喜んでるとこを見ると幸せになる,kk,64,2022-10-25T13:29:09Z,2022-10-25T13:29:09Z
日本が好きな外国人は日本の文化を理解している人が多い印象、更に価値観、性格も日本人に似ている人が多いと思います。,日本が好きな外国人は日本の文化を理解している人が多い印象、更に価値観、性格も日本人に似ている人が多いと思います。,一哉 大内,17,2022-10-25T15:19:07Z,2022-10-25T15:19:07Z
仲良し三人組素敵。,"仲良し三人組
素敵。",岡山城主,26,2022-10-25T13:47:44Z,2022-10-25T13:47:44Z
日本が世界に誇れる料理ほんと美味しく、楽しく食べてもらって最高ですね😊いつまでも仲良く日本食楽しんで下さいね♪,"日本が世界に誇れる料理
ほんと美味しく、楽しく食べてもらって最高ですね😊
いつまでも仲良く日本食楽しんで下さいね♪",キャメロン🏌️‍♂️,1,2022-10-26T10:13:00Z,2022-10-26T10:13:00Z
この動画を学校の英語の授業で見せたらいいよ。英語が話せると外国人と楽しく寿司が食べられる未来があるかもってね！,"この動画を学校の英語の授業で見せたらいいよ。
英語が話せると外国人と楽しく寿司が食べられる未来があるかもってね！",天の川銀河,13,2022-10-25T13:36:41Z,2022-10-25T13:36:41Z
前回も思ったけど、ケイティは所作が日本人みたいで面白い。あと、大人しい印象です。,前回も思ったけど、ケイティは所作が日本人みたいで面白い。あと、大人しい印象です。,宮ちゃん,16,2022-10-25T13:46:05Z,2022-10-25T13:46:05Z
お寿司を食べると幸せを感じます、これ本当だよね😊,お寿司を食べると幸せを感じます、これ本当だよね😊,ななし,7,2022-10-26T01:58:39Z,2022-10-26T01:58:39Z
