textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
「オマエだ馬鹿」の部分、歌っている自分自身に言われてるように演出されてるものが多いけれど、これはこちらに言われてるようなのが最高です……😭😭かっこいい、治安悪いお2人珍しくて好きです……,「オマエだ馬鹿」の部分、歌っている自分自身に言われてるように演出されてるものが多いけれど、これはこちらに言われてるようなのが最高です……😭😭かっこいい、治安悪いお2人珍しくて好きです……,からあげおにぎり,119,2022-10-26T12:43:00Z,2022-10-26T12:43:00Z
2人とも低音が素敵で、元々悪友のイメージのある二人がこんな治安わるい歌出してくれるの本当にありがたい..めっちゃ似合ってて最高にかっこいい,2人とも低音が素敵で、元々悪友のイメージのある二人がこんな治安わるい歌出してくれるの本当にありがたい..めっちゃ似合ってて最高にかっこいい,マーチ,129,2022-10-26T13:37:43Z,2022-10-26T13:37:43Z
二人の綺麗な低音がものすごく曲に合ってて好きすぎる…。若干頬に朱がさしてるのもすごく好きだしソシエの唇とかアンジュの髪片側かきあげられてるのとか全部が全部曲で相乗されて大好きすぎる…！,"二人の綺麗な低音がものすごく曲に合ってて好きすぎる…。
若干頬に朱がさしてるのもすごく好きだし
ソシエの唇とかアンジュの髪片側かきあげられてるのとか全部が全部曲で相乗されて大好きすぎる…！",くりしゅな,59,2022-10-26T13:22:43Z,2022-10-26T13:22:43Z
服装めちゃめちゃ解釈一致ってか大正解だ………めちゃかわいい………お互い似てる要素はあるけどそれぞれが一番似合う服をちゃんと着てる感じ………オシャンだ,"服装めちゃめちゃ解釈一致ってか大正解だ………めちゃかわいい………
お互い似てる要素はあるけどそれぞれが一番似合う服をちゃんと着てる感じ………オシャンだ",あかね,51,2022-10-26T12:31:06Z,2022-10-26T12:31:06Z
イラストの立体感のある色使いとか、アンジュのくっきりした歯とかソシエのプルプルの唇とかもう全部いいダークな歌詞に現実味のあるイラストが曲にマッチしすぎてる語彙力飛んでくけど最後に一言 ＿人人人人人人人人人＿＞              最高                ＜ ￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣,"イラストの立体感のある色使いとか、アンジュのくっきりした歯とかソシエのプルプルの唇とかもう全部いい
ダークな歌詞に現実味のあるイラストが曲にマッチしすぎてる
語彙力飛んでくけど最後に一言
 ＿人人人人人人人人人＿
＞              最高                ＜
 ￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣",猫田,339,2022-10-26T11:39:12Z,2022-10-26T11:39:12Z
「ちぇりーぺぇ」ってコンビ名からは考えられないカッコよさ😳ほんとに、もう、カッコよくてエグい！最高！！,"「ちぇりーぺぇ」ってコンビ名からは考えられないカッコよさ😳
ほんとに、もう、カッコよくてエグい！最高！！",アイメルトン,144,2022-10-26T11:11:27Z,2022-10-26T11:11:27Z
イラスト美しい………「大人の女性」っぽい、格好良い二人の歌声が曲とマッチしすぎててだいすきです！,"イラスト美しい………
「大人の女性」っぽい、格好良い二人の歌声が曲とマッチしすぎててだいすきです！",ゆめ　💻💙,71,2022-10-26T12:29:53Z,2022-10-26T12:29:53Z
普段の2人からは想像できない艶やかさが感じられて惚れる。,普段の2人からは想像できない艶やかさが感じられて惚れる。,Neu【ネウ】,19,2022-10-26T12:50:45Z,2022-10-26T12:50:45Z
この曲はほんとに予想してなかった、声の相性いいし、二人の低音かっこよすぎて、、最高すぎた！！,"この曲はほんとに予想してなかった、声の相性いいし、二人の低音かっこよすぎて、、
最高すぎた！！",ルロ,15,2022-10-26T12:52:34Z,2022-10-26T12:52:34Z
治安悪い雰囲気の中に差し込まれる「foo!」とかかわいい手描きっぽい歌詞とかにこの二人らしさが滲んでる気がしたし、アクセントとしてめちゃ良くて好きです🍸️,治安悪い雰囲気の中に差し込まれる「foo!」とかかわいい手描きっぽい歌詞とかにこの二人らしさが滲んでる気がしたし、アクセントとしてめちゃ良くて好きです🍸️,打上花火,11,2022-10-26T20:23:42Z,2022-10-26T20:23:42Z
