textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
すっぴんも、肌綺麗すぎない？！　てか、コミュニケーション力高くない？尊敬する！,すっぴんも、肌綺麗すぎない？！　てか、コミュニケーション力高くない？尊敬する！,はく しろ君,57,2022-10-26T10:12:39Z,2022-10-26T10:12:39Z
綾ちゃん考え事をして悩んでも全部いい方に考えていて尊敬。「ポジティブ」って言葉で片付けられるけど全然簡単な事じゃないしそれが生きる源にもなるんだと思う。,綾ちゃん考え事をして悩んでも全部いい方に考えていて尊敬。「ポジティブ」って言葉で片付けられるけど全然簡単な事じゃないしそれが生きる源にもなるんだと思う。,さん,247,2022-10-26T09:46:31Z,2022-10-26T09:46:31Z
綾ちゃんの話し方上手だから、すぐ耳に入ってくる凄い,綾ちゃんの話し方上手だから、すぐ耳に入ってくる凄い,mi yuu,38,2022-10-26T12:55:13Z,2022-10-26T12:55:13Z
綾ちゃんの語り系大好き🫶🏻些細なことも深く考えすぎちゃうから、綾ちゃんのポジティブな考え本当に尊敬する😢,"綾ちゃんの語り系大好き🫶🏻
些細なことも深く考えすぎちゃうから、
綾ちゃんのポジティブな考え本当に尊敬する😢",まりん,64,2022-10-26T10:03:45Z,2022-10-26T10:23:46Z
綾ちゃん本当にいい意味で飾らないから毎回素を見れて嬉しいし、ファンのことたくさん想ってくれてファンで良かったって毎回思える!!いつもありがとう！大好きです！！！！,綾ちゃん本当にいい意味で飾らないから毎回素を見れて嬉しいし、ファンのことたくさん想ってくれてファンで良かったって毎回思える!!いつもありがとう！大好きです！！！！,さん,66,2022-10-26T09:38:51Z,2022-10-26T09:38:51Z
あやちゃんのドライブトーク友達といるみたいでめっちゃ楽しい👧🏼🧡,あやちゃんのドライブトーク友達といるみたいでめっちゃ楽しい👧🏼🧡,di Kd,27,2022-10-26T09:14:18Z,2022-10-26T09:14:18Z
化粧水の事まず感謝を伝えててマジすごいなっ,"化粧水の事まず
感謝を伝えてて
マジすごいなっ",なかおみどり,100,2022-10-26T09:20:30Z,2022-10-26T09:20:30Z
語り系だぁぁぁ！！！🫶🫶どの企画も大好きだけど綾ちゃんの話聞くの大好きだからめっちゃ嬉しい！！！！！！,"語り系だぁぁぁ！！！🫶🫶
どの企画も大好きだけど綾ちゃんの話聞くの大好きだからめっちゃ嬉しい！！！！！！",さん,31,2022-10-26T09:39:46Z,2022-10-26T09:39:46Z
なんか分からないけど勇気を貰えた⋆⸜🌷⸝‍⋆,なんか分からないけど勇気を貰えた⋆⸜🌷⸝‍⋆,彩葉 森,9,2022-10-26T11:21:15Z,2022-10-26T11:21:15Z
テスト期間夜更かししすぎて肌荒れしてたけどASUNE使ったらすぐ良くなった🙏リピ買い確定🤭,テスト期間夜更かししすぎて肌荒れしてたけどASUNE使ったらすぐ良くなった🙏リピ買い確定🤭,ひなの,16,2022-10-26T09:07:55Z,2022-10-26T09:07:55Z
目標にしてきたものを達成できているからこそだと思います😌♡100万人達成も化粧品プロデュースもブランドとかも全部が頑張った結晶だと思いますよ〜！だから目標がないって悩むよりも頑張ってきて良かったっていう感情を大切にしていけば大丈夫だと思います✨,目標にしてきたものを達成できているからこそだと思います😌♡100万人達成も化粧品プロデュースもブランドとかも全部が頑張った結晶だと思いますよ〜！だから目標がないって悩むよりも頑張ってきて良かったっていう感情を大切にしていけば大丈夫だと思います✨,U,7,2022-10-26T09:53:30Z,2022-10-26T09:53:30Z
語る系の綾ちゃん見れて嬉しい💗考え方とか大好きなんだよなぁ😁,"語る系の綾ちゃん見れて嬉しい💗
考え方とか大好きなんだよなぁ😁",恵,32,2022-10-26T09:12:59Z,2022-10-26T09:12:59Z
綾ちゃんのポジティブな考え方尊敬してます　いろんなお仕事をこなし充実した毎日がおくれているのも綾ちゃんの努力があるからこそだと思います　テディくんベアちゃんも可愛いだけでは一緒にいれないですよね　見えない所のお世話が大変だと思います　いつも見えない所も頑張っている綾ちゃんが好きです,綾ちゃんのポジティブな考え方尊敬してます　いろんなお仕事をこなし充実した毎日がおくれているのも綾ちゃんの努力があるからこそだと思います　テディくんベアちゃんも可愛いだけでは一緒にいれないですよね　見えない所のお世話が大変だと思います　いつも見えない所も頑張っている綾ちゃんが好きです,aki_2274_,5,2022-10-26T11:44:23Z,2022-10-26T11:44:23Z
あやちゃんのお話しほんとに大好き！でも絶対無理しないで欲しいって思ってる！！そして、あやちゃんいつもありがとうー！！,"あやちゃんのお話しほんとに大好き！
でも絶対無理しないで欲しいって思ってる！！
そして、あやちゃんいつもありがとうー！！",hharruno,4,2022-10-26T10:13:00Z,2022-10-26T10:13:00Z
誰も聞いてないわ！って自分でツッコむの最高😊❤心の声まで言っちゃう綾ちゃんほんと面白い🤣,"誰も聞いてないわ！って自分で
ツッコむの最高😊❤心の声まで言っちゃう
綾ちゃんほんと面白い🤣",はし,7,2022-10-26T13:30:43Z,2022-10-26T13:30:43Z
綾ちゃんのドライブトーク好きだから嬉しい🫶🏻,綾ちゃんのドライブトーク好きだから嬉しい🫶🏻,ひなの,16,2022-10-26T09:02:04Z,2022-10-26T09:02:04Z
ガチで綾ちゃんの肌が羨ましすぎて綾ちゃんのスキンケアとか普通に使いたい🥹,ガチで綾ちゃんの肌が羨ましすぎて綾ちゃんのスキンケアとか普通に使いたい🥹,おさる〖中町綾〗,9,2022-10-26T09:57:46Z,2022-10-26T09:57:46Z
綾ちゃんの前向きな考え方とか何があっても堂々としてるところとか本当に尊敬します私も綾ちゃんみたいになれるように頑張ります🤍🫶🏻,綾ちゃんの前向きな考え方とか何があっても堂々としてるところとか本当に尊敬します私も綾ちゃんみたいになれるように頑張ります🤍🫶🏻,︎︎0ll_cahy,2,2022-10-26T11:36:29Z,2022-10-26T11:36:39Z
綾ちゃんの語り動画が一番好き🫶この動画もリピしまくります🖤,"綾ちゃんの語り動画が一番好き🫶
この動画もリピしまくります🖤",晴,3,2022-10-26T10:26:50Z,2022-10-26T10:26:50Z
本当にあやちゃん日に日に美人度増してる！可愛い！,"本当にあやちゃん日に日に美人度増してる！
可愛い！",あみ,3,2022-10-26T11:32:13Z,2022-10-26T11:32:13Z
テスト期間だからあやちゃん見るだけで元気もらえる🥲,テスト期間だからあやちゃん見るだけで元気もらえる🥲,りいこ【中町綾】,12,2022-10-26T09:22:34Z,2022-10-26T09:22:34Z
