textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
立憲民主党の中で唯一人間性に魅力を感じる人,立憲民主党の中で唯一人間性に魅力を感じる人,Nobu Watanabe,185,2022-10-25T11:15:51Z,2022-10-25T11:15:51Z
立憲民主党議員が多く葬儀に欠席する中、人生観と照らし合わせて出席、そして魂の籠った名演説。日本人たる心を持った政治家、野田さん、素晴らしいです。,立憲民主党議員が多く葬儀に欠席する中、人生観と照らし合わせて出席、そして魂の籠った名演説。日本人たる心を持った政治家、野田さん、素晴らしいです。,石上ヤカテュク,259,2022-10-25T13:49:55Z,2022-10-25T13:49:55Z
泣けました。これぞ日本人本来の姿だと思いました。真剣に正々堂々と、そして讃え合ういう幼稚園で習うようなことすら普段忘れがちですが、一気に引き戻された感じがします。素晴らしい演説をありがとう！,泣けました。これぞ日本人本来の姿だと思いました。真剣に正々堂々と、そして讃え合ういう幼稚園で習うようなことすら普段忘れがちですが、一気に引き戻された感じがします。素晴らしい演説をありがとう！,上田英司,159,2022-10-25T16:23:34Z,2022-10-25T16:23:34Z
同じ日本国民として野田さんの演説を誇りに思う。,同じ日本国民として野田さんの演説を誇りに思う。,凸凹ZIPANG,18,2022-10-26T10:16:41Z,2022-10-26T10:19:45Z
国葬に参加したり演説は聞き入るし一番まともな政治家だと思う,国葬に参加したり演説は聞き入るし一番まともな政治家だと思う,真人,22,2022-10-25T16:45:40Z,2022-10-25T16:45:40Z
まさに憲政史に残る名演説。完全に心掴まれました。,まさに憲政史に残る名演説。完全に心掴まれました。,楽な生き方実践ch大学講師タモ,76,2022-10-25T11:27:17Z,2022-10-25T11:27:17Z
思想や政党が違い、一度は仇とさえ感じた相手でありながら、賛辞に溢れた追悼だった。これこそ日本男児と敬服。テロに屈しない国造り、要約、国会で力強く聞くことができた。有難う野田さん。素晴らしかった。,"思想や政党が違い、一度は仇とさえ感じた相手でありながら、賛辞に溢れた追悼だった。
これこそ日本男児と敬服。
テロに屈しない国造り、要約、国会で力強く聞くことができた。

有難う野田さん。
素晴らしかった。",てーぃ,573,2022-10-25T12:55:34Z,2022-10-25T12:55:34Z
野党代表としてではなく政治家代表としてではなく一人の人間として安倍元首相に追悼の意を評した野田さんを心から尊敬します,"野党代表としてではなく
政治家代表としてではなく
一人の人間として安倍元首相に追悼の意を評した野田さんを心から尊敬します",成瀬へんぴん,1518,2022-10-25T12:46:54Z,2022-10-25T12:46:54Z
東日本大震災から半年後の総理就任という復興の重い責任を背負った野田さんだからこそ総理の苦しさは誰よりも感じたはず。名誉職に留まるにはまだ早い。,東日本大震災から半年後の総理就任という復興の重い責任を背負った野田さんだからこそ総理の苦しさは誰よりも感じたはず。名誉職に留まるにはまだ早い。,Radio Crew,222,2022-10-25T12:58:18Z,2022-10-25T12:58:18Z
野田さんありがとう。野田さん本当にありがとう。涙が止まりませんでした。素晴らしい追悼演説でした。,"野田さんありがとう。
野田さん本当にありがとう。
涙が止まりませんでした。
素晴らしい追悼演説でした。",石ニ遊ブ,44,2022-10-25T14:26:27Z,2022-10-25T14:26:27Z
