textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
후지이카제씨 노래 중에 가장 좋아하는 노래예요♥︎,후지이카제씨 노래 중에 가장 좋아하는 노래예요♥︎,서복치,86,2022-10-26T12:02:02Z,2022-10-26T12:02:02Z
"Dios es genial, el ritmo es tan pegado y creo que ya harte a la gente de tanto que la escucho pero esq es tan buena y la letra es tan yo, la canción perfecta si existe♡","Dios es genial, el ritmo es tan pegado y creo que ya harte a la gente de tanto que la escucho pero esq es tan buena y la letra es tan yo, la canción perfecta si existe♡",Jac uwu,34,2022-10-26T17:47:49Z,2022-10-26T17:47:49Z
this is not just a song it's an emotion,this is not just a song it's an emotion,Sanskriti,1115,2022-10-26T14:27:05Z,2022-10-26T14:27:05Z
"I'm just literally mad at this man that's all , no words can describe his magical voice","I'm just literally mad at this man that's all , no words can describe his magical voice",Bhoomika V,549,2022-10-26T14:50:45Z,2022-10-26T14:50:45Z
"Apenas conocí hoy está canción y me encanto, empezaré a stanearlo/s..","Apenas conocí hoy está canción y me encanto, empezaré a stanearlo/s..",;;Ԃαɾƙ Ƚαҽԋყυɳɠ•,77,2022-10-26T15:48:21Z,2022-10-26T15:48:21Z
fujii doesn’t need autotune. autotune needs him,fujii doesn’t need autotune. autotune needs him,klee&herduck,2209,2022-10-26T12:43:20Z,2022-10-26T12:43:20Z
Cuando pensé que no podía ser más maravillosa esta canción me salen con tremendo arte visual.,Cuando pensé que no podía ser más maravillosa esta canción me salen con tremendo arte visual.,HUCHIN DURÁN GENIRE GPE,49,2022-10-27T00:52:33Z,2022-10-27T00:52:33Z
Первый певец из Японии который мне понравился 😻  Песня уже второй месяц на повторе🤤,Первый певец из Японии который мне понравился 😻  Песня уже второй месяц на повторе🤤,Makhabbat Kuantaeva,64,2022-10-26T18:12:18Z,2022-10-26T18:12:18Z
"Me encanta la canción. porque te llegan las emociones al alma auque no hablas el idioma,el sonido,el cambio de voz de una frase a otra,simplemente ME ENCANTAAA,en bucle total❤","Me encanta la canción. porque te llegan las emociones al alma auque no hablas el idioma,el sonido,el cambio de voz de una frase a otra,simplemente ME ENCANTAAA,en bucle total❤",ima giu,21,2022-10-27T07:31:26Z,2022-10-27T07:31:26Z
Uff!!! No puedo con tanto!!! Estoy colapsada de tantas emociones que me produce... Gracias por entregarnos tu arte querido Fuji!!! ✨🙂,Uff!!! No puedo con tanto!!! Estoy colapsada de tantas emociones que me produce... Gracias por entregarnos tu arte querido Fuji!!! ✨🙂,Clau,19,2022-10-26T22:36:06Z,2022-10-26T22:36:06Z
"OMG!!    Este hombre cada día me sorprende más enserio, tan bello siempre apoyandolo  , Ecuador presente 🇪🇨","OMG!!    Este hombre cada día me sorprende más enserio, tan bello siempre apoyandolo  , Ecuador presente 🇪🇨",anahis cardenas,239,2022-10-26T16:50:37Z,2022-10-26T16:50:37Z
La canción es muy bonia ♡,La canción es muy bonia ♡,Quispe Condori Anabel,22,2022-10-26T23:50:50Z,2022-10-26T23:50:50Z
He is so perfect.... Es tan perfecto 🤴🏻🎶🎶🥰,He is so perfect.... Es tan perfecto 🤴🏻🎶🎶🥰,dayana ramos,71,2022-10-26T16:18:48Z,2022-10-26T16:18:48Z
"Ohhhh !!! Guauuu es como ....estar viendo  una fotografía, y de repente ...el protagonista se hace movil .... Y te cuenta una historia gestual . increíble me encanto !!! Muy artistico !!!","Ohhhh !!! Guauuu es como ....estar viendo  una fotografía, y de repente ...el protagonista se hace movil .... Y te cuenta una historia gestual . increíble me encanto !!! Muy artistico !!!",Raquel Zárate,33,2022-10-27T05:34:55Z,2022-10-27T05:34:55Z
"As soon as the song was getting famous, i was wishing for a MV to get released. I freaking love thiss 😍😍","As soon as the song was getting famous, i was wishing for a MV to get released. I freaking love thiss 😍😍",aespamyne,202,2022-10-26T14:36:12Z,2022-10-26T14:36:12Z
上半身だけ、大きな絵変わりもなくモノクロの風くんだけで3分ちょっと、視聴者を引きつけて離さないのって凄い魅力だと思う✨,上半身だけ、大きな絵変わりもなくモノクロの風くんだけで3分ちょっと、視聴者を引きつけて離さないのって凄い魅力だと思う✨,ニモニモ,182,2022-10-26T15:01:23Z,2022-10-26T15:56:44Z
Nunca me cansaré de escuchar esta canción🖤,Nunca me cansaré de escuchar esta canción🖤,Baruc Tatian,50,2022-10-26T17:48:44Z,2022-10-26T17:48:44Z
