textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
椎木さんこんな堂々と真っ直ぐな歌詞かくの珍しい気がする、幸せなんかな。,椎木さんこんな堂々と真っ直ぐな歌詞かくの珍しい気がする、幸せなんかな。,なぎ,259,2022-10-26T10:00:32Z,2022-10-26T10:00:32Z
高校生のキラキラな青春っぽさと純粋で儚さがある感じをマイヘア っぽく表現できるの素敵！！！,高校生のキラキラな青春っぽさと純粋で儚さがある感じをマイヘア っぽく表現できるの素敵！！！,蓮,95,2022-10-26T09:16:25Z,2022-10-26T09:16:25Z
椎木がこんなに真っ直ぐ胸に入ってくるストレートなラブソング書いてくれることが、いま椎木が置かれてる幸せと比例しているなら嬉しいき,椎木がこんなに真っ直ぐ胸に入ってくるストレートなラブソング書いてくれることが、いま椎木が置かれてる幸せと比例しているなら嬉しいき,-Rudbeckia-,986,2022-10-26T09:12:17Z,2022-10-26T09:12:17Z
瞳にめざめて瞬きすら忘れてしまうくらいいつのまにか夢中になってたんだ初めからそう決まってたみたいにまるで天使のように現れた君が僕の前で笑ったそのときわかった きっとこれを待っていた恋をしてた あのときに僕は目が離せなくて青い海より 光る星より僕はただ君をみていたかった君は僕をどう思ってるのかわかるようでわからないけど戸惑った僕にまた無邪気に笑うから気がつくと僕も君につられて笑ったんだ喜んだ横顔を もう忘れられなくてきっと君より 他の誰よりなんでだろう 僕が嬉しかった（Wow.）もう、きっと病気なんだ（Wow.）どこでなにしてても（Wow.）目を閉じても浮かんでるんだ（Wow.）君の笑う顔が目の前に君がいると 言葉が出てこなくて勇気がないんじゃない 言う気はあるけどだけど まだ恋をしてた あのときから走り出した 気持ちは 止まらないでも今は 恋のままでもう少しだけ このままで君を見ていたいから恋をしてる 今、君に,"瞳にめざめて


瞬きすら忘れてしまうくらい
いつのまにか夢中になってたんだ
初めからそう決まってたみたいに
まるで天使のように現れた君が僕の前で笑った
そのときわかった きっとこれを待っていた

恋をしてた あのときに
僕は目が離せなくて
青い海より 光る星より
僕はただ君をみていたかった

君は僕をどう思ってるのか
わかるようでわからないけど
戸惑った僕にまた無邪気に笑うから
気がつくと僕も君につられて笑ったんだ

喜んだ横顔を 
もう忘れられなくて
きっと君より 他の誰より
なんでだろう 僕が嬉しかった

（Wow.）
もう、きっと病気なんだ
（Wow.）
どこでなにしてても
（Wow.）
目を閉じても浮かんでるんだ
（Wow.）
君の笑う顔が
目の前に君がいると 言葉が出てこなくて
勇気がないんじゃない 言う気はあるけど
だけど まだ

恋をしてた あのときから
走り出した 気持ちは 止まらない
でも今は 恋のままで
もう少しだけ このままで
君を見ていたいから
恋をしてる 今、君に",あいり,234,2022-10-26T09:07:04Z,2022-10-26T09:07:04Z
"""勇気がないんじゃない言う気はあるけど""は天才すぎる","""勇気がないんじゃない言う気はあるけど""
は天才すぎる",ビストロデディー,369,2022-10-26T09:18:18Z,2022-10-26T09:18:18Z
歌詞が病んでなくて好きマイヘアのこういう疾走感が大好き,"歌詞が病んでなくて好き
マイヘアのこういう疾走感が大好き",あああああ,152,2022-10-26T11:34:22Z,2022-10-26T11:34:22Z
またひとつ、大きなバンドになっていくのを感じさせながらもマイヘアらしさが全面に溢れ出てて好き,またひとつ、大きなバンドになっていくのを感じさせながらもマイヘアらしさが全面に溢れ出てて好き,はるひ,32,2022-10-26T09:26:55Z,2022-10-26T09:26:55Z
5日前に撮影したとは思えないです、ストレートな歌詞、PV全部がぶっ刺さってます。大好きです、、、,"5日前に撮影したとは思えないです、
ストレートな歌詞、PV全部がぶっ刺さってます。大好きです、、、",m a,50,2022-10-26T09:42:55Z,2022-10-26T09:42:55Z
札幌1日目のアンコールで初演奏してくれたとき、フル音源も出てなかったし、歌詞もしっかり分からなかったけど、ただ本当にサビの最初のハモリが最高だった.....🥲,札幌1日目のアンコールで初演奏してくれたとき、フル音源も出てなかったし、歌詞もしっかり分からなかったけど、ただ本当にサビの最初のハモリが最高だった.....🥲,みぎう,59,2022-10-26T09:10:03Z,2022-10-26T09:10:03Z
テンポ感とかストレートな歌詞とかめちゃめちゃ最高です,テンポ感とかストレートな歌詞とかめちゃめちゃ最高です,e,23,2022-10-26T09:16:28Z,2022-10-26T09:16:28Z
最近マイヘアの曲って優しくなってる気がする,最近マイヘアの曲って優しくなってる気がする,こまつな,105,2022-10-26T09:05:06Z,2022-10-26T09:05:06Z
辛いことばっかだけど、なんだかマイヘアの新曲聞いて、椎木さんの声聞いたら元気出たまた今日から頑張ろう,辛いことばっかだけど、なんだかマイヘアの新曲聞いて、椎木さんの声聞いたら元気出たまた今日から頑張ろう,寿司,22,2022-10-26T09:14:02Z,2022-10-26T09:14:02Z
マイヘアって同じフィールドの上でどんどん進化してってくれるから本当に安心して聴ける,マイヘアって同じフィールドの上でどんどん進化してってくれるから本当に安心して聴ける,マイヘア,8,2022-10-26T14:49:21Z,2022-10-26T14:49:21Z
