textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"悲しみよとまれ何度も聞いた悩みが尽きない悩み明日のことわからないけどそれぞれの道なら誰も笑えない何が足りない？わからないことがわからない全てに意味がないからお互いが傷つかないようにしてただ笑っていたいけどなかなかうまくいかないねなぜかなぜか君のことを思い出すとずっとつっかえて取れないものがある気がするんだでもねでもね辛いとかそういうんじゃないんだ何十年だって忘れないよ悲しみよとまれ何度も言うよ特別な存在だった明日のことわからないけどそれぞれの夢なら誰も笑えないいつからだろう怖いものばかりになって自分が自分じゃないような感覚に弄ばれてるようで手を離してしまっても全てが消えるわけないじゃんなぜかなぜか君のことを思い出すとずっとつっかえて取れないものがある気がするんだでもねでもね辛いとかそういうんじゃないんだ何十年だって忘れないよ悲しみよとまれ何が足りない？わからないことがわからない全てに意味がないからお互いが傷つかないようにしてなぜかなぜか君のことを思い出すとずっとつっかえて取れないものがある気がするんだやだなやだな君のことを思い出せばずっと躊躇っていた決断が鈍くなってきそうだでもねでもね君のおかげさありがとう何十年だって忘れないよ悲しみよとまれwords：松隈ケンタ×JxSxKmusic：松隈ケンタarrangement：SCRAMBLES","悲しみよとまれ

何度も聞いた
悩みが尽きない悩み
明日のことわからないけど
それぞれの道なら誰も笑えない

何が足りない？
わからないことがわからない
全てに意味がないから
お互いが傷つかないようにして

ただ笑っていたいけど
なかなかうまくいかないね

なぜか
なぜか
君のことを思い出すと
ずっとつっかえて取れないものが
ある気がするんだ
でもね
でもね
辛いとかそういうんじゃないんだ
何十年だって忘れないよ
悲しみよとまれ

何度も言うよ
特別な存在だった
明日のことわからないけど
それぞれの夢なら誰も笑えない

いつからだろう
怖いものばかりになって
自分が自分じゃないような
感覚に弄ばれてるようで

手を離してしまっても
全てが消えるわけないじゃん

なぜか
なぜか
君のことを思い出すと
ずっとつっかえて取れないものが
ある気がするんだ
でもね
でもね
辛いとかそういうんじゃないんだ
何十年だって忘れないよ
悲しみよとまれ

何が足りない？
わからないことがわからない
全てに意味がないから
お互いが傷つかないようにして

なぜか
なぜか
君のことを思い出すと
ずっとつっかえて取れないものが
ある気がするんだ
やだな
やだな
君のことを思い出せば
ずっと躊躇っていた決断が
鈍くなってきそうだ
でもね
でもね
君のおかげさありがとう
何十年だって忘れないよ
悲しみよとまれ

words：松隈ケンタ×JxSxK
music：松隈ケンタ
arrangement：SCRAMBLES",BiSH,74,2022-10-26T11:12:32Z,2022-10-26T11:12:32Z
"""When you miss us you can always be with us in our music from now and forever. Thank you"" ❤❤❤","""When you miss us you can always be with us in our music from now and forever. Thank you"" ❤❤❤",hanaji,7,2022-10-26T11:26:04Z,2022-10-26T11:26:04Z
読み取ってみたら泣けた😂解散しないでくれー2:49The days and my life you helped color.Days that live on forever.From the bottom of ?  heart. thank you.Every time hit a wall.We could overcome it with your cheers.Thank you for every thing!Thank you for always sanitizing my hearts.ALL YOU NEED iS LOVENow that we’re been united.I can ? shine with you.When you miss us.We can always be with us in our music.From now and forever. Thank you.あなたが彩ってくれた日々、私の人生。永遠に生き続ける日々。心の底から ? ありがとう壁にぶつかるたびあなたの声援で乗り越えられました。いつもありがとうございますいつも心を清めてくれてありがとう。ALL YOU NEED iS LOVEひとつになったからこそ君となら ? 輝けるあなたが私たちを恋しく思うとき、私たちはいつでも音楽の中で一緒にいられます。これからもずっと。ありがとうございました。,"読み取ってみたら泣けた😂
解散しないでくれー

2:49

The days and my life you helped color.
Days that live on forever.
From the bottom of ?  heart. thank you.
Every time hit a wall.
We could overcome it with your cheers.
Thank you for every thing!
Thank you for always sanitizing my hearts.
ALL YOU NEED iS LOVE
Now that we’re been united.
I can ? shine with you.
When you miss us.
We can always be with us in our music.
From now and forever. Thank you.

あなたが彩ってくれた日々、私の人生。
永遠に生き続ける日々。
心の底から ? ありがとう
壁にぶつかるたび
あなたの声援で乗り越えられました。
いつもありがとうございます
いつも心を清めてくれてありがとう。
ALL YOU NEED iS LOVE
ひとつになったからこそ
君となら ? 輝ける
あなたが私たちを恋しく思うとき、
私たちはいつでも音楽の中で一緒にいられます。
これからもずっと。
ありがとうございました。",MOMOKOGUMi_K.K,80,2022-10-26T13:13:24Z,2022-10-27T01:08:34Z
No dejaré de escucharla jamás 🖤🖤🖤🖤🖤🖤🖤,No dejaré de escucharla jamás 🖤🖤🖤🖤🖤🖤🖤,[LDT] Mag!c Cpta Love Día. Red,4,2022-10-26T23:46:55Z,2022-10-26T23:46:55Z
悲しみ止まるわけないだろぉ〜。BiSHが好きすぎんだよ！！！,"悲しみ止まるわけないだろぉ〜。
BiSHが好きすぎんだよ！！！",原田健史朗,32,2022-10-26T11:28:02Z,2022-10-26T11:28:02Z
すごくいい曲だ✨悲しみはとまらないけど解散まで全力で応援しています🥲12ヶ月連続リリースもあと2枚なんて考えたくないな…,"すごくいい曲だ✨
悲しみはとまらないけど解散まで全力で応援しています🥲
12ヶ月連続リリースもあと2枚なんて考えたくないな…",りい,16,2022-10-26T11:09:37Z,2022-10-26T11:09:37Z
Me encantó!!!!! 🖤🖤🖤🖤🖤🖤,Me encantó!!!!! 🖤🖤🖤🖤🖤🖤,[LDT] Mag!c Cpta Love Día. Red,3,2022-10-26T23:46:30Z,2022-10-26T23:46:30Z
Fue hermoso 🖤🖤🖤🖤🖤🖤,Fue hermoso 🖤🖤🖤🖤🖤🖤,[LDT] Mag!c Cpta Love Día. Red,3,2022-10-26T23:46:39Z,2022-10-26T23:46:39Z
Momoko es increíble 🖤,Momoko es increíble 🖤,JorgeIvan 20,2,2022-10-26T19:18:08Z,2022-10-26T19:18:08Z
それぞれの地球最後の日を過ごしてるメンバー同士の手が繋がるところで、解散しても一緒にいた時間はなくならないし、これからもお互い刺激し合ったり助け合ったり一緒にいなくてもできるんだろうなと思ったら泣けた,それぞれの地球最後の日を過ごしてるメンバー同士の手が繋がるところで、解散しても一緒にいた時間はなくならないし、これからもお互い刺激し合ったり助け合ったり一緒にいなくてもできるんだろうなと思ったら泣けた,いくらどうふ,72,2022-10-26T12:04:48Z,2022-10-26T12:04:48Z
